1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,5-220kV厂狮线271电流Ia_5,6-220kV厂狮线271电流Ib_6,7-220kV厂狮线271电流Ic_7,8-220kV厂狮线271电流3Io_8
-67.70478820800781,77.99041748046875,-10.296248435974121,-0.031677499413490295,-0.38775742053985596,0.6698192358016968,-0.28140097856521606,-0.03523796796798706
-70.75341033935547,75.90138244628906,-5.195645332336426,0.0,-0.38775742053985596,0.6345655918121338,-0.28140097856521606,0.0
-73.61149597167969,73.71739959716797,-0.09504228830337524,0.06335499882698059,-0.42300811409950256,0.5993119478225708,-0.21105073392391205,-0.03523796796798706
-76.15200805664062,70.99533081054688,5.06892204284668,-0.12670999765396118,-0.42300811409950256,0.5993119478225708,-0.21105073392391205,0.0
-78.59725952148438,68.17830657958984,10.201205253601074,-0.34845250844955444,-0.4582587778568268,0.5993119478225708,-0.14070048928260803,0.0
-80.85196685791016,65.39293670654297,15.175085067749023,-0.5068399906158447,-0.4935094714164734,0.5993119478225708,-0.10552536696195602,0.0
-82.50330352783203,61.81626510620117,20.14896583557129,-0.9186474680900574,-0.5287601351737976,0.5640583038330078,-0.07035024464130402,0.0
-83.64653778076172,57.891422271728516,25.059484481811523,-1.2037450075149536,-0.5640107989311218,0.5993119478225708,-0.03517512232065201,0.0
-84.4404525756836,53.745018005371094,29.906641006469727,-1.2037450075149536,-0.5640107989311218,0.5640583038330078,0.03517512232065201,0.0
-84.6627426147461,49.02887725830078,34.912200927734375,-1.2037450075149536,-0.599261462688446,0.4935510456562042,0.03517512232065201,0.0
-84.53572082519531,43.93291091918945,39.94944381713867,-1.0136799812316895,-0.5640107989311218,0.4935510456562042,0.07035024464130402,0.0
-84.05937194824219,38.90024948120117,44.733238220214844,-0.665227472782135,-0.5640107989311218,0.45829740166664124,0.14070048928260803,0.0
-83.58302307128906,33.74098205566406,49.517032623291016,-0.41180750727653503,-0.599261462688446,0.42304375767707825,0.14070048928260803,0.0
-82.82086944580078,28.67667007446289,53.95233917236328,-0.22174249589443207,-0.634512186050415,0.38779011368751526,0.21105073392391205,0.0
-81.89993286132812,23.77061653137207,58.007476806640625,-0.09503249824047089,-0.634512186050415,0.35253646969795227,0.24622584879398346,0.0
-80.85196685791016,18.927867889404297,61.777488708496094,-0.09503249824047089,-0.634512186050415,0.35253646969795227,0.24622584879398346,0.0
-79.45468139648438,14.053467750549316,65.19901275634766,-0.28509750962257385,-0.599261462688446,0.2820291519165039,0.3165760934352875,0.0
-77.77159118652344,9.084111213684082,68.46212768554688,-0.25341999530792236,-0.6697628498077393,0.2820291519165039,0.3869263529777527,0.0
-75.8344497680664,3.9881460666656494,71.56684112548828,-0.41180750727653503,-0.634512186050415,0.21152187883853912,0.3869263529777527,-0.03523796796798706
-73.48446655273438,-1.2344261407852173,74.32306671142578,-0.6018725037574768,-0.634512186050415,0.21152187883853912,0.4221014678478241,0.0
-70.65814208984375,-6.61525821685791,76.95257568359375,-0.5068399906158447,-0.599261462688446,0.14101457595825195,0.4221014678478241,0.0
-67.32371520996094,-12.059394836425781,79.17022705078125,-0.25341999530792236,-0.599261462688446,0.10576093941926956,0.4924516975879669,0.0
-63.57645034790039,-17.250314712524414,80.84930419921875,0.12670999765396118,-0.599261462688446,0.07050728797912598,0.5276268124580383,0.0
-59.7021598815918,-22.441234588623047,82.36998748779297,0.5068399906158447,-0.5640107989311218,0.0,0.5276268124580383,0.0
-55.38328170776367,-27.347288131713867,83.13032531738281,0.7602599859237671,-0.5287601351737976,-0.03525364398956299,0.5628019571304321,0.0
-51.03264617919922,-32.19003677368164,83.63721466064453,0.8236150145530701,-0.5640107989311218,-0.07050728797912598,0.5979771018028259,0.0
-46.61849594116211,-36.90617752075195,83.98570251464844,0.9186474680900574,-0.4935094714164734,-0.07050728797912598,0.633152186870575,0.03523796796798706
-42.01380920410156,-41.52736282348633,83.9223403930664,0.6335499882698059,-0.4582587778568268,-0.14101457595825195,0.633152186870575,0.03523796796798706
-37.2820930480957,-46.1485481262207,83.60552978515625,0.31677499413490295,-0.4582587778568268,-0.14101457595825195,0.633152186870575,0.0
-32.58213806152344,-50.76973342895508,83.3837661743164,0.031677499413490295,-0.38775742053985596,-0.21152187883853912,0.6683273315429688,0.03523796796798706
-27.628128051757812,-55.20100784301758,82.71847534179688,-0.15838749706745148,-0.35250675678253174,-0.2467755228281021,0.633152186870575,0.03523796796798706
-22.483579635620117,-59.474021911621094,81.67300415039062,-0.4751625061035156,-0.3172560930252075,-0.2820291519165039,0.633152186870575,0.0
-17.243762969970703,-63.46216583251953,80.37409210205078,-0.4751625061035156,-0.2820053994655609,-0.35253646969795227,0.633152186870575,0.03523796796798706
-11.94043254852295,-67.00718688964844,78.79005432128906,-0.22174249589443207,-0.2820053994655609,-0.38779011368751526,0.6683273315429688,0.0
-6.51007604598999,-70.3939437866211,76.85752868652344,0.0,-0.2467547357082367,-0.42304375767707825,0.633152186870575,0.0
-1.1749893426895142,-73.40087890625,74.60820007324219,0.031677499413490295,-0.2467547357082367,-0.38779011368751526,0.6683273315429688,0.0
3.90604567527771,-75.86973571777344,71.97869110107422,0.12670999765396118,-0.14100269973278046,-0.45829740166664124,0.633152186870575,0.0
8.955324172973633,-78.05371856689453,68.93733978271484,-0.12670999765396118,-0.10575202852487564,-0.45829740166664124,0.633152186870575,0.0
13.87757682800293,-79.95283508300781,65.64253997802734,-0.728582501411438,-0.14100269973278046,-0.4935510456562042,0.633152186870575,0.03523796796798706
18.67280387878418,-81.40882873535156,61.96757125854492,-1.298777461051941,-0.035250674933195114,-0.5288046598434448,0.633152186870575,0.0
23.24573516845703,-82.76985931396484,57.84907150268555,-2.7242650985717773,0.0,-0.5640583038330078,0.633152186870575,0.03523796796798706
28.072717666625977,-83.71942138671875,53.63553237915039,-3.547879934310913,0.035250674933195114,-0.5993119478225708,0.5979771018028259,0.03523796796798706
30.803773880004883,-86.03001403808594,46.85585021972656,-15.490297317504883,0.10575202852487564,-0.5288046598434448,0.633152186870575,0.21142780780792236
32.010520935058594,-108.28133392333984,36.65464401245117,-56.70272445678711,0.2467547357082367,0.07050728797912598,1.0904288291931152,1.4095187187194824
