17-220kVⅡ母电压Ua_17,18-220kVⅡ母电压Ub_18,19-220kVⅡ母电压Uc_19,20-220kVⅡ母电压3Uo_20,9-220kV徐镇线263Ia_9,10-220kV徐镇线263Ib_10,11-220kV徐镇线263Ic_11,12-220kV徐镇线2633Io_12
77.66351318359375,-5.399552822113037,-72.21174621582031,0.14764732122421265,-0.07248956710100174,0.012083190493285656,0.06042936444282532,0.0017257195431739092
75.30136108398438,0.24084335565567017,-75.808349609375,-0.4274001121520996,-0.06731174141168594,0.005178510211408138,0.06388247013092041,0.0
72.4496841430664,5.873470306396484,-78.55824279785156,-0.4351710379123688,-0.06558579951524734,0.003452340140938759,0.062155917286872864,-0.0017257195431739092
69.42706298828125,11.102102279663086,-80.98187255859375,-0.7848620414733887,-0.06385985761880875,-0.0017261700704693794,0.06388247013092041,0.0
66.05477905273438,16.276350021362305,-82.5665512084961,-0.373003751039505,-0.05868203192949295,-0.005178510211408138,0.06388247013092041,0.0
62.20851135253906,21.132062911987305,-83.27344512939453,0.1087927594780922,-0.05523014813661575,-0.010357020422816277,0.0673355758190155,0.0
58.237918853759766,25.824623107910156,-84.03471374511719,0.07770911604166031,-0.053504206240177155,-0.013809360563755035,0.07078868895769119,-0.0017257195431739092
53.69233322143555,30.905641555786133,-84.7882080078125,-0.3496910035610199,-0.05523014813661575,-0.01898787170648575,0.07251524180173874,0.0
48.975799560546875,36.10319519042969,-85.61162567138672,-0.9480511546134949,-0.05005232244729996,-0.025892551988363266,0.07424179464578629,0.0017257195431739092
44.43021011352539,41.72028350830078,-86.5204849243164,-0.6449856162071228,-0.04832638055086136,-0.029344892129302025,0.07769490033388138,0.0
39.60489273071289,47.042144775390625,-86.89334869384766,-0.41962921619415283,-0.043148551136255264,-0.0379757434129715,0.07942145317792892,0.0
34.58531951904297,52.01439666748047,-86.79236602783203,-0.3496910035610199,-0.03969666734337807,-0.0397019125521183,0.07942145317792892,0.0
29.441425323486328,56.47388458251953,-86.10877990722656,-0.35746192932128906,-0.03279289975762367,-0.044880423694849014,0.07769490033388138,0.0
24.087732315063477,60.56821823120117,-84.86589050292969,-0.4351710379123688,-0.027615074068307877,-0.04660659283399582,0.07769490033388138,0.0
19.08370018005371,64.00218200683594,-83.18022918701172,-0.17096005380153656,-0.025889132171869278,-0.05178510397672653,0.07769490033388138,0.0017257195431739092
13.753317832946777,67.22637176513672,-81.098388671875,-0.25644007325172424,-0.02243724651634693,-0.05351127311587334,0.07596834748983383,0.0017257195431739092
8.13543701171875,70.45056915283203,-78.81458282470703,-0.4584837555885315,-0.018985362723469734,-0.05523744225502014,0.07596834748983383,0.0
2.7040421962738037,73.72914123535156,-76.70167541503906,-0.5128801465034485,-0.013807537034153938,-0.05868978425860405,0.07596834748983383,0.0017257195431739092
-2.43208384513855,76.99995422363281,-74.7674331665039,-0.36523282527923584,-0.008629710413515568,-0.060415953397750854,0.07078868895769119,0.0017257195431739092
-7.428345680236816,79.74246215820312,-72.14960479736328,0.25644007325172424,-0.005177826154977083,-0.06214212253689766,0.0673355758190155,0.0
-12.510080337524414,81.96443176269531,-69.10453033447266,0.5517346858978271,0.0,-0.06386829167604446,0.06560902297496796,0.0
-17.786069869995117,83.54157257080078,-65.50015258789062,0.3807746469974518,0.005177826154977083,-0.06559446454048157,0.06042936444282532,0.0017257195431739092
-22.844493865966797,84.57486724853516,-61.662742614746094,0.06993820518255234,0.01208159513771534,-0.06559446454048157,0.056976258754730225,0.0
-27.848526000976562,85.34400939941406,-57.320404052734375,0.22535642981529236,0.017259420827031136,-0.06904680281877518,0.056976258754730225,0.0017257195431739092
-33.28769302368164,85.6314697265625,-52.17795944213867,0.22535642981529236,0.020711304619908333,-0.06904680281877518,0.051796600222587585,0.0017257195431739092
-38.81232833862305,86.02769470214844,-47.18310546875,-0.031083645299077034,0.025889132171869278,-0.07422531396150589,0.05007004737854004,0.0034514390863478184
-44.111629486083984,86.55599212646484,-42.46013259887695,-0.07770911604166031,0.031066957861185074,-0.075951486825943,0.048343490809202194,0.0017257195431739092
-48.84370422363281,86.87452697753906,-37.82261276245117,0.31083646416664124,0.03797072544693947,-0.0776776522397995,0.043163832277059555,0.0017257195431739092
-53.24165725708008,86.70360565185547,-33.09187316894531,0.6139019727706909,0.041422609239816666,-0.075951486825943,0.04143727943301201,0.0017257195431739092
-57.42981719970703,86.19084930419922,-28.32229232788086,0.6838402152061462,0.04487449303269386,-0.075951486825943,0.03280451148748398,0.0017257195431739092
-61.268310546875,85.00216674804688,-23.53717613220215,0.27975282073020935,0.051778264343738556,-0.075951486825943,0.031077958643436432,0.0034514390863478184
-64.75714874267578,83.34734344482422,-18.480178833007812,0.1321054995059967,0.053504206240177155,-0.075951486825943,0.024171745404601097,0.0017257195431739092
-68.31591796875,81.09429168701172,-12.584233283996582,0.28752371668815613,0.05695609003305435,-0.07422531396150589,0.02244519256055355,0.0
-71.78921508789062,78.50716400146484,-6.649446487426758,0.08548002690076828,0.06213391572237015,-0.07077297568321228,0.015538979321718216,0.0017257195431739092
-74.96723937988281,76.04434967041016,-1.0952943563461304,-0.0543963797390461,0.06040797382593155,-0.07077297568321228,0.010359319858253002,0.0
-77.69459533691406,73.40283966064453,4.287961006164551,-0.06216729059815407,0.06385985761880875,-0.06732063740491867,0.006906213238835335,0.0
-79.97904205322266,70.61371612548828,9.4381742477417,0.11656367033720016,0.06385985761880875,-0.06214212253689766,0.0034531066194176674,0.0
-81.92160034179688,67.6692123413086,14.495171546936035,0.3807746469974518,0.06731174141168594,-0.06214212253689766,-0.0017265533097088337,0.0
-83.39017486572266,64.30517578125,19.031709671020508,-0.14764732122421265,0.06558579951524734,-0.05523744225502014,-0.006906213238835335,0.0017257195431739092
-84.21382141113281,60.56045150756836,23.43619155883789,-0.41185829043388367,0.06903768330812454,-0.05351127311587334,-0.012085872702300549,-0.0017257195431739092
-84.967529296875,56.21750259399414,28.648550033569336,-0.20204369723796844,0.07248956710100174,-0.048332761973142624,-0.017265532165765762,0.0017257195431739092
-85.55030059814453,51.12871551513672,34.257080078125,-0.28752371668815613,0.07421550899744034,-0.048332761973142624,-0.024171745404601097,0.0
-86.13307189941406,46.140926361083984,40.07534408569336,0.1087927594780922,0.07594145089387894,-0.04660659283399582,-0.029351405799388885,0.0
