500kV线路PT_1,500kV线路PT_2,500kV线路PT_3,500kV线路PT_4,500kV仁厂甲线CT_21,500kV仁厂甲线CT_22,500kV仁厂甲线CT_23,500kV仁厂甲线CT_24
85.37196350097656,-27.64785385131836,-57.607330322265625,0.10891100019216537,-0.4849050045013428,0.14563100039958954,0.3476719856262207,0.00784900039434433
84.32879638671875,-22.42137336730957,-61.74296569824219,0.17892199754714966,-0.4857740104198456,0.11685500293970108,0.37108099460601807,0.006976000033318996
82.92350006103516,-17.221668243408203,-65.57625579833984,0.12446899712085724,-0.471000999212265,0.08633500337600708,0.39795801043510437,0.011340999975800514
81.14525604248047,-11.909507751464844,-69.18818664550781,0.0077840001322329044,-0.4631800055503845,0.05494299903512001,0.42396798729896545,0.013086999766528606
78.96163177490234,-6.677672863006592,-72.33040618896484,-0.04666899889707565,-0.4544900059700012,0.027910999953746796,0.4378400146961212,0.013086999766528606
76.1456298828125,-1.1834429502487183,-75.0730972290039,-0.17113299667835236,-0.43189600110054016,-0.007841000333428383,0.4499779939651489,0.015706000849604607
73.129638671875,4.358982086181641,-77.61062622070312,-0.3111549913883209,-0.4162540137767792,-0.027024999260902405,0.4681850075721741,0.01396000012755394
69.81096649169922,9.917471885681152,-79.94839477539062,-0.42006099224090576,-0.4032190144062042,-0.05667300149798393,0.4785889983177185,0.01046799961477518
66.41663360595703,15.449187278747559,-82.09719848632812,-0.4589560031890869,-0.37801799178123474,-0.08980900049209595,0.48899298906326294,0.014832999557256699
62.81149673461914,20.804187774658203,-83.9382553100586,-0.5445250272750854,-0.35281699895858765,-0.12381699681282043,0.49679601192474365,0.016579000279307365
59.06583023071289,25.95569610595703,-85.3743896484375,-0.6378729939460754,-0.32587799429893494,-0.15346500277519226,0.5072000026702881,0.012214000336825848
54.98505401611328,31.080432891845703,-86.40560150146484,-0.6300939917564392,-0.2954629957675934,-0.18834500014781952,0.5115349888801575,0.013086999766528606
50.688079833984375,36.10342025756836,-87.1884536743164,-0.6534309983253479,-0.26765498518943787,-0.21450500190258026,0.5106679797172546,0.016579000279307365
46.0830192565918,40.8211784362793,-87.36662292480469,-0.6456519961357117,-0.24332299828529358,-0.2441529929637909,0.5098009705543518,0.01046799961477518
41.2725715637207,45.624610900878906,-87.34502410888672,-0.6378729939460754,-0.21290799975395203,-0.2746730148792267,0.5098009705543518,0.011340999975800514
36.132415771484375,50.379852294921875,-86.8861083984375,-0.5756409764289856,-0.18944500386714935,-0.30344900488853455,0.5089340209960938,0.006976000033318996
30.851730346679688,55.12438201904297,-86.30301666259766,-0.5134090185165405,-0.15729199349880219,-0.3296090066432953,0.5106679797172546,0.01046799961477518
25.61428451538086,59.46193313598633,-85.31500244140625,-0.4045029878616333,-0.13122199475765228,-0.36187300086021423,0.5098009705543518,0.014832999557256699
20.306575775146484,63.579925537109375,-84.06243133544922,-0.3500500023365021,-0.09906899929046631,-0.3836730122566223,0.495061993598938,0.008721999824047089
15.020484924316406,67.16777801513672,-82.4265365600586,-0.37338700890541077,-0.06865400075912476,-0.40372899174690247,0.48985999822616577,0.02007099986076355
8.139920234680176,63.6067008972168,-86.89151000976562,-26.526384353637695,0.1260019987821579,-0.4185529947280884,0.46731799840927124,0.17546500265598297
