17-110kV母线Ⅱ段电压Ua_17,18-110kV母线Ⅱ段电压Ub_18,19-110kV母线Ⅱ段电压Uc_19,20-110kV母线Ⅱ段电压3Uo_20,5-110kV普八线路电流Ia_5,6-110kV普八线路电流Ib_6,7-110kV普八线路电流Ic_7,8-110kV普八线路电流3Io_8
40.82231521606445,43.484317779541016,-84.56629943847656,-0.37978988885879517,-1.0937997102737427,-2.2582156658172607,3.667607069015503,0.3529038727283478
36.536922454833984,47.72514724731445,-84.40805053710938,-0.221544086933136,-0.9173803925514221,-2.3993539810180664,3.667607069015503,0.31761348247528076
31.997583389282227,51.776084899902344,-83.77507019042969,0.0,-0.7762449383735657,-2.6110618114471436,3.667607069015503,0.31761348247528076
27.29952621459961,55.605491638183594,-82.88890075683594,0.1265966296195984,-0.5998256206512451,-2.787484884262085,3.6323416233062744,0.28232309222221375
22.379262924194336,59.56148910522461,-81.81282806396484,0.1265966296195984,-0.42340633273124695,-2.9639079570770264,3.6323416233062744,0.2117423117160797
17.300281524658203,63.26430130004883,-80.45191955566406,0.221544086933136,-0.2822709083557129,-3.105046510696411,3.526545286178589,0.1764519363641739
12.094325065612793,66.46074676513672,-78.52132415771484,0.18989494442939758,-0.14113545417785645,-3.1756157875061035,3.456014394760132,0.10587115585803986
6.856625080108643,69.62554168701172,-76.43248748779297,0.0632983148097992,0.07056772708892822,-3.2814695835113525,3.3149526119232178,0.07058077305555344
1.3967199325561523,72.41056823730469,-73.80561828613281,-0.0316491574048996,0.21170316636562347,-3.3873233795166016,3.2091562747955322,0.07058077305555344
-4.094928741455078,74.91075897216797,-70.76730346679688,0.0316491574048996,0.45869019627571106,-3.5284619331359863,3.068094491958618,0.03529038652777672
-9.554834365844727,77.15776062011719,-67.57074737548828,0.0316491574048996,0.6703933477401733,-3.563746452331543,2.927032709121704,0.03529038652777672
-14.76078987121582,79.24652862548828,-64.43749237060547,0.15824578702449799,0.8468126654624939,-3.669600486755371,2.785970687866211,-0.03529038652777672
-19.87151527404785,81.08210754394531,-61.01939392089844,0.31649157404899597,1.0937997102737427,-3.7401695251464844,2.6801743507385254,0.03529038652777672
-25.01398468017578,82.37967681884766,-57.063262939453125,0.47473734617233276,1.1996512413024902,-3.77545428276062,2.4685816764831543,0.0
-29.870759963989258,83.29747009277344,-53.04383087158203,0.5696848034858704,1.411354422569275,-3.7401695251464844,2.256989002227783,-0.07058077305555344
-34.6640510559082,83.8987808227539,-48.77120590209961,0.6013339757919312,1.5524898767471313,-3.7048850059509277,2.0806617736816406,-0.07058077305555344
-39.425594329833984,84.15196228027344,-44.371986389160156,0.5380356311798096,1.6936253309249878,-3.7048850059509277,1.9043344259262085,-0.10587115585803986
-44.06016540527344,84.08866882324219,-39.68792724609375,0.443088173866272,1.8700447082519531,-3.7048850059509277,1.6927417516708374,-0.1764519363641739
-48.25032424926758,83.67724609375,-35.13045883178711,0.5063865184783936,1.9758962392807007,-3.669600486755371,1.4458836317062378,-0.24703270196914673
-52.15479278564453,82.9493408203125,-30.47804832458496,0.5063865184783936,2.1170318126678467,-3.5990312099456787,1.2342908382415771,-0.28232309222221375
-55.83705520629883,81.93660736083984,-25.60409164428711,0.7595797777175903,2.152315616607666,-3.5990312099456787,0.9874327182769775,-0.4234846234321594
-59.360599517822266,80.7339859008789,-20.666837692260742,1.2026679515838623,2.152315616607666,-3.4931771755218506,0.7758399844169617,-0.5999365448951721
-62.40798568725586,79.15158081054688,-15.57133960723877,1.930598497390747,1.9758962392807007,-3.3873233795166016,0.5289818048477173,-0.8822596669197083
-64.47132110595703,77.03116607666016,-10.507489204406738,3.5130562782287598,1.5877737998962402,-3.2814695835113525,0.24685817956924438,-1.376325011253357
-66.12199401855469,74.62592315673828,-5.411989688873291,5.222110748291016,0.9526642560958862,-3.1403310298919678,0.03526545315980911,-2.1174230575561523
-67.64568328857422,71.55606842041016,-0.47473594546318054,5.728497505187988,0.3175547420978546,-3.0344772338867188,-0.21159271895885468,-2.8938117027282715
-69.45507049560547,68.0114974975586,4.525815963745117,5.253759860992432,-0.14113545417785645,-2.8580541610717773,-0.45845088362693787,-3.4584579467773438
-72.02630615234375,64.43527221679688,9.779561042785645,3.671302080154419,-0.3528386056423187,-2.681631088256836,-0.6700435876846313,-3.740780830383301
-74.91497802734375,61.017295837402344,15.128252029418945,1.9938968420028687,-0.42340633273124695,-2.540492534637451,-0.9521672129631042,-3.8819425106048584
-77.93062591552734,57.53601837158203,20.50859260559082,0.0632983148097992,-0.38812246918678284,-2.3640694618225098,-1.1284945011138916,-3.9172327518463135
-80.78755187988281,54.023094177246094,25.952232360839844,-1.5191595554351807,-0.38812246918678284,-2.1523618698120117,-1.3400871753692627,-3.9172327518463135
