第一组母线_1,第一组母线_2,第一组母线_3,第一组母线_4,220KV朝潞I回线_37,220KV朝潞I回线_38,220KV朝潞I回线_39,220KV朝潞I回线_40
-38.77383804321289,-44.894412994384766,84.22611999511719,0.7473620176315308,-0.4016669988632202,-0.795881986618042,1.1968389749526978,-0.021751999855041504
-33.73210525512695,-49.585914611816406,83.81533813476562,0.49561798572540283,-0.33181101083755493,-0.8658499717712402,1.179366946220398,0.013055999763309956
-28.67418098449707,-54.024837493896484,83.0748519897461,0.23600700497627258,-0.2794190049171448,-0.9183260202407837,1.179366946220398,-0.004348000045865774
-23.567672729492188,-58.18968963623047,81.94520568847656,-0.12587499618530273,-0.2095630019903183,-0.9358180165290833,1.1618950366973877,-0.021751999855041504
-18.38559341430664,-61.876251220703125,80.45343017578125,-0.15734300017356873,-0.1222430020570755,-0.9882940053939819,1.126950979232788,0.013055999763309956
-13.24129867553711,-65.28874206542969,78.6697769165039,-0.22027899324893951,-0.06985100358724594,-1.0407700538635254,1.092007040977478,-0.004348000045865774
-8.280536651611328,-68.35192108154297,76.74559783935547,-0.2753480076789856,0.017469000071287155,-1.0757540464401245,1.0570629835128784,-0.021751999855041504
-3.2927849292755127,-71.0657958984375,74.56198120117188,-0.2281460016965866,0.052397001534700394,-1.1107380390167236,1.0395909547805786,0.013055999763309956
1.613996982574463,-73.553955078125,72.05946350097656,-0.2753480076789856,0.1571809947490692,-1.1282299757003784,0.9871749877929688,-0.004348000045865774
6.488390922546387,-75.81640625,69.43263244628906,-0.46415600180625916,0.19210900366306305,-1.1807060241699219,0.9347590208053589,-0.021751999855041504
11.395173072814941,-77.91226959228516,66.51393127441406,-0.5900279879570007,0.29689300060272217,-1.1807060241699219,0.8823429942131042,0.013055999763309956
16.350536346435547,-79.81466674804688,63.35200881958008,-0.7709689736366272,0.36674898862838745,-1.1981979608535767,0.8299270272254944,-0.004348000045865774
21.365278244018555,-81.35163116455078,59.79011154174805,-0.9597769975662231,0.4366050064563751,-1.215690016746521,0.7600389719009399,-0.004348000045865774
26.477184295654297,-82.65213775634766,55.909324645996094,-1.0227129459381104,0.5064610242843628,-1.215690016746521,0.7076230049133301,0.013055999763309956
31.60528564453125,-83.65707397460938,51.823143005371094,-0.9912449717521667,0.5763170123100281,-1.215690016746521,0.6202629804611206,0.013055999763309956
