1-220kV墨石线电压Ua_1,2-220kV墨石线电压Ub_2,3-220kV墨石线电压Uc_3,4-220kV墨石线电压3Uo_4,9-220kV墨石线Ia_9,10-220kV墨石线Ib_10,11-220kV墨石线Ic_11,12-220kV墨石线3Io_12
77.38526916503906,-13.088428497314453,-64.06796264648438,0.4129682183265686,-0.129338800907135,0.043144308030605316,0.09340973943471909,0.0
75.28258514404297,-7.942007541656494,-67.1490707397461,0.4129682183265686,-0.1365242898464203,0.028762871399521828,0.10778047144412994,0.0
72.73387145996094,-2.732050657272339,-69.88077545166016,0.3176678717136383,-0.1365242898464203,0.021572154015302658,0.11496583372354507,0.0
69.93029022216797,2.604978561401367,-72.5489501953125,0.0,-0.129338800907135,0.014381435699760914,0.11496583372354507,-0.007182727102190256
66.87183380126953,7.84670352935791,-74.9630126953125,-0.3176678717136383,-0.12215331196784973,0.0,0.1221512034535408,0.0
63.78152084350586,12.929588317871094,-77.12296295166016,-0.6035689115524292,-0.11496782302856445,-0.007190717849880457,0.12933656573295593,0.0
60.404476165771484,17.948938369750977,-78.90174865722656,-0.7941696643829346,-0.11496782302856445,-0.014381435699760914,0.13652193546295166,-0.007182727102190256
56.74070358276367,23.00005531311035,-80.3628921508789,-0.9212368130683899,-0.11496782302856445,-0.028762871399521828,0.13652193546295166,0.0
52.88577651977539,27.987634658813477,-81.4746322631836,-0.9212368130683899,-0.10778233408927917,-0.035953588783741,0.13652193546295166,0.007182727102190256
48.83969497680664,32.911678314208984,-82.33226013183594,-0.8259364366531372,-0.1005968451499939,-0.043144308030605316,0.13652193546295166,0.0
44.82547378540039,37.70865249633789,-82.96753692626953,-0.6671025156974792,-0.08622586727142334,-0.05033502355217934,0.1437072902917862,-0.007182727102190256
40.52452087402344,42.31501770019531,-83.2851791381836,-0.5400353670120239,-0.07904037833213806,-0.057525742799043655,0.1437072902917862,-0.007182727102190256
36.096134185791016,46.73077392578125,-83.22164916992188,-0.5082685947418213,-0.07185488939285278,-0.06471645832061768,0.1437072902917862,-0.007182727102190256
31.41287612915039,50.89238739013672,-82.71342468261719,-0.5400353670120239,-0.07185488939285278,-0.071907177567482,0.1437072902917862,-0.007182727102190256
26.53846549987793,54.76808547973633,-81.76050567626953,-0.6353357434272766,-0.05748391151428223,-0.07909789681434631,0.1437072902917862,0.0
21.536617279052734,58.5167121887207,-80.55347442626953,-0.6671025156974792,-0.05029842257499695,-0.08628861606121063,0.1437072902917862,0.0
16.502910614013672,61.947662353515625,-79.02880859375,-0.7306360602378845,-0.04311293363571167,-0.10067004710435867,0.13652193546295166,0.0
11.501063346862793,65.18799591064453,-77.12296295166016,-0.6988692879676819,-0.03592744469642639,-0.10786076635122299,0.13652193546295166,-0.007182727102190256
6.2124857902526855,68.1741943359375,-74.77243041992188,-0.47650179266929626,-0.021556466817855835,-0.10786076635122299,0.13652193546295166,-0.007182727102190256
0.892049252986908,70.9380111694336,-72.04072570800781,-0.25413429737091064,-0.014370977878570557,-0.11505148559808731,0.13652193546295166,0.0
-4.42838716506958,73.5429916381836,-69.21372985839844,0.0,-0.014370977878570557,-0.12224219739437103,0.12933656573295593,0.0
-9.716964721679688,75.95735931396484,-66.19615173339844,0.22236751019954681,-0.007185488939285278,-0.12943291664123535,0.1221512034535408,-0.007182727102190256
-14.8143892288208,77.95874786376953,-62.95622634887695,0.47650179266929626,0.014370977878570557,-0.12224219739437103,0.1221512034535408,0.0
-19.879955291748047,79.61068725585938,-59.55747985839844,0.5082685947418213,0.021556466817855835,-0.12943291664123535,0.11496583372354507,0.0
-24.913660049438477,81.00847625732422,-55.90462112426758,0.44473502039909363,0.028741955757141113,-0.13662363588809967,0.10778047144412994,-0.007182727102190256
-29.883649826049805,81.9932861328125,-51.997650146484375,0.25413429737091064,0.04311293363571167,-0.13662363588809967,0.10059510916471481,0.0
-34.789920806884766,82.81925964355469,-48.02715301513672,0.09530036151409149,0.04311293363571167,-0.143814355134964,0.09340973943471909,-0.007182727102190256
-39.536895751953125,83.23223876953125,-43.83430480957031,-0.09530036151409149,0.05029842257499695,-0.143814355134964,0.08622437715530396,0.0
-44.06085968017578,83.32754516601562,-39.45087432861328,-0.22236751019954681,0.0646694004535675,-0.143814355134964,0.07903901487588882,-0.007182727102190256
-48.393672943115234,83.04163360595703,-34.94038772583008,-0.3176678717136383,0.07185488939285278,-0.143814355134964,0.07903901487588882,-0.007182727102190256
-52.43975067138672,82.4062728881836,-30.17578887939453,-0.3176678717136383,0.07904037833213806,-0.1510050743818283,0.06466828286647797,-0.007182727102190256
-56.230960845947266,81.32615661621094,-25.252370834350586,-0.25413429737091064,0.08622586727142334,-0.143814355134964,0.06466828286647797,0.0
-59.92659378051758,80.05543518066406,-20.265424728393555,-0.22236751019954681,0.08622586727142334,-0.143814355134964,0.05748291686177254,0.0
-63.27177810668945,78.3399658203125,-15.34200668334961,-0.4129682183265686,0.09341135621070862,-0.13662363588809967,0.03592682257294655,-0.007182727102190256
-66.26651763916016,76.37034606933594,-9.973892211914062,0.34943464398384094,0.1005968451499939,-0.12943291664123535,0.02874145843088627,0.0
-69.1975326538086,73.82890319824219,-4.8916544914245605,-0.34943464398384094,0.10778233408927917,-0.12943291664123535,0.02155609428882599,0.0
-71.74624633789062,71.09685516357422,0.4446958601474762,-0.4129682183265686,0.12215331196784973,-0.12943291664123535,0.02155609428882599,0.0
-74.23123931884766,68.30126953125,5.876338005065918,-0.03176678717136383,0.12215331196784973,-0.12943291664123535,0.0,-0.007182727102190256
