220kV玉竹Ⅱ回电压_A相_9,220kV玉竹Ⅱ回电压_B相_10,220kV玉竹Ⅱ回电压_C相_11,220kV玉竹Ⅱ回电压_3U0_12,220kV玉竹Ⅱ回线_A相_37,220kV玉竹Ⅱ回线_B相_38,220kV玉竹Ⅱ回线_C相_39,220kV玉竹Ⅱ回线_3I0_40
83.36186218261719,-60.16748046875,-24.232769012451172,-1.419966220855713,-0.001904332428239286,0.028377044945955276,0.0018937001004815102,-0.001900353585369885
86.29303741455078,-41.7702751159668,-43.058570861816406,3.386073112487793,0.009521662257611752,0.02459343895316124,-0.00946850050240755,0.01900353655219078
82.39519500732422,-20.048900604248047,-60.24463653564453,4.07265043258667,-0.013330326415598392,0.030268847942352295,0.0018937001004815102,0.005701060872524977
72.38553619384766,1.6620850563049316,-75.2928237915039,-1.076677680015564,-0.013330326415598392,0.028377044945955276,0.0056811003014445305,0.00950176827609539
58.62355422973633,22.41737174987793,-85.0170669555664,-4.9776835441589355,-0.001904332428239286,0.030268847942352295,0.015149600803852081,0.00760141434147954
41.5354118347168,43.03761672973633,-86.60491180419922,-2.1065433025360107,-0.017138991504907608,0.018918029963970184,0.017043299973011017,-0.00380070717073977
21.006772994995117,62.04771423339844,-81.63381958007812,3.339261054992676,-0.019043324515223503,0.017026226967573166,0.022724401205778122,0.01900353655219078
-1.7878105640411377,76.0300064086914,-72.79170989990234,4.119462490081787,-0.001904332428239286,0.02270163595676422,0.020830700173974037,0.03040565736591816
-24.33293342590332,83.47822570800781,-59.94367218017578,-0.0780201181769371,-0.003808664856478572,0.007567211985588074,0.0321929007768631,0.005701060872524977
-44.373043060302734,85.14030456542969,-42.93403244018555,-1.9505029916763306,0.009521662257611752,-0.013242620974779129,0.034086599946022034,0.00380070717073977
-61.5235481262207,82.21088409423828,-21.2542667388916,0.8270132541656494,0.003808664856478572,-0.01135081797838211,0.030299201607704163,0.01520282868295908
-74.76582336425781,73.6511459350586,2.750185966491699,4.088254451751709,0.011425994336605072,-0.017026226967573166,0.0378740020096302,0.011402121745049953
-83.83999633789062,59.91816711425781,24.56486701965332,1.700838565826416,0.015234659425914288,-0.030268847942352295,0.045448802411556244,-0.001900353585369885
-86.7503890991211,41.6663932800293,42.95478820800781,-3.370469093322754,0.03237365186214447,-0.020809832960367203,0.020830700173974037,0.01520282868295908
-82.9045181274414,19.861915588378906,60.17198944091797,-3.8073818683624268,0.034277983009815216,-0.017026226967573166,0.017043299973011017,-0.00380070717073977
-72.780517578125,-1.724413275718689,75.22017669677734,1.5291943550109863,0.0418953113257885,-0.018918029963970184,0.00946850050240755,0.005701060872524977
-58.873016357421875,-22.531641006469727,84.91328430175781,5.336575984954834,0.03618231415748596,-0.013242620974779129,0.0,0.00950176827609539
-41.784873962402344,-43.20382308959961,86.63604736328125,2.3249995708465576,0.034277983009815216,-0.007567211985588074,0.0056811003014445305,0.00760141434147954
-21.089927673339844,-62.04771423339844,81.68570709228516,-3.120804786682129,0.04379964619874954,0.0,-0.017043299973011017,0.00760141434147954
1.9125415086746216,-75.9468994140625,72.53225708007812,-3.885401964187622,0.038086649030447006,-0.0018918029963970184,-0.013255900703370571,0.001900353585369885
24.280961990356445,-83.47822570800781,60.203125,0.17164425551891327,0.02856498584151268,0.017026226967573166,-0.015149600803852081,0.00950176827609539
44.3002815246582,-85.57660675048828,43.2349967956543,2.1065433025360107,0.03237365186214447,0.015134423971176147,-0.0018937001004815102,0.001900353585369885
61.585914611816406,-82.29398345947266,21.160863876342773,-0.7021810412406921,0.030469318851828575,0.030268847942352295,-0.015149600803852081,0.017103182151913643
74.75542449951172,-73.48493194580078,-2.6464052200317383,-3.838589906692505,0.011425994336605072,0.028377044945955276,-0.015149600803852081,0.011402121745049953
83.75684356689453,-59.959716796875,-24.263904571533203,-1.341946005821228,0.007617329712957144,0.02270163595676422,-0.00946850050240755,0.013302475214004517
86.69841766357422,-41.48979949951172,-42.90290069580078,3.3080530166625977,0.0,0.030268847942352295,-0.00946850050240755,0.00950176827609539
82.79017639160156,-19.94502067565918,-60.03707504272461,4.0102338790893555,0.001904332428239286,0.026485241949558258,-0.0037874002009630203,0.013302475214004517
72.77012634277344,1.797129511833191,-75.16828918457031,-1.2015098333358765,-0.019043324515223503,0.028377044945955276,0.00946850050240755,0.005701060872524977
59.04971694946289,22.78095245361328,-85.0170669555664,-5.118119716644287,-0.009521662257611752,0.026485241949558258,0.00946850050240755,0.00760141434147954
41.93039321899414,43.03761672973633,-86.69831085205078,-2.200167417526245,-0.005712997168302536,0.018918029963970184,0.017043299973011017,0.01520282868295908
21.30820655822754,61.954219818115234,-81.44701385498047,3.2456369400024414,-0.02094765566289425,0.007567211985588074,0.05491730198264122,-0.00380070717073977
-1.673473834991455,75.8222427368164,-72.52188110351562,3.9478180408477783,-0.011425994336605072,0.005675408989191055,0.03976770117878914,0.00760141434147954
-24.322538375854492,83.28084564208984,-59.922916412353516,-0.24966438114643097,0.005712997168302536,0.0,0.017043299973011017,0.00950176827609539
-44.31067657470703,85.06758880615234,-42.99630355834961,-2.153355360031128,0.007617329712957144,-0.003783605992794037,0.0321929007768631,0.013302475214004517
-61.50276184082031,82.12777709960938,-21.140108108520508,0.7021810412406921,0.017138991504907608,-0.017026226967573166,0.030299201607704163,0.011402121745049953
-74.73463439941406,73.21484375,2.968125104904175,3.869797945022583,0.001904332428239286,-0.02270163595676422,0.0378740020096302,0.005701060872524977
