220kV II母电压_A相_5,220kV II母电压_B相_6,220kV II母电压_C相_7,220kV II母电压_3U0_8,220kV砚普I回线_A相_17,220kV砚普I回线_B相_18,220kV砚普I回线_C相_19,220kV砚普I回线_3I0_20
82.05046844482422,-27.838768005371094,-55.9811897277832,-0.68357253074646,-0.17977473139762878,0.148064523935318,0.0682361051440239,0.026690760627388954
75.47398376464844,-6.583281993865967,-70.81407928466797,-1.0719660520553589,-0.17594973742961884,0.10250620543956757,0.10235415399074554,0.024784278124570847
63.0160026550293,15.399064064025879,-80.21170043945312,-1.1651804447174072,-0.16829974949359894,0.053151365369558334,0.14405399560928345,0.024784278124570847
45.92129135131836,36.685699462890625,-84.92088317871094,-1.662324070930481,-0.13769979774951935,0.0037965262308716774,0.16300846636295319,0.026690760627388954
26.150344848632812,55.39717483520508,-83.93548583984375,-2.081789016723633,-0.10327485203742981,-0.041761789470911026,0.17627659440040588,0.02287779562175274
5.145010471343994,70.10053253173828,-77.1932601928711,-1.5225024223327637,-0.05737491697072983,-0.0778287872672081,0.17438115179538727,0.026690760627388954
-16.306364059448242,79.3108901977539,-64.61123657226562,-0.6525010466575623,-0.009562485851347446,-0.10820099711418152,0.15921756625175476,0.026690760627388954
-37.40505599975586,83.7862777709961,-47.47562026977539,0.031071478500962257,0.04016244038939476,-0.12528535723686218,0.13078586757183075,0.024784278124570847
-56.30466842651367,82.7375259399414,-27.456403732299805,0.04660721868276596,0.08988736569881439,-0.13857319951057434,0.09287691861391068,0.02287779562175274
-71.1484375,75.69735717773438,-6.420670509338379,-1.1341090202331543,0.1262248158454895,-0.1366749405860901,0.04549073427915573,0.02287779562175274
-80.55675506591797,63.04998016357422,15.320404052734375,-1.973038911819458,0.16064976155757904,-0.12338709831237793,-0.0037908945232629776,0.026690760627388954
-84.73707580566406,46.22834396362305,36.356136322021484,-1.70893132686615,0.18359972536563873,-0.09111662954092026,-0.047386184334754944,0.026690760627388954
-83.60641479492188,26.520034790039062,54.985416412353516,-1.3982164859771729,0.19698721170425415,-0.053151365369558334,-0.10045870393514633,0.024784278124570847
-76.86396789550781,5.223013877868652,69.7249526977539,-1.2273234128952026,0.19889971613883972,-0.009491315111517906,-0.14026309549808502,0.026690760627388954
-64.20890045166016,-16.551658630371094,79.00847625732422,-0.7767869830131531,0.18359972536563873,0.039863526821136475,-0.17627659440040588,0.026690760627388954
-47.2594108581543,-37.9525146484375,83.53095245361328,-0.4971436560153961,0.15491227805614471,0.08921836316585541,-0.19523106515407562,0.019064828753471375
-27.395105361938477,-56.684757232666016,82.6596450805664,-0.32625052332878113,0.1185748279094696,0.1366749405860901,-0.21229009330272675,0.026690760627388954
-6.358652114868164,-71.3258056640625,76.10413360595703,-0.3728577494621277,0.07841238379478455,0.1708436757326126,-0.20281286537647247,0.024784278124570847
15.009737968444824,-80.80615234375,63.470245361328125,-1.5691096782684326,0.02677496150135994,0.20691068470478058,-0.18954473733901978,0.024784278124570847
36.24327850341797,-85.33345031738281,46.40723419189453,-2.4391109943389893,-0.02294996567070484,0.222096785902977,-0.1667993664741516,0.024784278124570847
55.163639068603516,-84.08740997314453,26.34653091430664,-1.9885746240615845,-0.07076239585876465,0.23158809542655945,-0.12130862474441528,0.026690760627388954
69.82069396972656,-77.02647399902344,5.072225570678711,-1.0719660520553589,-0.11092483997344971,0.2258933037519455,-0.08150423318147659,0.03050372563302517
79.05266571044922,-64.1506576538086,-16.399160385131836,-0.3728577494621277,-0.14343729615211487,0.21450373530387878,-0.03032715618610382,0.02287779562175274
83.11888885498047,-47.28748321533203,-37.36228561401367,-0.21750034391880035,-0.16829974949359894,0.18223325908184052,0.02084992080926895,0.024784278124570847
82.01934814453125,-27.766080856323242,-56.08491897583008,-0.854465663433075,-0.18168723583221436,0.14616626501083374,0.07013154774904251,0.024784278124570847
75.5051040649414,-6.4067583084106445,-70.82445526123047,-0.9942873120307922,-0.17594973742961884,0.10250620543956757,0.10424960404634476,0.026690760627388954
62.85003662109375,15.492518424987793,-80.3050537109375,-1.1341090202331543,-0.1702122539281845,0.05125310271978378,0.14594943821430206,0.026690760627388954
45.79681396484375,36.85184097290039,-84.96237182617188,-1.8798243999481201,-0.13769979774951935,0.0037965262308716774,0.16300846636295319,0.024784278124570847
26.046615600585938,55.625614166259766,-83.86287689208984,-1.926431655883789,-0.10518734902143478,-0.04366005212068558,0.1800674945116043,0.02287779562175274
4.885685443878174,70.06937408447266,-77.17251586914062,-1.5535739660263062,-0.05354992300271988,-0.07593052089214325,0.1781720519065857,0.02287779562175274
-16.43083953857422,79.26935577392578,-64.49713897705078,-0.7923226952552795,-0.009562485851347446,-0.11009926348924637,0.15921756625175476,0.026690760627388954
-37.488037109375,83.83819580078125,-47.268165588378906,0.2330360859632492,0.03633744642138481,-0.12528535723686218,0.13078586757183075,0.024784278124570847
-56.51213073730469,82.70636749267578,-27.404541015625,0.0,0.08606237173080444,-0.1404714733362198,0.08908602595329285,0.024784278124570847
-71.2417984008789,75.61428833007812,-6.223589897155762,-1.2739306688308716,0.13004980981349945,-0.13287842273712158,0.04359528794884682,0.024784278124570847
-80.54637908935547,62.95652770996094,15.517484664916992,-1.7244670391082764,0.164474755525589,-0.12338709831237793,-0.0037908945232629776,0.026690760627388954
-84.79931640625,45.98951721191406,36.5013542175293,-1.8021457195281982,0.18359972536563873,-0.09301488846540451,-0.047386184334754944,0.024784278124570847
-83.56492614746094,26.312358856201172,55.182498931884766,-1.4914309978485107,0.19698721170425415,-0.053151365369558334,-0.10235415399074554,0.02287779562175274
