220kVⅠ母电压_A相_1,220kVⅠ母电压_B相_2,220kVⅠ母电压_C相_3,220kVⅠ母电压_3U0_4,保紫线电流_A相_25,保紫线电流_B相_26,保紫线电流_C相_27,保紫线电流_3I0_28
-66.97340393066406,80.8198471069336,-13.736299514770508,0.373733788728714,0.009283880703151226,-0.20432651042938232,0.2695803940296173,-0.00928316731005907
-78.83218383789062,70.41729736328125,8.26462173461914,-0.23358361423015594,0.07427104562520981,-0.22290164232254028,0.24169278144836426,0.01856633462011814
-85.15338897705078,55.21356201171875,29.611433029174805,-0.42045050859451294,0.1299743354320526,-0.26933950185775757,0.17662164568901062,0.01856633462011814
-85.3936996459961,35.14629364013672,49.85768127441406,-0.49831169843673706,0.20424537360668182,-0.2600519359111786,0.12084639072418213,0.0
-80.94273376464844,13.863144874572754,66.90605926513672,-0.186866894364357,0.25066477060317993,-0.2507643401622772,0.05577525496482849,0.01856633462011814
-70.42133331298828,-8.376083374023438,78.82538604736328,0.15572240948677063,0.28780031204223633,-0.20432651042938232,0.0,0.00928316731005907
-54.48772048950195,-30.095703125,84.81620025634766,0.5294561982154846,0.28780031204223633,-0.14860109984874725,-0.08366288244724274,0.027849500998854637
-34.876319885253906,-50.318851470947266,85.47030639648438,0.6851785778999329,0.29708418250083923,-0.09287568926811218,-0.13943813741207123,0.0
-13.520059585571289,-67.21650695800781,80.73580169677734,0.2803003191947937,0.26923254132270813,-0.018575137481093407,-0.20450927317142487,0.0
8.766097068786621,-79.22985076904297,70.19737243652344,-0.0934334471821785,0.24138090014457703,0.04643784463405609,-0.2323969006538391,0.0
29.986530303955078,-85.31965637207031,54.92443084716797,-0.4827394485473633,0.16710984706878662,0.1300259679555893,-0.24169278144836426,0.00928316731005907
50.00541305541992,-85.84965515136719,35.37382507324219,-0.42045050859451294,0.14854209125041962,0.19503894448280334,-0.24169278144836426,0.0
66.81668090820312,-81.33946228027344,14.224286079406738,-0.32701703906059265,0.046419404447078705,0.2600519359111786,-0.24169278144836426,0.00928316731005907
79.05159759521484,-70.73945617675781,-8.150411605834961,0.3893060088157654,-0.027851641178131104,0.2879146337509155,-0.20450927317142487,0.00928316731005907
85.23697662353516,-55.61885452270508,-29.36224937438965,0.4671672284603119,-0.09283880889415741,0.2972021996974945,-0.14873401820659637,0.00928316731005907
85.46683502197266,-35.31256866455078,-49.8369140625,0.4515949785709381,-0.14854209125041962,0.31577733159065247,-0.08366288244724274,0.00928316731005907
80.74421691894531,-13.603341102600098,-67.0514144897461,0.06228896230459213,-0.19496148824691772,0.27862706780433655,-0.009295876137912273,-0.00928316731005907
25.295257568359375,9.436083793640137,-78.32701873779297,-76.03925323486328,5.9695353507995605,-0.26933950185775757,-0.4647938013076782,-5.1243085861206055
19.42333221435547,33.192569732666016,-81.80522155761719,-50.09589767456055,10.240120887756348,-0.41794058680534363,-0.4833855628967285,-9.218185424804688
16.487367630004883,52.55316925048828,-82.01287078857422,-22.595321655273438,12.579658508300781,-0.6779925227165222,-0.7808535695075989,-10.954137802124023
10.249751091003418,68.0894546508789,-77.92208862304688,1.199062466621399,13.294517517089844,-0.9380444288253784,-1.0039546489715576,-11.149084091186523
-5.965961456298828,80.89259338378906,-64.25846862792969,18.577682495117188,12.022625923156738,-0.8358811736106873,-0.9388834834098816,-10.0165376663208
-8.348166465759277,88.52044677734375,-50.42872619628906,51.80884552001953,9.0982027053833,-0.78944331407547,-0.8459247350692749,-7.240870475769043
-17.47995376586914,84.22847747802734,-36.34980010986328,52.96118927001953,4.855469703674316,-0.5851168036460876,-0.6600071787834167,-3.397639274597168
-31.313461303710938,79.55200958251953,-15.345616340637207,57.32141876220703,-0.11140656471252441,-0.26933950185775757,-0.29746803641319275,0.8911840319633484
-34.918113708496094,70.69788360595703,6.530712127685547,73.65670013427734,-5.561044692993164,0.18575137853622437,0.13943813741207123,5.477068901062012
-32.828460693359375,51.73218536376953,25.136493682861328,76.69328308105469,-11.363470077514648,0.6594173908233643,0.6321195960044861,10.295032501220703
-39.23324966430664,33.42119598388672,44.074520111083984,66.6180419921875,-17.054489135742188,1.1145082712173462,1.1619845628738403,14.936615943908691
-34.2076301574707,13.790400505065918,60.8010368347168,70.35538482666016,-22.43914031982422,1.5974618196487427,1.7383288145065308,19.17902374267578
-27.541635513305664,-10.54804515838623,71.77554321289062,58.691776275634766,-26.95110511779785,1.9782521724700928,2.193826675415039,22.780893325805664
-24.87732696533203,-29.908645629882812,78.77347564697266,41.873756408691406,-30.200464248657227,2.2383041381835938,2.481998920440674,25.398746490478516
-16.654541015625,-48.77042007446289,80.34126281738281,26.08350372314453,-32.13151168823242,2.349754810333252,2.742283344268799,26.87476921081543
-5.673409938812256,-64.5665054321289,75.81440734863281,9.872800827026367,-32.335758209228516,2.349754810333252,2.9560885429382324,26.884052276611328
0.20896537601947784,-76.18494415283203,66.6361083984375,-16.008262634277344,-30.980310440063477,2.2011537551879883,3.0211596488952637,25.63082504272461
8.943717956542969,-83.18926239013672,53.11784362792969,-36.33003616333008,-27.916629791259766,1.9318143129348755,2.900313377380371,22.92942237854004
19.621849060058594,-85.17416381835938,35.40497589111328,-52.10471725463867,-23.3953800201416,1.5324488878250122,2.6958041191101074,18.98407745361328
24.91912078857422,-80.5808334350586,15.823220252990723,-69.1407470703125,-17.657941818237305,1.0216325521469116,2.370448350906372,14.101131439208984
28.78498077392578,-70.3133773803711,-3.8312127590179443,-78.81111145019531,-11.140656471252441,0.45509088039398193,1.887062907218933,8.670477867126465
