220kV II母电压_A_5,220kV II母电压_B_6,220kV II母电压_C_7,220kV II母电压_N_8,220kV七东II回265_A_37,220kV七东II回265_B_38,220kV七东II回265_C_39,220kV七东II回265_N_40
-82.53527069091797,30.33690071105957,52.15238952636719,-0.14120100438594818,1.916031002998352,-1.0228140354156494,-0.8853660225868225,-0.017510000616312027
-79.50596618652344,17.909231185913086,61.882469177246094,-0.3294689953327179,1.8722859621047974,-0.7518119812011719,-1.122048020362854,-0.008755000308156013
-75.32365417480469,5.084045886993408,70.18659210205078,-0.09413400292396545,1.8110430240631104,-0.4283579885959625,-1.3674960136413574,0.0
-69.41180419921875,-8.128196716308594,77.5994873046875,-0.28240200877189636,1.6798080205917358,-0.12238799780607224,-1.5515819787979126,0.008755000308156013
-60.837528228759766,-21.016149520874023,82.59034729003906,-1.2080529928207397,1.5310750007629395,0.19232399761676788,-1.7356679439544678,0.017510000616312027
-50.04106903076172,-33.537967681884766,84.4461898803711,-1.5845890045166016,1.338597059249878,0.4808099865913391,-1.8496259450912476,0.02626500092446804
-38.07062530517578,-44.96137619018555,83.58641815185547,-0.6903160214424133,1.128620982170105,0.7343279719352722,-1.893455982208252,0.035020001232624054
-25.576080322265625,-56.06049728393555,82.06609344482422,-0.21964600682258606,0.8486530184745789,0.9878460168838501,-1.9109879732131958,0.035020001232624054
-13.228283882141113,-64.78497314453125,78.55361938476562,-0.2667129933834076,0.568684995174408,1.2326220273971558,-1.8846900463104248,0.04377499967813492
0.0419280007481575,-73.19561767578125,73.7514877319336,-0.4549809992313385,0.2537209987640381,1.4511719942092896,-1.7794979810714722,0.05253000184893608
13.427441596984863,-80.19402313232422,67.15642547607422,-0.1882680058479309,-0.052494000643491745,1.6172699928283691,-1.6655399799346924,0.05253000184893608
25.890539169311523,-83.68800354003906,57.92962646484375,0.3294689953327179,-0.3587090075016022,1.7571419477462769,-1.516517996788025,0.061285000294446945
37.58845138549805,-83.92860412597656,46.53242874145508,0.07844500243663788,-0.6299279928207397,1.8795299530029297,-1.3411979675292969,0.05253000184893608
48.699371337890625,-83.03942108154297,34.51662063598633,0.04706700146198273,-0.8836489915847778,1.8882720470428467,-1.1045160293579102,0.05253000184893608
59.09751510620117,-80.7903060913086,21.987045288085938,-0.10982300341129303,-1.137369990348816,1.9057559967041016,-0.8415359854698181,0.05253000184893608
68.00721740722656,-77.08711242675781,9.27922534942627,-0.07844500243663788,-1.3735929727554321,1.84456205368042,-0.5347260236740112,0.04377499967813492
75.48088073730469,-71.80430603027344,-3.7116899490356445,0.0627560019493103,-1.5660710334777832,1.7483999729156494,-0.24544799327850342,0.035020001232624054
81.59188842773438,-64.34561157226562,-17.04861068725586,-0.42360299825668335,-1.7410509586334229,1.6172699928283691,0.061361998319625854,0.04377499967813492
83.8035888671875,-54.282127380371094,-29.211210250854492,-0.5020480155944824,-1.8635369539260864,1.442430019378662,0.34187400341033936,0.035020001232624054
83.6463623046875,-42.523963928222656,-40.90198516845703,-0.21964600682258606,-1.924780011177063,1.258847951889038,0.6136199831962585,0.02626500092446804
82.4618911743164,-30.33690071105957,-52.15238952636719,0.14120100438594818,-1.933529019355774,1.005329966545105,0.8678339719772339,0.017510000616312027
79.51644897460938,-17.919692993164062,-61.91392517089844,0.23533500730991364,-1.8985329866409302,0.7255859971046448,1.1308139562606812,0.008755000308156013
75.31317138671875,-5.063124179840088,-70.27046966552734,0.09413400292396545,-1.8197920322418213,0.4196160137653351,1.3587299585342407,0.008755000308156013
69.29650115966797,8.086353302001953,-77.63094329833984,0.4392920136451721,-1.671059012413025,0.113646000623703,1.5428160429000854,-0.008755000308156013
60.722225189208984,21.005687713623047,-82.56937408447266,1.3335649967193604,-1.5398240089416504,-0.2010660022497177,1.7093700170516968,-0.017510000616312027
50.051551818847656,33.527503967285156,-84.4671630859375,1.4120099544525146,-1.3560949563980103,-0.49829399585723877,1.8320939540863037,-0.02626500092446804
38.15447998046875,44.9822998046875,-83.63884735107422,0.40791401267051697,-1.111122965812683,-0.7518119812011719,1.8846900463104248,-0.04377499967813492
25.555116653442383,56.06049728393555,-82.09754943847656,0.10982300341129303,-0.866150975227356,-1.0228140354156494,1.893455982208252,-0.05253000184893608
13.092018127441406,64.76405334472656,-78.52216339111328,0.29809099435806274,-0.568684995174408,-1.2501059770584106,1.867158055305481,-0.05253000184893608
-0.19915799796581268,73.16423034667969,-73.72003173828125,0.5334259867668152,-0.262470006942749,-1.4511719942092896,1.770732045173645,-0.061285000294446945
-13.469369888305664,80.17310333251953,-67.18788146972656,0.20395700633525848,0.034995999187231064,-1.6522380113601685,1.6655399799346924,-0.07004000246524811
-25.93246841430664,83.5938491821289,-57.91913986206055,-0.34515801072120667,0.3412109911441803,-1.7921099662780762,1.4902199506759644,-0.061285000294446945
-37.61989974975586,83.83445739746094,-46.52194595336914,-0.07844500243663788,0.6124299764633179,-1.8970140218734741,1.323665976524353,-0.061285000294446945
-48.79370880126953,82.97665405273438,-34.45370864868164,-0.015689000487327576,0.8574020266532898,-1.914497971534729,1.0869840383529663,-0.061285000294446945
-59.21281814575195,80.75891876220703,-21.913650512695312,0.07844500243663788,1.137369990348816,-1.9319820404052734,0.8327699899673462,-0.05253000184893608
-68.05962371826172,77.08711242675781,-9.268739700317383,-0.03137800097465515,1.3473459482192993,-1.8620460033416748,0.5259600281715393,-0.061285000294446945
-75.5123291015625,71.69969177246094,3.795569896697998,-0.17257900536060333,1.5485730171203613,-1.7571419477462769,0.2366819977760315,-0.05253000184893608
-81.65477752685547,64.27238464355469,17.05909538269043,0.3922249972820282,1.723552942276001,-1.643496036529541,-0.0788939967751503,-0.04377499967813492
-83.88744354248047,54.18798065185547,29.17975425720215,0.627560019493103,1.8285410404205322,-1.4686559438705444,-0.3594059944152832,-0.035020001232624054
-83.7406997680664,42.42981719970703,40.90198516845703,0.3137800097465515,1.9072819948196411,-1.258847951889038,-0.6311519742012024,-0.02626500092446804
-82.49333953857422,30.326438903808594,52.14190673828125,-0.1255120038986206,1.8985329866409302,-1.0228140354156494,-0.8766000270843506,-0.017510000616312027
-79.47452545166016,17.83600425720215,61.91392517089844,-0.3137800097465515,1.8810349702835083,-0.7518119812011719,-1.122048020362854,-0.008755000308156013
-75.33413696289062,5.0003581047058105,70.27046966552734,-0.09413400292396545,1.8022940158843994,-0.43709999322891235,-1.3850280046463013,0.0
-69.35939025878906,-8.222346305847168,77.65190887451172,-0.2667129933834076,1.671059012413025,-0.13112999498844147,-1.5603480339050293,0.008755000308156013
-60.73270797729492,-21.120758056640625,82.59034729003906,-1.1609859466552734,1.5310750007629395,0.18358199298381805,-1.7356679439544678,0.008755000308156013
-50.009620666503906,-33.5693473815918,84.45667266845703,-1.5218329429626465,1.338597059249878,0.4808099865913391,-1.8496259450912476,0.017510000616312027
-38.060142517089844,-44.9822998046875,83.59690856933594,-0.6746270060539246,1.119871973991394,0.7255859971046448,-1.9022220373153687,0.035020001232624054
-25.565597534179688,-56.1128044128418,82.08706665039062,-0.2510240077972412,0.8574020266532898,0.9965879917144775,-1.9197540283203125,0.04377499967813492
-13.12346363067627,-64.8372802734375,78.49070739746094,-0.23533500730991364,0.568684995174408,1.2413640022277832,-1.8846900463104248,0.04377499967813492
