220kV玉元Ⅱ回电压_Ua_37,220kV玉元Ⅱ回电压_Ub_38,220kV玉元Ⅱ回电压_Uc_39,220kV玉元Ⅱ回电压_3U0_40,220kV玉元Ⅱ回电流_Ia_29,220kV玉元Ⅱ回电流_Ib_30,220kV玉元Ⅱ回电流_Ic_31,220kV玉元Ⅱ回电流_3I0_32
38.717620849609375,46.292518615722656,-85.66154479980469,-1.005944013595581,-0.09839300066232681,0.061778999865055084,-0.03526400029659271,0.017743000760674477
33.30862045288086,50.97190475463867,-84.81742858886719,-0.9745079874992371,-0.09839300066232681,0.061778999865055084,0.035255998373031616,-0.017733000218868256
27.9212589263916,55.500343322753906,-83.90837860107422,-0.8173279762268066,-0.0626169964671135,0.061778999865055084,0.035255998373031616,-0.017733000218868256
22.620437622070312,59.64063262939453,-82.58809661865234,-0.597275972366333,-0.026840999722480774,0.061778999865055084,-0.03526400029659271,-0.017733000218868256
17.319618225097656,63.43589782714844,-80.9215087890625,-0.31435200572013855,-0.026840999722480774,0.061778999865055084,0.035255998373031616,-0.05320899933576584
12.105341911315918,66.99395751953125,-79.18998718261719,-0.22004400193691254,-0.0626169964671135,0.061778999865055084,-3.999999989900971e-06,0.017743000760674477
6.891066074371338,70.55201721191406,-77.45846557617188,-0.06286399811506271,-0.0626169964671135,0.026482999324798584,0.035255998373031616,0.017743000760674477
1.5469739437103271,73.721923828125,-75.25077819824219,0.0628800019621849,-0.09839300066232681,0.026482999324798584,-0.03526400029659271,0.017743000760674477
-4.013477802276611,76.50367736816406,-72.32884216308594,0.18862399458885193,-0.13416899740695953,0.026482999324798584,-3.999999989900971e-06,-0.017733000218868256
-9.55229377746582,78.83259582519531,-69.08223724365234,0.25149598717689514,-0.09839300066232681,0.061778999865055084,-3.999999989900971e-06,-0.017733000218868256
-14.874750137329102,80.90274047851562,-65.79235076904297,0.31436800956726074,-0.09839300066232681,0.026482999324798584,0.035255998373031616,0.017743000760674477
-19.894302368164062,82.62785339355469,-62.39424133300781,0.40867599844932556,-0.09839300066232681,0.026482999324798584,0.035255998373031616,-0.017733000218868256
-24.740766525268555,83.90013122558594,-58.71476364135742,0.6916000247001648,-0.0626169964671135,0.026482999324798584,0.07051599770784378,0.017743000760674477
-29.392505645751953,84.87051391601562,-55.01363754272461,0.754472017288208,-0.0626169964671135,0.061778999865055084,0.035255998373031616,0.017743000760674477
-33.9144287109375,85.71150970458984,-51.2259407043457,0.7859079837799072,-0.0626169964671135,0.026482999324798584,0.07051599770784378,-0.017733000218868256
-38.587806701660156,86.22904205322266,-47.09193420410156,0.754472017288208,-0.0626169964671135,0.026482999324798584,0.035255998373031616,0.017743000760674477
-43.45590591430664,86.2506103515625,-42.37354278564453,0.5658559799194336,-0.0626169964671135,-0.008813000284135342,0.035255998373031616,0.017743000760674477
-48.02110290527344,85.56056213378906,-37.070762634277344,0.5344200134277344,-0.0626169964671135,0.061778999865055084,0.07051599770784378,0.017743000760674477
-52.34830093383789,84.41767120361328,-31.767982482910156,0.37724000215530396,-0.09839300066232681,-0.008813000284135342,0.07051599770784378,-0.017733000218868256
-56.50241470336914,83.23165130615234,-26.46520233154297,0.25149598717689514,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,-0.017733000218868256
-60.591617584228516,81.9593734741211,-21.184066772460938,0.0628800019621849,-0.026840999722480774,0.026482999324798584,0.07051599770784378,0.05321900174021721
-64.37791442871094,80.40676879882812,-15.924574851989746,-0.06286399811506271,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-67.83967590332031,78.61695098876953,-10.73001480102539,-0.18860800564289093,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-71.21489715576172,76.67619323730469,-5.470522880554199,-0.28291600942611694,-0.026840999722480774,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-74.37374877929688,74.34728240966797,-0.1460990011692047,-0.628711998462677,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,-0.017733000218868256
-77.20806884765625,71.5008316040039,5.3731207847595215,-0.8802000284194946,-0.09839300066232681,-0.044109001755714417,0.07051599770784378,0.017743000760674477
-79.47984313964844,68.24466705322266,10.784120559692383,-1.1631239652633667,-0.026840999722480774,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-81.34054565429688,64.68660736083984,16.108545303344727,-1.2259960174560547,-0.026840999722480774,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-82.89833068847656,61.12854766845703,21.108308792114258,-1.4460480213165283,-0.0626169964671135,-0.07940500229597092,0.07051599770784378,-0.017733000218868256
-84.19649505615234,57.52736282348633,25.956565856933594,-1.603227972984314,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-85.17011260986328,53.90460968017578,30.50180435180664,-1.6975359916687012,-0.026840999722480774,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-85.94901275634766,50.06621551513672,35.0254020690918,-1.6975359916687012,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-86.25191497802734,45.66716003417969,39.72214889526367,-1.7289719581604004,-0.0626169964671135,-0.008813000284135342,0.07051599770784378,0.017743000760674477
-85.86246490478516,40.621185302734375,44.39725112915039,-1.7604080438613892,0.044711001217365265,-0.07940500229597092,0.10577599704265594,-0.017733000218868256
-85.01866149902344,35.208621978759766,49.007423400878906,-1.6346640586853027,-0.026840999722480774,-0.07940500229597092,0.10577599704265594,0.017743000760674477
