III母电压_1,III母电压_2,III母电压_3,III母电压_4,建岗II回_17,建岗II回_18,建岗II回_19,建岗II回_20
-70.69121551513672,74.21968078613281,-2.8821120262145996,0.19452500343322754,0.028544999659061432,-0.08909499645233154,0.04843999817967415,-0.006054999772459269
-73.2236557006836,71.69253540039062,2.0397300720214844,0.023343000560998917,0.04411499947309494,-0.0968799963593483,0.042385000735521317,-0.00432500010356307
-75.58656311035156,68.8369140625,7.141704082489014,-0.12449599802494049,0.042385000735521317,-0.09601499885320663,0.03805999830365181,-0.006920000072568655
-77.21305084228516,65.37202453613281,12.206591606140137,-0.24121099710464478,0.05017000064253807,-0.09428499639034271,0.03805999830365181,-0.006054999772459269
-78.62761688232422,62.14024353027344,16.847639083862305,-0.19452500343322754,0.05103499814867973,-0.08909499645233154,0.02768000029027462,-0.00432500010356307
-79.86205291748047,58.8130989074707,21.520475387573242,-0.15561999380588531,0.057089999318122864,-0.09601499885320663,0.025949999690055847,-0.006920000072568655
-80.90576171875,54.84489440917969,26.373443603515625,-0.3034589886665344,0.0562250018119812,-0.0899600014090538,0.015569999814033508,-0.006054999772459269
-81.38257598876953,50.707157135009766,31.009193420410156,-0.37348800897598267,0.06487499922513962,-0.08736500144004822,0.014705000445246696,-0.006920000072568655
-81.73224639892578,46.32571029663086,35.77739334106445,-0.24899199604988098,0.06660500168800354,-0.0899600014090538,0.011245000176131725,-0.0034600000362843275
-81.95476531982422,41.562808990478516,40.789302825927734,-0.10115300118923187,0.07179500162601471,-0.0856349989771843,0.009514999575912952,-0.0008650000090710819
-81.79052734375,36.67805480957031,45.55750274658203,-0.12449599802494049,0.07784999907016754,-0.08390499651432037,0.0025949999690055847,-0.006920000072568655
-81.41436767578125,31.856874465942383,50.013118743896484,-0.10893400013446808,0.07698500156402588,-0.08217500150203705,-0.0034600000362843275,-0.0017300000181421638
-80.61966705322266,26.7919864654541,54.22502899169922,-0.23342999815940857,0.0787149965763092,-0.07525499910116196,-0.00432500010356307,-0.0017300000181421638
-79.50708770751953,21.859548568725586,58.0342903137207,-0.17118200659751892,0.08390499651432037,-0.0743900015950203,-0.012109999544918537,-0.005189999938011169
-78.23556518554688,16.943004608154297,61.716400146484375,-0.03890499845147133,0.08390499651432037,-0.0674699991941452,-0.019895000383257866,-0.0008650000090710819
-76.7044448852539,11.825136184692383,65.350830078125,-0.03890499845147133,0.08130999654531479,-0.06227999925613403,-0.025085000321269035,-0.00432500010356307
-74.70709991455078,6.574818134307861,68.57730865478516,-0.023343000560998917,0.0856349989771843,-0.06141500174999237,-0.031139999628067017,-0.0025949999690055847
-72.3388900756836,1.5417180061340332,71.23690795898438,-0.04668600112199783,0.09168999642133713,-0.0562250018119812,-0.03979000076651573,-0.0017300000181421638
-69.97598266601562,-3.4754879474639893,73.83293151855469,-0.062247999012470245,0.0899600014090538,-0.05536000058054924,-0.0449800007045269,-0.006920000072568655
-66.99850463867188,-8.598653793334961,76.08457946777344,0.07780999690294266,0.09168999642133713,-0.05103499814867973,-0.04411499947309494,-0.005189999938011169
-63.65017318725586,-13.388046264648438,77.61040496826172,0.22564899921417236,0.08477000147104263,-0.04411499947309494,-0.047575000673532486,-0.006054999772459269
-60.29124069213867,-18.060882568359375,79.00377655029297,0.35792601108551025,0.08303999900817871,-0.03892499953508377,-0.058820001780986786,-0.005189999938011169
-56.752174377441406,-22.87676429748535,80.35476684570312,0.48242199420928955,0.08649999648332596,-0.029410000890493393,-0.0562250018119812,-0.0017300000181421638
-52.7415885925293,-27.591983795166016,81.04350280761719,0.4357360005378723,0.08390499651432037,-0.02768000029027462,-0.06833499670028687,-0.0034600000362843275
-48.481998443603516,-32.28071212768555,81.55211639404297,0.5680130124092102,0.08390499651432037,-0.018164999783039093,-0.07179500162601471,-0.0025949999690055847
-44.0263786315918,-37.17076873779297,82.04483032226562,0.7314140200614929,0.08477000147104263,-0.01384000014513731,-0.0743900015950203,-0.0017300000181421638
