第二组母线_5,第二组母线_6,第二组母线_7,第二组母线_8,220KV朝黄II回线_41,220KV朝黄II回线_42,220KV朝黄II回线_43,220KV朝黄II回线_44
84.2009048461914,-52.08250045776367,-30.996387481689453,1.433256983757019,-0.19641700387001038,0.27309900522232056,-0.11762700229883194,-0.021800000220537186
84.7132339477539,-47.76579284667969,-35.71004867553711,1.4175070524215698,-0.21387700736522675,0.27309900522232056,-0.11762700229883194,-0.021800000220537186
84.84806060791016,-43.28097152709961,-40.353275299072266,1.2836320400238037,-0.26625698804855347,0.27309900522232056,-0.10019899904727936,-0.021800000220537186
84.7725601196289,-38.66599655151367,-44.893558502197266,1.1655069589614868,-0.2487969994544983,0.23841899633407593,-0.04791500046849251,-0.004348000045865774
84.44358825683594,-33.87748718261719,-49.40675354003906,0.8662570118904114,-0.26625698804855347,0.23841899633407593,-0.030486999079585075,-0.021800000220537186
83.8773193359375,-28.94255828857422,-53.86576461791992,0.6221320033073425,-0.26625698804855347,0.23841899633407593,-0.013058999553322792,-0.021800000220537186
82.87422180175781,-23.85036277770996,-57.9075927734375,0.4803819954395294,-0.26625698804855347,0.23841899633407593,-0.013058999553322792,-0.021800000220537186
81.61225891113281,-18.74189567565918,-61.792301177978516,0.2913820147514343,-0.3011769950389862,0.23841899633407593,0.03922500088810921,-0.021800000220537186
79.92964935302734,-13.449048042297363,-65.3519287109375,0.25200700759887695,-0.33609700202941895,0.2210790067911148,0.05665300041437149,-0.021800000220537186
77.92344665527344,-8.161623001098633,-68.6514892578125,0.1890069991350174,-0.3535569906234741,0.2037390023469925,0.07408100366592407,-0.021800000220537186
75.54513549804688,-2.7928531169891357,-71.57179260253906,0.25988200306892395,-0.3535569906234741,0.18639899790287018,0.12636500597000122,-0.021800000220537186
72.73538208007812,2.5650711059570312,-74.13992309570312,0.25200700759887695,-0.3535569906234741,0.16905899345874786,0.1437930017709732,-0.004348000045865774
69.7584457397461,7.863341808319092,-76.49674987792969,7.000000096013537e-06,-0.3535569906234741,0.15171900391578674,0.1612209975719452,-0.021800000220537186
66.34468078613281,13.188728332519531,-78.50141143798828,-0.07874300330877304,-0.38847699761390686,0.13437899947166443,0.17864899337291718,-0.004348000045865774
62.69361877441406,18.45446014404297,-80.17557525634766,-0.26774299144744873,-0.3535569906234741,0.11703900247812271,0.23093299567699432,-0.021800000220537186
58.74054718017578,23.524965286254883,-81.4433822631836,-0.4646179974079132,-0.3535569906234741,0.0996989980340004,0.23093299567699432,-0.021800000220537186
54.620296478271484,28.557510375976562,-82.48905944824219,-0.6378679871559143,-0.3535569906234741,0.08235900104045868,0.23093299567699432,-0.004348000045865774
50.20343017578125,33.49243927001953,-83.07420349121094,-0.7402430176734924,-0.3535569906234741,0.08235900104045868,0.23093299567699432,-0.021800000220537186
45.64634323120117,38.43821716308594,-83.3180160522461,-0.716618001461029,-0.33609700202941895,0.06501899659633636,0.2657890021800995,-0.004348000045865774
40.9598274230957,43.2213020324707,-83.32343292236328,-0.519743025302887,-0.3710170090198517,0.03033900074660778,0.2657890021800995,-0.004348000045865774
36.208595275878906,47.8633918762207,-83.12838745117188,-0.3386180102825165,-0.3535569906234741,-0.004341000225394964,0.2657890021800995,-0.021800000220537186
31.39264678955078,52.3807487487793,-82.75995635986328,-0.23624299466609955,-0.33609700202941895,-0.004341000225394964,0.28321701288223267,-0.004348000045865774
26.511980056762695,56.65949630737305,-82.09354400634766,-0.01574300043284893,-0.33609700202941895,-0.004341000225394964,0.30064499378204346,-0.004348000045865774
21.64749526977539,60.63455581665039,-81.10205078125,0.11813200265169144,-0.3011769950389862,-0.05636100098490715,0.3355009853839874,-0.021800000220537186
16.691328048706055,64.33846282958984,-79.861328125,0.1653819978237152,-0.3011769950389862,-0.05636100098490715,0.3355009853839874,-0.004348000045865774
11.702802658081055,67.69529724121094,-78.32261657714844,0.11813200265169144,-0.3011769950389862,-0.07370100170373917,0.3703570067882538,-0.004348000045865774
6.5255231857299805,70.80810546875,-76.27461242675781,0.10238199681043625,-0.26625698804855347,-0.1083810031414032,0.40521299839019775,-0.004348000045865774
1.3428499698638916,73.56298828125,-73.90152740478516,0.10238199681043625,-0.26625698804855347,-0.12572099268436432,0.3703570067882538,-0.004348000045865774
-3.888360023498535,76.10637664794922,-71.15460205078125,0.24413199722766876,-0.2487969994544983,-0.14306099712848663,0.3703570067882538,-0.004348000045865774
-9.195072174072266,78.25930786132812,-67.99591064453125,0.40950700640678406,-0.23133699595928192,-0.16040100157260895,0.3703570067882538,-0.004348000045865774
-14.528749465942383,80.26039123535156,-64.53380584716797,0.5433819890022278,-0.21387700736522675,-0.17774100601673126,0.3703570067882538,-0.004348000045865774
-19.878604888916016,81.82221221923828,-60.73037338256836,0.858381986618042,-0.19641700387001038,-0.17774100601673126,0.3877849876880646,-0.004348000045865774
-25.023527145385742,83.13458251953125,-56.68312454223633,1.1025069952011108,-0.16149699687957764,-0.19508099555969238,0.3703570067882538,-0.004348000045865774
-30.163055419921875,84.08902740478516,-52.52210235595703,1.2521320581436157,-0.14403699338436127,-0.19508099555969238,0.3355009853839874,-0.004348000045865774
-35.16775894165039,84.72351837158203,-48.23104476928711,1.236382007598877,-0.1265770047903061,-0.2124210000038147,0.3355009853839874,-0.004348000045865774
-40.048423767089844,85.13566589355469,-43.8370475769043,1.0788819789886475,-0.1265770047903061,-0.229761004447937,0.3355009853839874,-0.021800000220537186
-44.69718933105469,85.13566589355469,-39.313018798828125,0.795382022857666,-0.09165699779987335,-0.2124210000038147,0.3355009853839874,-0.004348000045865774
