500kV鲁仁甲线_Ua_5,500kV鲁仁甲线_Ub_6,500kV鲁仁甲线_Uc_7,500kV鲁仁甲线_3U0_8,500kV鲁仁甲线_Ia_45,500kV鲁仁甲线_Ib_46,500kV鲁仁甲线_Ic_47,500kV鲁仁甲线_3I0_48
-82.60753631591797,18.681425094604492,63.87164306640625,0.031122736632823944,0.5687347650527954,-0.1450197994709015,-0.3550333082675934,0.015554159879684448
-80.83353424072266,13.553953170776367,67.23290252685547,-0.023342058062553406,0.551342248916626,-0.11028451472520828,-0.3723098635673523,0.012097680009901524
-78.7483139038086,7.998544216156006,70.60193634033203,-0.023342058062553406,0.5374282598495483,-0.07902276515960693,-0.393041729927063,0.012097680009901524
-76.32073974609375,2.660994291305542,73.70642852783203,0.11671027541160583,0.5269927382469177,-0.040813952684402466,-0.42068424820899963,0.015554159879684448
-73.52747344970703,-2.4820384979248047,76.17290496826172,0.23342055082321167,0.5130787491798401,-0.0026051460299640894,-0.43796080350875854,0.015554159879684448
-70.53190612792969,-7.889614582061768,78.55379486083984,0.42015698552131653,0.49568626284599304,0.028656605631113052,-0.45869266986846924,0.015554159879684448
-66.90611267089844,-13.304971694946289,80.545654296875,0.7313843965530396,0.4748152494430542,0.06339188665151596,-0.47251391410827637,0.012097680009901524
-63.000205993652344,-18.79813575744629,82.30408477783203,0.9414628744125366,0.45742276310920715,0.08770658075809479,-0.4897904694080353,0.015554159879684448
-59.08652114868164,-24.127904891967773,83.87578582763672,1.244909644126892,0.4330732524394989,0.122441865503788,-0.49670109152793884,0.015554159879684448
-54.916072845458984,-29.177568435668945,84.79390716552734,1.330497145652771,0.40176674723625183,0.16065067052841187,-0.5036117434501648,0.022467119619250298
-50.551109313964844,-34.4839973449707,85.74314880371094,1.190444827079773,0.3843742609024048,0.19538594782352448,-0.5105223655700684,0.015554159879684448
-46.0071907043457,-39.62702941894531,86.28779602050781,1.112637996673584,0.36002475023269653,0.23012122511863708,-0.5105223655700684,0.022467119619250298
-41.346561431884766,-44.43549346923828,86.35004425048828,0.9648049473762512,0.32871824502944946,0.26138296723365784,-0.5243436098098755,0.015554159879684448
-36.73261260986328,-48.94050979614258,85.99990844726562,0.7158229947090149,0.3008902370929718,0.2891712188720703,-0.5243436098098755,0.015554159879684448
