220kV Ⅷ母电压_A相_1,220kV Ⅷ母电压_B相_2,220kV Ⅷ母电压_C相_3,220kV Ⅷ母电压_3U0_4,220kV草水Ⅱ回线247_A相_21,220kV草水Ⅱ回线247_B相_22,220kV草水Ⅱ回线247_C相_23,220kV草水Ⅱ回线247_3I0_24
51.030982971191406,34.32736587524414,-85.6660385131836,-0.248723566532135,0.04176683351397514,0.060375966131687164,-0.07193798571825027,0.013219903223216534
31.49364471435547,53.8555908203125,-85.61417388916016,-0.23317834734916687,0.015187939628958702,0.0716964602470398,-0.06815177947282791,0.01133134588599205
9.147357940673828,69.66069793701172,-79.01649475097656,-0.248723566532135,-0.005695477593690157,0.08113019913434982,-0.05679314583539963,0.013219903223216534
-12.937872886657715,80.79894256591797,-67.82327270507812,0.1243617832660675,-0.028477387502789497,0.09245069324970245,-0.0397552028298378,0.013219903223216534
-34.22949981689453,85.70433044433594,-51.349830627441406,0.21763311326503754,-0.0436653271317482,0.08679044991731644,-0.02082415297627449,0.015108460560441017
-53.64152908325195,85.53839874267578,-31.857643127441406,0.23317834734916687,-0.05885326862335205,0.08490370213985443,-0.001893104868941009,0.015108460560441017
-69.4614486694336,78.96331024169922,-9.595675468444824,0.046635668724775314,-0.06834573298692703,0.0716964602470398,0.02082415297627449,0.01133134588599205
-80.51972961425781,67.8458023071289,12.458817481994629,-0.17099745571613312,-0.06644723564386368,0.06226271390914917,0.0397552028298378,0.013219903223216534
-85.50064849853516,51.17992401123047,33.994625091552734,-0.31090444326400757,-0.06834573298692703,0.04716872423887253,0.06057935580611229,0.013219903223216534
-85.29180908203125,31.558359146118164,53.5283088684082,-0.15545222163200378,-0.06834573298692703,0.020754238590598106,0.07004488259553909,0.01133134588599205
-78.5983657836914,9.261128425598145,69.28596496582031,0.0,-0.05315779149532318,-0.0037734978832304478,0.0795104056596756,0.013219903223216534
-67.34168243408203,-12.828685760498047,80.3235855102539,0.29535922408103943,-0.039868343621492386,-0.024527736008167267,0.08708282560110092,0.01133134588599205
-50.999656677246094,-34.18217468261719,85.51043701171875,0.46635669469833374,-0.018984925001859665,-0.04150847718119621,0.09276214241981506,0.01133134588599205
-31.53541374206543,-53.68965530395508,85.46894073486328,0.3730853497982025,0.0037969849072396755,-0.05471571907401085,0.08708282560110092,0.01133134588599205
-9.178685188293457,-69.57772827148438,78.91275787353516,0.41972100734710693,0.028477387502789497,-0.06414946168661118,0.07572419941425323,0.015108460560441017
