35kV I母电压_A相_5,35kV I母电压_B相_6,35kV I母电压_C相_7,35kV I母电压_3U0_8,35kV I母接地变电流_A相_73,35kV I母接地变电流_B相_74,35kV I母接地变电流_C相_75,35kV I母接地变电流_3I0_76
-82.1837387084961,55.17832946777344,25.946929931640625,-1.168280005455017,0.009329548105597496,0.03739065304398537,0.009340482763946056,-0.009340750053524971
-84.05533599853516,38.07481384277344,45.573455810546875,-0.7944303750991821,0.009329548105597496,0.009347663260996342,-0.009340482763946056,-0.056044500321149826
-79.85464477539062,17.176294326782227,62.621917724609375,-0.5919285416603088,-0.009329548105597496,0.0,-0.028021449223160744,-0.08406674861907959
-70.7878189086914,-4.210895538330078,74.12963104248047,-1.0280864238739014,0.0,-0.009347663260996342,-0.018680965527892113,-0.08406674861907959
-56.00223159790039,-26.856157302856445,81.26087951660156,-1.3707818984985352,-0.018659096211194992,-0.018695326521992683,-0.009340482763946056,-0.07472600042819977
-37.951751708984375,-46.215877532958984,82.59149169921875,-1.24616539478302,-0.018659096211194992,-0.018695326521992683,-0.018680965527892113,-0.07472600042819977
-17.39542007446289,-62.84111785888672,79.47286987304688,-0.5763514637947083,0.0,0.018695326521992683,-0.009340482763946056,-0.056044500321149826
5.032506465911865,-74.62123107910156,70.56401062011719,0.62308269739151,0.009329548105597496,0.009347663260996342,0.0,-0.056044500321149826
27.62679672241211,-80.75562286376953,55.729766845703125,1.7913626432418823,0.009329548105597496,-0.009347663260996342,0.018680965527892113,-0.046703752130270004
46.69625473022461,-82.55435180664062,39.40898132324219,2.601370096206665,0.027988644316792488,0.018695326521992683,0.018680965527892113,-0.046703752130270004
64.13326263427734,-78.87371063232422,18.15037727355957,2.7259867191314697,0.018659096211194992,0.009347663260996342,0.009340482763946056,-0.028022250160574913
75.32123565673828,-69.32901763916016,-3.43048357963562,2.305405855178833,0.027988644316792488,0.0280429907143116,0.0,-0.009340750053524971
82.2877197265625,-55.50064468383789,-25.37518310546875,1.6667461395263672,0.037318192422389984,0.0280429907143116,0.018680965527892113,0.018681500107049942
83.76419830322266,-37.52375793457031,-45.91650390625,0.9813551902770996,0.055977288633584976,0.0280429907143116,0.037361931055784225,0.06538525223731995
80.1977767944336,-17.550596237182617,-62.59073257446289,0.8567386865615845,0.04664773866534233,0.046738315373659134,0.037361931055784225,0.10274825245141983
70.47588348388672,4.2524847984313965,-74.44149780273438,0.965778112411499,0.055977288633584976,0.06543364375829697,0.028021449223160744,0.10274825245141983
55.752685546875,26.38827896118164,-81.31285858154297,1.1527029275894165,0.055977288633584976,0.03739065304398537,0.018680965527892113,0.09340750426054001
38.62760543823242,45.4776725769043,-83.0696792602539,1.1059716939926147,0.055977288633584976,0.0560859814286232,0.037361931055784225,0.11208900064229965
17.166669845581055,62.5811882019043,-79.68077850341797,0.3426954746246338,0.06530683487653732,0.046738315373659134,0.037361931055784225,0.10274825245141983
-4.845346927642822,74.2677230834961,-70.58480072021484,-0.5763514637947083,0.04664773866534233,0.0560859814286232,0.037361931055784225,0.10274825245141983
-27.221284866333008,80.59966278076172,-56.14558029174805,-1.7290544509887695,0.055977288633584976,0.046738315373659134,0.028021449223160744,0.06538525223731995
-47.195343017578125,82.83507537841797,-39.201072692871094,-2.2898287773132324,0.037318192422389984,0.0280429907143116,0.0,0.046703752130270004
-64.20604705810547,79.12324523925781,-18.431053161621094,-2.383291244506836,0.027988644316792488,0.03739065304398537,-0.009340482763946056,0.018681500107049942
-75.35242462158203,69.33941650390625,3.4824607372283936,-1.8692480325698853,0.027988644316792488,0.0280429907143116,0.0,0.018681500107049942
-82.19413757324219,55.50064468383789,25.5415096282959,-1.1527029275894165,0.009329548105597496,0.0280429907143116,-0.028021449223160744,-0.018681500107049942
-84.12812042236328,38.18918228149414,45.52147674560547,-0.8100074529647827,0.018659096211194992,0.03739065304398537,-0.018680965527892113,-0.037363000214099884
-79.95862579345703,17.436227798461914,62.486778259277344,-0.6075056195259094,-0.009329548105597496,0.0,-0.009340482763946056,-0.06538525223731995
-70.93338775634766,-3.878182888031006,73.98410034179688,-1.0125093460083008,-0.009329548105597496,0.009347663260996342,0.0,-0.056044500321149826
-55.763084411621094,-26.67940330505371,80.89704132080078,-1.339627742767334,0.009329548105597496,0.0,-0.018680965527892113,-0.07472600042819977
-38.50283432006836,-46.111907958984375,83.12165832519531,-1.2305883169174194,-0.018659096211194992,-0.009347663260996342,0.0,-0.09340750426054001
-17.54098892211914,-62.40443420410156,79.1610107421875,-0.62308269739151,0.009329548105597496,-0.009347663260996342,0.0,-0.07472600042819977
4.970119953155518,-74.27812194824219,70.26254272460938,0.62308269739151,0.037318192422389984,-0.009347663260996342,0.009340482763946056,-0.06538525223731995
27.314865112304688,-81.12992095947266,56.4262580871582,1.7602084875106812,0.009329548105597496,0.0,0.009340482763946056,-0.056044500321149826
46.644264221191406,-82.46076965332031,39.35700225830078,2.5546388626098633,0.0,0.0,0.0,-0.028022250160574913
63.88371658325195,-78.9153060913086,18.483030319213867,2.710409641265869,0.027988644316792488,0.0280429907143116,0.0,-0.018681500107049942
75.2796401977539,-69.7968978881836,-2.931504249572754,2.305405855178833,0.018659096211194992,0.009347663260996342,0.0,-0.018681500107049942
82.14215087890625,-55.31349182128906,-25.43755531311035,1.6823232173919678,0.037318192422389984,0.018695326521992683,0.028021449223160744,0.037363000214099884
83.78499603271484,-37.81488037109375,-45.64622116088867,0.9813551902770996,0.04664773866534233,0.03739065304398537,0.028021449223160744,0.056044500321149826
