220kV一组母线_A_1,220kV一组母线_B_2,220kV一组母线_C_3,220kV一组母线_N_4,220kV博南I回线283间隔_A_17,220kV博南I回线283间隔_B_18,220kV博南I回线283间隔_C_19,220kV博南I回线283间隔_N_20
-17.359111785888672,82.51136016845703,-64.4997787475586,1.1151260137557983,0.04390000179409981,-0.11642400175333023,0.07739599794149399,0.0017630000365898013
-29.973468780517578,85.20137786865234,-54.669151306152344,0.9266539812088013,0.06321600079536438,-0.11818800121545792,0.06156500056385994,0.0035260000731796026
-42.44150924682617,86.11200714111328,-43.469966888427734,0.31411999464035034,0.07902000099420547,-0.1199520006775856,0.04397499933838844,0.0017630000365898013
-54.23023986816406,85.44212341308594,-31.090272903442383,0.15705999732017517,0.09306800365447998,-0.11642400175333023,0.028144000098109245,0.0017630000365898013
-64.4617691040039,82.28108978271484,-17.488277435302734,0.5025920271873474,0.10184799879789352,-0.10936799645423889,0.008794999681413174,0.0
-72.95842742919922,77.29879760742188,-4.053435802459717,0.3926500082015991,0.11413999646902084,-0.10054799914360046,-0.010553999803960323,0.0017630000365898013
-78.74828338623047,69.82535552978516,8.650115966796875,-0.5497099757194519,0.11589600145816803,-0.0846719965338707,-0.028144000098109245,0.0035260000731796026
-82.85552978515625,61.054012298583984,21.20741081237793,-1.0680079460144043,0.1211640015244484,-0.06879600137472153,-0.04749299958348274,0.0
-85.5205307006836,51.434837341308594,33.66023254394531,-0.7695940136909485,0.1211640015244484,-0.05291999876499176,-0.06508299708366394,0.0017630000365898013
-85.70864868164062,39.43965530395508,46.1443977355957,-0.17276600003242493,0.12291999906301498,-0.031752001494169235,-0.08267299830913544,0.0017630000365898013
-84.41272735595703,26.61758041381836,57.68833541870117,-0.20417800545692444,0.11589600145816803,-0.014112000353634357,-0.09146799892187119,0.0035260000731796026
-80.47270202636719,13.125617980957031,67.01750183105469,-0.5340039730072021,0.10711599886417389,0.0017640000442042947,-0.10378099977970123,0.0035260000731796026
-74.55743408203125,-0.10467000305652618,74.51844787597656,-0.2512960135936737,0.09833600372076035,0.02293200045824051,-0.11257600039243698,0.0035260000731796026
-67.11632537841797,-12.7383394241333,80.23296356201172,0.6282399892807007,0.08077599853277206,0.04057199880480766,-0.11433500051498413,0.0017630000365898013
-57.84628677368164,-25.74881935119629,84.15058135986328,0.8638299703598022,0.06497199833393097,0.0599760003387928,-0.11609400063753128,0.0017630000365898013
-47.4788932800293,-38.57089614868164,86.14596557617188,0.09423600137233734,0.05092399939894676,0.0723240002989769,-0.11609400063753128,0.0035260000731796026
-7.566524028778076,-40.48635482788086,93.13500213623047,78.2472915649414,-0.10009200125932693,0.0723240002989769,-0.13192500174045563,-0.15690700709819794
-24.591203689575195,-67.16674041748047,81.141845703125,-16.5698299407959,-0.11940799653530121,0.06350400298833847,-0.14599700272083282,-0.200982004404068
