草宝乙线电压_A相_1,草宝乙线电压_B相_2,草宝乙线电压_C相_3,草宝乙线电压_3U0_4,草宝乙线电流_A相_25,草宝乙线电流_B相_26,草宝乙线电流_C相_27,草宝乙线电流_3I0_28
-13.863960266113281,-67.87432098388672,81.92977905273438,0.48156681656837463,0.02463633194565773,-0.10022061318159103,0.1021069660782814,0.007578411605209112
8.616727828979492,-80.23017883300781,71.37491607666016,-0.24855060875415802,0.05874817445874214,-0.11723920702934265,0.07941652834415436,0.003789205802604556
30.7322998046875,-86.75018310546875,55.64630889892578,-0.41942915320396423,0.08527960628271103,-0.11534824967384338,0.04538087174296379,0.005683808587491512
51.376976013183594,-87.50687408447266,36.00887680053711,-0.12427530437707901,0.10612573474645615,-0.10400252044200897,0.017017826437950134,0.003789205802604556
68.04711151123047,-82.48989868164062,14.411844253540039,0.031068826094269753,0.1250767558813095,-0.09076583385467529,-0.018908696249127388,0.007578411605209112
79.90814971923828,-71.74070739746094,-7.983539581298828,0.3106882572174072,0.1345522701740265,-0.060510557144880295,-0.0491626113653183,0.003789205802604556
86.2924575805664,-55.90198516845703,-29.99530029296875,0.6369109153747559,0.13265717029571533,-0.034037187695503235,-0.07941652834415436,0.003789205802604556
86.92880249023438,-36.17613983154297,-50.4932975769043,0.3728259205818176,0.11939144879579544,-0.0018909549107775092,-0.0983252227306366,0.003789205802604556
82.0779800415039,-14.56374740600586,-67.35204315185547,0.3106882572174072,0.10233552753925323,0.030255278572440147,-0.11345218122005463,0.007578411605209112
71.3018569946289,8.023017883300781,-79.53472137451172,-0.23301619291305542,0.08148940652608871,0.060510557144880295,-0.12290652841329575,0.005683808587491512
55.330657958984375,30.164060592651367,-86.12891387939453,-0.8543927073478699,0.05116776376962662,0.09265679121017456,-0.12479740381240845,0.003789205802604556
35.58312225341797,50.87464141845703,-86.86505889892578,-0.49710121750831604,0.013265716843307018,0.11156634241342545,-0.11156131327152252,0.003789205802604556
13.957846641540527,67.7810287475586,-82.11640930175781,-0.4038947522640228,-0.017055921256542206,0.1323668360710144,-0.08887087553739548,0.003789205802604556
-8.595864295959473,80.07469940185547,-71.49933624267578,0.1553441286087036,-0.05306286737322807,0.13993066549301147,-0.06618043780326843,0.005683808587491512
-30.659276962280273,86.5428695678711,-55.72925567626953,0.4038947522640228,-0.08148940652608871,0.14182162284851074,-0.037817392498254776,0.001894602901302278
-51.27265930175781,87.299560546875,-35.99850845336914,0.24855060875415802,-0.09665022045373917,0.12480302155017853,-0.011345217935740948,0.005683808587491512
-67.96365356445312,82.38623809814453,-14.453317642211914,0.031068826094269753,-0.11939144879579544,0.10967538505792618,0.026472175493836403,0.003789205802604556
-79.8768539428711,71.66815185546875,7.962803363800049,-0.3417570888996124,-0.12886697053909302,0.08698392659425735,0.062398701906204224,0.003789205802604556
-86.27159118652344,55.912353515625,29.912353515625,-0.6369109153747559,-0.1250767558813095,0.05672864615917206,0.08319826424121857,0.003789205802604556
-86.92880249023438,36.24870300292969,50.431087493896484,-0.35729148983955383,-0.11181104183197021,0.030255278572440147,0.10588870197534561,0.005683808587491512
-82.1092758178711,14.688135147094727,67.22762298583984,-0.2951538562774658,-0.09665022045373917,-0.005672864615917206,0.12101566046476364,0.001894602901302278
-71.3018569946289,-7.877899169921875,79.32735443115234,0.2019473761320114,-0.0776991993188858,-0.04160100594162941,0.13425174355506897,0.005683808587491512
-55.41411209106445,-30.050039291381836,85.94229125976562,0.8854615688323975,-0.04358735680580139,-0.0661834180355072,0.12668827176094055,0.005683808587491512
-35.58312225341797,-50.791717529296875,86.66806030273438,0.5437044501304626,-0.00758040975779295,-0.08698392659425735,0.12101566046476364,0.003789205802604556
-14.03087043762207,-67.8017578125,82.01272583007812,0.49710121750831604,0.02463633194565773,-0.10400252044200897,0.1021069660782814,0.005683808587491512
8.449817657470703,-80.19908142089844,71.4578628540039,-0.279619425535202,0.05874817445874214,-0.11345729231834412,0.07563478499650955,0.003789205802604556
30.56538963317871,-86.71908569335938,55.781097412109375,-0.43496355414390564,0.08527960628271103,-0.11534824967384338,0.047271743416786194,0.005683808587491512
51.23093032836914,-87.52760314941406,36.174766540527344,-0.10874088853597641,0.10423063486814499,-0.10400252044200897,0.015126957558095455,0.003789205802604556
67.92192840576172,-82.52098846435547,14.62957763671875,0.015534413047134876,0.1250767558813095,-0.08887488394975662,-0.017017826437950134,0.005683808587491512
79.82469940185547,-71.8236312866211,-7.838384628295898,0.32622265815734863,0.13265717029571533,-0.058619603514671326,-0.052944350987672806,0.001894602901302278
86.28202819824219,-56.01600646972656,-29.850143432617188,0.605842113494873,0.13265717029571533,-0.035928141325712204,-0.07941652834415436,0.005683808587491512
86.91837310791016,-36.30052947998047,-50.3585090637207,0.4038947522640228,0.11749634891748428,-0.005672864615917206,-0.09643435478210449,0.001894602901302278
82.1092758178711,-14.760695457458496,-67.2068862915039,0.3106882572174072,0.10423063486814499,0.02836432307958603,-0.11534304916858673,0.001894602901302278
71.39574432373047,7.826070785522461,-79.45177459716797,-0.23301619291305542,0.07959429919719696,0.06429246813058853,-0.12290652841329575,0.005683808587491512
55.47670364379883,29.998210906982422,-86.11854553222656,-0.8699271082878113,0.04927266389131546,0.09076583385467529,-0.12290652841329575,0.003789205802604556
35.71873474121094,50.729522705078125,-86.87542724609375,-0.46603238582611084,0.0151608195155859,0.10967538505792618,-0.11156131327152252,0.007578411605209112
14.124756813049316,67.66700744628906,-82.16825103759766,-0.41942915320396423,-0.01895102486014366,0.12858493626117706,-0.09454348683357239,0.003789205802604556
