220kV玉元Ⅰ回电压_A相_13,220kV玉元Ⅰ回电压_B相_14,220kV玉元Ⅰ回电压_C相_15,220kV玉元Ⅰ回电压_3U0_16,220kV玉元Ⅰ回线_A相_41,220kV玉元Ⅰ回线_B相_42,220kV玉元Ⅰ回线_C相_43,220kV玉元Ⅰ回线_3I0_44
-73.5275650024414,-1.3509780168533325,76.03901672363281,0.5774892568588257,0.017121564596891403,-0.08187799900770187,0.0815732330083847,0.005694342311471701
-59.556396484375,-22.56133270263672,82.80058288574219,1.685644268989563,0.04375510662794113,-0.0837821364402771,0.0663968175649643,0.009490570053458214
-41.02151870727539,-42.84678649902344,85.13752746582031,2.450427293777466,0.05897427722811699,-0.0837821364402771,0.04173514246940613,0.007592456415295601
-19.292041778564453,-61.240875244140625,82.21894073486328,1.5919973850250244,0.0722910463809967,-0.0761655792593956,0.03035283274948597,0.0
2.20924973487854,-76.04966735839844,73.72284698486328,-0.2965485155582428,0.09511979669332504,-0.06474073976278305,-0.003794104093685746,0.0018981141038239002
22.849658966064453,-83.48004913330078,59.150691986083984,-2.0134084224700928,0.09702219814062119,-0.039986930787563324,-0.02845578081905842,0.0018981141038239002
43.13741683959961,-85.27789306640625,41.254878997802734,-2.4660351276397705,0.10653417557477951,-0.028562093153595924,-0.03224988281726837,-0.0037962282076478004
61.506343841552734,-82.02515411376953,19.910776138305664,-1.2330175638198853,0.0932174026966095,0.0057124183513224125,-0.0777791291475296,0.0037962282076478004
75.95463562011719,-73.85692596435547,-2.118830680847168,0.7959986925125122,0.07609584182500839,0.020945534110069275,-0.07208797335624695,0.005694342311471701
83.21508026123047,-59.44303512573242,-22.798202514648438,2.060231924057007,0.05136469379067421,0.0533159077167511,-0.09295554459095001,0.005694342311471701
85.31023406982422,-40.80992889404297,-43.14521026611328,2.544074296951294,0.030438335612416267,0.07997386157512665,-0.09295554459095001,0.0018981141038239002
81.48294067382812,-19.734670639038086,-61.986183166503906,1.3422722816467285,0.024731148034334183,0.09711111336946487,-0.07967618107795715,0.0037962282076478004
73.29938507080078,2.0264670848846436,-76.16365814208984,-0.686743974685669,-0.007609583903104067,0.09711111336946487,-0.0701909214258194,0.007592456415295601
59.556396484375,22.89388084411621,-82.98753356933594,-1.8729380369186401,-0.024731148034334183,0.09711111336946487,-0.04552924633026123,-0.0037962282076478004
40.679237365722656,42.87796401977539,-85.95805358886719,-2.4036037921905518,-0.053267087787389755,0.1066318154335022,-0.03414693474769592,0.0018981141038239002
19.11571502685547,61.42793273925781,-82.28125762939453,-1.5451738834381104,-0.07419344037771225,0.09520697593688965,-0.005691155791282654,0.0
-2.4063191413879395,76.01849365234375,-73.50473022460938,0.3589797914028168,-0.08180303126573563,0.0837821364402771,0.013279364444315434,0.007592456415295601
-23.025983810424805,83.199462890625,-59.337646484375,2.107055425643921,-0.08560781925916672,0.055220045149326324,0.05122040584683418,0.007592456415295601
-43.39672088623047,85.12200927734375,-41.49376678466797,2.5128586292266846,-0.08751021325588226,0.0380827896296978,0.0663968175649643,0.017083026468753815
-62.07680892944336,81.9420166015625,-19.578411102294922,1.3110566139221191,-0.11224136501550674,0.017137255519628525,0.055014509707689285,0.011388684622943401
-76.37989044189453,73.55555725097656,2.253854274749756,-0.624312698841095,-0.07419344037771225,-0.0038082790561020374,0.07588207721710205,0.0037962282076478004
-83.61959075927734,59.079307556152344,22.829362869262695,-2.0290162563323975,-0.049462296068668365,-0.0380827896296978,0.09864670038223267,0.005694342311471701
-85.42432403564453,40.90345764160156,43.560665130615234,-2.4192116260528564,-0.034243129193782806,-0.05712418630719185,0.10244081169366837,0.005694342311471701
-81.54517364501953,19.57878875732422,62.17314147949219,-0.9676846861839294,-0.0038047919515520334,-0.07235730439424515,0.09864670038223267,0.007592456415295601
-73.4757080078125,-2.171957015991211,75.89360809326172,0.7647830247879028,0.015219167806208134,-0.0837821364402771,0.08347028493881226,0.0
-59.34895706176758,-22.789960861206055,83.13294982910156,1.7636833190917969,0.04755989834666252,-0.07806971669197083,0.06070566549897194,0.005694342311471701
-40.38882064819336,-43.04423904418945,85.94766998291016,2.4192116260528564,0.060876671224832535,-0.07997386157512665,0.036043986678123474,0.015184912830591202
-18.939390182495117,-61.8436164855957,82.04237365722656,1.6700364351272583,0.07799823582172394,-0.0761655792593956,0.026558728888630867,0.009490570053458214
2.489295482635498,-76.28868865966797,73.34893035888672,-0.3121563494205475,0.09511979669332504,-0.06664488464593887,0.0,-0.0037962282076478004
23.274913787841797,-83.32416534423828,59.514217376708984,-1.997800588607788,0.09511979669332504,-0.039986930787563324,-0.024661675095558167,0.007592456415295601
43.458953857421875,-85.50651550292969,41.16140365600586,-2.3567802906036377,0.10272938758134842,-0.024753812700510025,-0.04552924633026123,0.0018981141038239002
61.724159240722656,-82.05632781982422,19.36029624938965,-1.2174097299575806,0.09131500869989395,0.00952069740742445,-0.06829386949539185,0.0037962282076478004
76.26579284667969,-73.27497100830078,-1.8176244497299194,0.7647830247879028,0.07990062981843948,0.0190413948148489,-0.07208797335624695,0.005694342311471701
83.61959075927734,-59.0169563293457,-22.36197280883789,2.2319178581237793,0.05897427722811699,0.0533159077167511,-0.08536733686923981,0.009490570053458214
85.41395568847656,-40.55012512207031,-43.498348236083984,2.49725079536438,0.04755989834666252,0.07426144182682037,-0.09674964845180511,0.0037962282076478004
81.5140609741211,-18.903301239013672,-61.6434326171875,1.0145081281661987,0.015219167806208134,0.0913986936211586,-0.0815732330083847,0.007592456415295601
