阿太乙线_5,阿太乙线_6,阿太乙线_7,阿太乙线_8,阿太乙线_25,阿太乙线_26,阿太乙线_27,阿太乙线_28
58.160579681396484,-86.36040496826172,27.885356903076172,-0.11872199922800064,-0.09158000349998474,0.13846099376678467,-0.043806999921798706,0.0068789999932050705
62.37503433227539,-84.90594482421875,22.631437301635742,-0.22953200340270996,-0.09503600001335144,0.13846099376678467,-0.036935001611709595,7.000000096013537e-06
66.01380920410156,-83.79497528076172,17.26365852355957,-0.12663699686527252,-0.10540399700403214,0.13158099353313446,-0.023190999403595924,7.000000096013537e-06
69.49507904052734,-81.48179626464844,11.738639831542969,-0.18995699286460876,-0.10886000096797943,0.12470100075006485,-0.016318999230861664,0.00344299990683794
72.70479583740234,-79.27059936523438,6.2841081619262695,0.023747999221086502,-0.11231599748134613,0.11782100051641464,-0.009446999989449978,7.000000096013537e-06
75.7515869140625,-76.33484649658203,0.9488599896430969,0.03957799822092056,-0.11922799795866013,0.11782100051641464,-0.002575000049546361,7.000000096013537e-06
78.2770004272461,-73.86065673828125,-4.456873893737793,0.2928580045700073,-0.12268400192260742,0.11438100039958954,0.004296999890357256,7.000000096013537e-06
80.59603881835938,-70.05545806884766,-9.895139694213867,0.3482629954814911,-0.12613999843597412,0.11438100039958954,0.01804099977016449,7.000000096013537e-06
82.48059844970703,-66.7171859741211,-15.24665355682373,0.6252880096435547,-0.12613999843597412,0.10406100004911423,0.02491299994289875,7.000000096013537e-06
84.1750717163086,-62.79927444458008,-20.6469669342041,0.7202680110931396,-0.12613999843597412,0.10062099993228912,0.03178500011563301,0.00344299990683794
85.37532043457031,-59.29998779296875,-25.884618759155273,0.9418879747390747,-0.1330520063638687,0.09030099958181381,0.03865699842572212,0.0068789999932050705
86.56471252441406,-54.700469970703125,-31.040939331054688,0.8785679936408997,-0.1330520063638687,0.0834209993481636,0.04896499961614609,0.00344299990683794
87.07522583007812,-50.530311584472656,-36.14846420288086,1.179337978363037,-0.1330520063638687,0.0834209993481636,0.05927300080657005,7.000000096013537e-06
87.43367004394531,-45.63024139404297,-41.14754867553711,0.9814630150794983,-0.1330520063638687,0.06278099864721298,0.06614500284194946,7.000000096013537e-06
87.42823791503906,-41.11659240722656,-46.01108169555664,0.8073329925537109,-0.1330520063638687,0.06278099864721298,0.07301700115203857,0.0068789999932050705
87.30332946777344,-35.83546447753906,-50.6956901550293,0.4749029874801636,-0.1330520063638687,0.055900998413562775,0.08332499861717224,7.000000096013537e-06
86.65160369873047,-31.203744888305664,-55.16883850097656,0.5144780278205872,-0.1330520063638687,0.04558100178837776,0.0936330035328865,7.000000096013537e-06
85.78264617919922,-25.949451446533203,-59.49559783935547,0.21370799839496613,-0.1330520063638687,0.03526100143790245,0.0936330035328865,7.000000096013537e-06
84.36515808105469,-20.75956153869629,-63.44823455810547,0.21370799839496613,-0.1330520063638687,0.03182100132107735,0.10050500184297562,7.000000096013537e-06
82.6109390258789,-15.269121170043945,-67.0267562866211,0.2216230034828186,-0.12613999843597412,0.021500999107956886,0.10737700015306473,7.000000096013537e-06
80.40595245361328,-9.993359565734863,-70.45346069335938,0.3482629954814911,-0.11922799795866013,0.007741000037640333,0.11081299930810928,7.000000096013537e-06
78.04890441894531,-4.363377094268799,-73.56026458740234,0.20579299330711365,-0.11922799795866013,0.004300999920815229,0.11424899846315384,0.0068789999932050705
75.3551254272461,1.1324310302734375,-76.31463623046875,0.21370799839496613,-0.11922799795866013,-0.0060189999639987946,0.12112099677324295,7.000000096013537e-06
72.21057891845703,6.649706840515137,-78.72743225097656,0.09498299658298492,-0.11577200144529343,-0.016339000314474106,0.1245570033788681,7.000000096013537e-06
68.74559783935547,12.118680000305176,-80.7823715209961,0.07123800367116928,-0.10886000096797943,-0.023219000548124313,0.12799300253391266,7.000000096013537e-06
65.22087860107422,17.45347785949707,-82.6421127319336,-0.18995699286460876,-0.09849199652671814,-0.026659000664949417,0.13142900168895721,7.000000096013537e-06
61.3105583190918,22.82584571838379,-84.19822692871094,-0.31659701466560364,-0.09503600001335144,-0.04041900113224983,0.13486500084400177,0.00344299990683794
57.242740631103516,27.74201774597168,-85.47782135009766,-0.5461320281028748,-0.08466800302267075,-0.04729900136590004,0.13830099999904633,0.0068789999932050705
53.02285385131836,33.06608200073242,-86.50257873535156,-0.6015369892120361,-0.07775600254535675,-0.05417900159955025,0.14173699915409088,0.0068789999932050705
48.49883270263672,38.08959197998047,-87.13695526123047,-0.7044320106506348,-0.07084400206804276,-0.061059001833200455,0.14173699915409088,7.000000096013537e-06
43.80101776123047,43.14530563354492,-87.39720916748047,-0.7835819721221924,-0.06393200159072876,-0.07137899845838547,0.14173699915409088,7.000000096013537e-06
39.02716827392578,47.573081970214844,-87.36467742919922,-0.7994120121002197,-0.06393200159072876,-0.07481899857521057,0.14173699915409088,7.000000096013537e-06
34.340213775634766,52.51072311401367,-86.97428894042969,-0.8627319931983948,-0.05010800063610077,-0.08857899904251099,0.14173699915409088,0.0068789999932050705
29.349124908447266,56.525238037109375,-86.25859069824219,-0.7835819721221924,-0.043196000158786774,-0.09201899915933609,0.13830099999904633,7.000000096013537e-06
24.10820960998535,60.89934158325195,-85.23383331298828,-0.6727719902992249,-0.03628399968147278,-0.0954589992761612,0.13830099999904633,7.000000096013537e-06
18.73151969909668,64.53279876708984,-83.7969970703125,-0.4590669870376587,-0.025916000828146935,-0.10921899974346161,0.13486500084400177,7.000000096013537e-06
