21-500kV景思乙线电压Ua_21,22-500kV景思乙线电压Ub_22,23-500kV景思乙线电压Uc_23,24-500kV景思乙线电压3Uo_24,13-500kV景思乙线电流１Ia_13,14-500kV景思乙线电流１Ib_14,15-500kV景思乙线电流１Ic_15,16-500kV景思乙线电流１3Io_16
9.319525718688965,-80.64385223388672,71.43270111083984,-0.1902913749217987,0.042693719267845154,-0.1422583907842636,0.09977192431688309,0.007122546434402466
14.803464889526367,-82.6726303100586,67.91338348388672,-0.03171522915363312,0.04980933666229248,-0.1422583907842636,0.08551879227161407,0.0
20.38249969482422,-84.63800811767578,64.10871124267578,0.1585761457681656,0.06404057890176773,-0.14937131106853485,0.07839222252368927,0.007122546434402466
25.644546508789062,-86.03279113769531,60.113807678222656,0.47572842240333557,0.07115619629621506,-0.1422583907842636,0.07126566022634506,-0.007122546434402466
30.969989776611328,-87.07887268066406,55.7701416015625,0.5391588807106018,0.08538743853569031,-0.14937131106853485,0.06413909047842026,0.0
35.97844314575195,-87.74456787109375,51.299652099609375,0.6343045830726624,0.09250305593013763,-0.14937131106853485,0.05701252818107605,0.0
41.05029296875,-88.18836212158203,46.765750885009766,0.5708740949630737,0.09961867332458496,-0.1564842313528061,0.049885962158441544,0.0
45.99534606933594,-88.3151626586914,41.946502685546875,0.5074436664581299,0.10673429071903229,-0.1422583907842636,0.04275939613580704,0.007122546434402466
50.718509674072266,-87.93476867675781,37.032135009765625,0.28543704748153687,0.11384991556406021,-0.14937131106853485,0.03563283011317253,0.0
55.21977615356445,-87.3958740234375,32.117767333984375,0.0,0.11384991556406021,-0.13514547049999237,0.02137969806790352,0.0
59.372352600097656,-86.4131851196289,27.07657814025879,-0.1585761457681656,0.12808115780353546,-0.1422583907842636,0.014253132045269012,0.0
63.30303955078125,-85.17689514160156,21.940271377563477,-0.22200660407543182,0.12808115780353546,-0.13514547049999237,0.0,0.0
67.04352569580078,-83.52851867675781,16.613731384277344,-0.28543704748153687,0.1351967751979828,-0.13514547049999237,-0.007126566022634506,0.007122546434402466
70.21343231201172,-81.4046401977539,11.350603103637695,-0.1902913749217987,0.12808115780353546,-0.12091962993144989,-0.014253132045269012,0.0
73.28824615478516,-78.99546813964844,5.738712787628174,-0.06343045830726624,0.14231239259243011,-0.11380670964717865,-0.028506264090538025,0.0
76.17285919189453,-76.42780303955078,0.19023355841636658,0.03171522915363312,0.1351967751979828,-0.10669378936290741,-0.03563283011317253,0.007122546434402466
78.77218627929688,-73.38463592529297,-5.453361988067627,0.03171522915363312,0.14942800998687744,-0.10669378936290741,-0.04275939613580704,0.0
80.99111938476562,-70.0561752319336,-10.938429832458496,0.03171522915363312,0.14231239259243011,-0.09958086907863617,-0.05701252818107605,0.007122546434402466
82.89305877685547,-66.31562042236328,-16.55031967163086,-0.12686091661453247,0.14231239259243011,-0.08535502851009369,-0.06413909047842026,0.0
84.82670593261719,-62.47996520996094,-22.098798751831055,-0.44401320815086365,0.14231239259243011,-0.07824211567640305,-0.07126566022634506,0.007122546434402466
86.22146606445312,-58.39071273803711,-27.45704460144043,-0.6977350115776062,0.14231239259243011,-0.0711291953921318,-0.08551879227161407,0.0
87.17243957519531,-54.0478630065918,-32.625057220458984,-0.8880264163017273,0.14231239259243011,-0.06401627510786057,-0.08551879227161407,0.007122546434402466
87.77471923828125,-49.578216552734375,-37.66624450683594,-0.9514568448066711,0.14231239259243011,-0.056903354823589325,-0.09977192431688309,0.0
88.15510559082031,-44.88667297363281,-42.77084732055664,-0.9197416305541992,0.14231239259243011,-0.056903354823589325,-0.09977192431688309,0.0
88.25020599365234,-40.195125579833984,-47.653507232666016,-0.6977350115776062,0.14231239259243011,-0.042677514255046844,-0.1068984866142273,0.0
87.86981964111328,-35.313385009765625,-52.314231872558594,-0.44401320815086365,0.14942800998687744,-0.028451677411794662,-0.1140250563621521,0.0
87.0139389038086,-30.336544036865234,-56.65789794921875,-0.03171522915363312,0.14231239259243011,-0.014225838705897331,-0.12115161865949631,0.0
85.93617248535156,-25.169504165649414,-60.87474060058594,0.12686091661453247,0.12808115780353546,-0.014225838705897331,-0.12827818095684052,0.0
84.50971221923828,-20.002464294433594,-64.67941284179688,0.25372183322906494,0.12808115780353546,0.0,-0.13540475070476532,0.007122546434402466
82.76626586914062,-14.61352825164795,-68.2938461303711,0.22200660407543182,0.12808115780353546,0.007112919352948666,-0.14253132045269012,0.007122546434402466
80.51563262939453,-9.192892074584961,-71.4010009765625,0.12686091661453247,0.11384991556406021,0.014225838705897331,-0.14253132045269012,0.007122546434402466
78.13819885253906,-3.613757610321045,-74.4764404296875,-0.03171522915363312,0.11384991556406021,0.028451677411794662,-0.14253132045269012,0.007122546434402466
75.5705795288086,1.933677315711975,-77.36164855957031,-0.1585761457681656,0.10673429071903229,0.0355645976960659,-0.14965789020061493,0.0
72.33727264404297,7.544511318206787,-79.77127838134766,-0.12686091661453247,0.09250305593013763,0.049790434539318085,-0.14253132045269012,0.007122546434402466
68.85037231445312,12.965147972106934,-81.83213806152344,0.06343045830726624,0.09250305593013763,0.056903354823589325,-0.14965789020061493,0.0
65.1098861694336,18.385784149169922,-83.63935852050781,0.1585761457681656,0.08538743853569031,0.06401627510786057,-0.15678444504737854,0.007122546434402466
61.24259948730469,23.711320877075195,-85.22463989257812,0.3805827498435974,0.08538743853569031,0.0711291953921318,-0.15678444504737854,0.0
56.99492263793945,29.068557739257812,-86.49285888671875,0.7294502258300781,0.07115619629621506,0.08535502851009369,-0.14965789020061493,0.007122546434402466
