5-500kV七圭乙线路电压Ua_5,6-500kV七圭乙线路电压Ub_6,7-500kV七圭乙线路电压Uc_7,8-500kV七圭乙线路电压3Uo_8,13-500kV七圭乙线线路电流Ia_13,14-500kV七圭乙线线路电流Ib_14,15-500kV七圭乙线线路电流Ic_15,16-500kV七圭乙线线路电流3Io_16
9.798940658569336,70.55766296386719,-80.43355560302734,-0.18664368987083435,-0.013838154263794422,-0.10358528047800064,0.1246686801314354,0.0
4.386192798614502,73.76200103759766,-78.25630950927734,-0.18664368987083435,-0.006919077131897211,-0.11049096286296844,0.1177426427602768,0.006929442752152681
-0.9954479932785034,76.68634796142578,-75.76803588867188,-0.21775098145008087,0.0,-0.11739665269851685,0.1177426427602768,0.0
-6.314873218536377,79.23737335205078,-73.03092956542969,-0.21775098145008087,0.006919077131897211,-0.11739665269851685,0.1108166053891182,0.006929442752152681
-11.57208251953125,81.66395568847656,-70.1694107055664,-0.18664368987083435,0.013838154263794422,-0.12430233508348465,0.1038905680179596,0.0
-16.891508102416992,83.7794418334961,-66.84133911132812,0.0,0.02075722999870777,-0.12430233508348465,0.1038905680179596,0.006929442752152681
-22.11760902404785,85.39717102050781,-63.108924865722656,0.21775098145008087,0.027676308527588844,-0.12430233508348465,0.1038905680179596,0.0
-27.15706443786621,86.5482406616211,-59.15878677368164,0.31107282638549805,0.03459538519382477,-0.13120801746845245,0.0900384932756424,0.006929442752152681
-32.1965217590332,87.38821411132812,-54.928714752197266,0.3732873797416687,0.04151445999741554,-0.13120801746845245,0.0900384932756424,0.0
-37.0493278503418,87.69931030273438,-50.387611389160156,0.3732873797416687,0.048433538526296616,-0.13120801746845245,0.0761864185333252,0.006929442752152681
-41.902137756347656,87.63709259033203,-45.53546905517578,0.2488582581281662,0.05535261705517769,-0.13120801746845245,0.0761864185333252,0.0
-46.568302154541016,87.32599639892578,-40.68333053588867,0.06221456453204155,0.06227169185876846,-0.13120801746845245,0.0623343400657177,0.006929442752152681
-51.20335388183594,86.7660140991211,-35.58236312866211,-0.1244291290640831,0.07610984891653061,-0.13120801746845245,0.0554083026945591,0.0
-55.651763916015625,86.08158874511719,-30.45029067993164,-0.18664368987083435,0.07610984891653061,-0.13120801746845245,0.0484822653234005,0.006929442752152681
-59.75798797607422,84.86829376220703,-25.193805694580078,-0.21775098145008087,0.08302891999483109,-0.13120801746845245,0.0484822653234005,0.006929442752152681
