17-220kV Ⅱ母电压Ua_17,18-220kV Ⅱ母电压Ub_18,19-220kV Ⅱ母电压Uc_19,20-220kV Ⅱ母电压3Uo_20,21-220kV小开Ⅱ回线路电流Ia_21,22-220kV小开Ⅱ回线路电流Ib_22,23-220kV小开Ⅱ回线路电流Ic_23,24-220kV小开Ⅱ回线路电流3Io_24
41.97654724121094,43.103702545166016,-85.09517669677734,0.12712544202804565,0.10583614557981491,-0.07050377130508423,0.0,0.0
37.0362548828125,47.45857620239258,-84.49143981933594,0.09534408152103424,0.10583614557981491,-0.10575565695762634,-0.03523389250040054,0.0
31.936599731445312,52.03596115112305,-83.91947937011719,0.031781360507011414,0.10583614557981491,-0.10575565695762634,0.0,0.0
26.613832473754883,56.58155822753906,-83.12508392333984,-0.031781360507011414,0.14111486077308655,-0.10575565695762634,0.0,0.035254474729299545
21.227319717407227,60.841068267822266,-82.1400375366211,-0.031781360507011414,0.07055743038654327,-0.14100754261016846,0.0,0.0
16.09579086303711,64.59197998046875,-80.8690185546875,0.0,0.10583614557981491,-0.10575565695762634,0.0,-0.035254474729299545
10.90051555633545,67.99323272705078,-79.0260238647461,0.09534408152103424,0.10583614557981491,-0.07050377130508423,-0.03523389250040054,0.0
5.7371134757995605,70.82231140136719,-76.8017349243164,0.15890680253505707,0.10583614557981491,-0.07050377130508423,-0.03523389250040054,-0.035254474729299545
0.6055842041969299,73.6513900756836,-74.32323455810547,0.19068816304206848,0.10583614557981491,-0.07050377130508423,-0.03523389250040054,0.0
-4.621563911437988,76.2579574584961,-71.5269775390625,0.19068816304206848,0.07055743038654327,-0.07050377130508423,0.0,0.0
-9.976202964782715,78.57843017578125,-68.47651672363281,0.19068816304206848,0.10583614557981491,-0.07050377130508423,-0.03523389250040054,0.0
-15.362715721130371,80.58103942871094,-65.07652282714844,0.12712544202804565,0.10583614557981491,-0.035251885652542114,-0.07046778500080109,0.0
-20.78110122680664,82.4247055053711,-61.358768463134766,0.12712544202804565,0.14111486077308655,-0.07050377130508423,-0.07046778500080109,-0.035254474729299545
-25.912630081176758,83.82335662841797,-57.672794342041016,0.12712544202804565,0.14111486077308655,-0.035251885652542114,-0.03523389250040054,0.0
-31.012287139892578,84.68161010742188,-53.76438903808594,0.09534408152103424,0.07055743038654327,0.0,-0.07046778500080109,-0.035254474729299545
-35.7613410949707,85.4762954711914,-49.79243469238281,0.09534408152103424,0.10583614557981491,-0.035251885652542114,-0.07046778500080109,0.0
-40.287288665771484,85.69880676269531,-45.439170837402344,0.12712544202804565,0.10583614557981491,0.0,-0.10570167750120163,-0.035254474729299545
-44.74948501586914,85.53987121582031,-40.67282485961914,0.15890680253505707,0.10583614557981491,0.0,-0.10570167750120163,-0.035254474729299545
-49.08419418334961,84.90412139892578,-35.55694580078125,0.19068816304206848,0.14111486077308655,0.0,-0.10570167750120163,0.0
-53.514522552490234,84.10943603515625,-30.37751579284668,0.2224695235490799,0.10583614557981491,0.0,-0.10570167750120163,0.0
-57.62611770629883,83.18760681152344,-25.229862213134766,0.15890680253505707,0.10583614557981491,0.0,-0.14093557000160217,-0.035254474729299545
-61.51460647583008,81.7889633178711,-20.1457576751709,0.09534408152103424,0.10583614557981491,0.0,-0.10570167750120163,0.0
-65.08436584472656,80.26316833496094,-15.029879570007324,0.031781360507011414,0.10583614557981491,0.0,-0.14093557000160217,-0.035254474729299545
-68.33539581298828,78.38771057128906,-9.91400146484375,0.0,0.07055743038654327,0.035251885652542114,-0.14093557000160217,0.0
-71.42706298828125,76.06723022460938,-4.639244079589844,0.031781360507011414,0.07055743038654327,0.0,-0.14093557000160217,-0.035254474729299545
-74.29562377929688,73.68317413330078,0.5401859283447266,0.031781360507011414,0.10583614557981491,0.035251885652542114,-0.10570167750120163,0.035254474729299545
-76.36735534667969,70.75873565673828,5.910269737243652,0.031781360507011414,0.10583614557981491,0.07050377130508423,-0.14093557000160217,0.0
-78.7259521484375,67.35748291015625,11.439231872558594,0.06356272101402283,0.07055743038654327,0.035251885652542114,-0.14093557000160217,-0.035254474729299545
-80.47895812988281,63.701934814453125,16.90464210510254,0.06356272101402283,0.07055743038654327,0.035251885652542114,-0.14093557000160217,-0.035254474729299545
-82.29570770263672,59.85565948486328,22.40182876586914,0.031781360507011414,0.03527871519327164,0.07050377130508423,-0.14093557000160217,-0.035254474729299545
-83.50687408447266,56.00938415527344,27.422380447387695,0.0,0.07055743038654327,0.07050377130508423,-0.14093557000160217,0.0
-84.36744689941406,52.0677490234375,32.25227737426758,-0.06356272101402283,0.07055743038654327,0.035251885652542114,-0.14093557000160217,0.035254474729299545
-85.16426849365234,48.1261100769043,36.79619598388672,-0.09534408152103424,0.03527871519327164,0.10575565695762634,-0.14093557000160217,0.0
-85.19613647460938,43.707664489746094,41.213008880615234,-0.09534408152103424,0.03527871519327164,0.035251885652542114,-0.10570167750120163,0.0
-84.78179168701172,39.00313186645508,45.629825592041016,-0.031781360507011414,0.03527871519327164,0.10575565695762634,-0.14093557000160217,0.035254474729299545
-84.36744689941406,34.1396598815918,50.110191345214844,0.06356272101402283,0.03527871519327164,0.10575565695762634,-0.14093557000160217,0.0
-83.53874969482422,28.862951278686523,54.59055709838867,0.09534408152103424,0.03527871519327164,0.10575565695762634,-0.14093557000160217,0.0
-82.55068969726562,23.52267074584961,58.912044525146484,0.06356272101402283,0.0,0.10575565695762634,-0.14093557000160217,0.035254474729299545
-81.46701049804688,18.27775001525879,62.85222625732422,-0.06356272101402283,0.0,0.10575565695762634,-0.10570167750120163,0.0
