220kV II母电压_A相_5,220kV II母电压_B相_6,220kV II母电压_C相_7,220kV II母电压_3U0_8,220kV清新线254_A相_9,220kV清新线254_B相_10,220kV清新线254_C相_11,220kV清新线254_3I0_12
-33.12529754638672,-51.39973831176758,84.66496276855469,0.4973013997077942,0.17660562694072723,-0.2790743112564087,0.09302907437086105,0.0
-11.800887107849121,-67.21903228759766,78.89776611328125,-0.015540668740868568,0.232375830411911,-0.29767927527427673,0.027908721938729286,-0.018602361902594566
10.310248374938965,-79.02385711669922,68.55408477783203,0.015540668740868568,0.232375830411911,-0.23256193101406097,-0.01860581524670124,0.0
31.17918586730957,-84.55282592773438,52.847007751464844,-0.6993300914764404,0.2974410653114319,-0.19535203278064728,-0.1023319810628891,-0.018602361902594566
50.85768127441406,-84.8329086303711,33.78522491455078,-0.12432534992694855,0.2602609395980835,-0.13953715562820435,-0.13954360783100128,-0.018602361902594566
66.75782012939453,-79.11721801757812,12.424844741821289,0.326354056596756,0.2788510024547577,-0.06511734426021576,-0.2046639621257782,-0.018602361902594566
78.43449401855469,-68.62979888916016,-9.857043266296387,0.13986602425575256,0.20449073612689972,0.018604954704642296,-0.21396687626838684,-0.018602361902594566
83.86911010742188,-52.95573425292969,-30.79290771484375,0.6371673941612244,0.17660562694072723,0.07441981881856918,-0.26048141717910767,-0.009301180951297283
84.3659896850586,-33.568023681640625,-50.7554931640625,0.3574353754520416,0.10224536806344986,0.13953715562820435,-0.251178503036499,-0.009301180951297283
78.74504089355469,-12.23012924194336,-66.85601806640625,-0.2486506998538971,0.02788509987294674,0.23256193101406097,-0.251178503036499,0.018602361902594566
68.2588119506836,9.937628746032715,-78.56643676757812,-0.31081336736679077,-0.037180133163928986,0.2511668801307678,-0.19536106288433075,-0.009301180951297283
52.369022369384766,31.09917640686035,-84.14726257324219,-0.7614927887916565,-0.12083543092012405,0.2790743112564087,-0.1860581487417221,0.0
33.21846008300781,51.1922721862793,-84.99629211425781,-0.5283827185630798,-0.15801556408405304,0.2790743112564087,-0.09302907437086105,0.0
11.945810317993164,66.9804458618164,-79.17732238769531,0.031081337481737137,-0.2230807989835739,0.26977184414863586,-0.04651453718543053,0.0
-10.403413772583008,78.93049621582031,-68.75080871582031,0.10878468304872513,-0.2509658932685852,0.23256193101406097,0.01860581524670124,0.027903543785214424
-31.220592498779297,84.33499145507812,-53.02302551269531,0.6060860753059387,-0.2788510024547577,0.2046544998884201,0.08372616767883301,0.009301180951297283
-50.836978912353516,84.59432220458984,-33.83699417114258,0.2797320485115051,-0.2695559561252594,0.13023468852043152,0.13954360783100128,0.018602361902594566
-66.88204193115234,78.96161651611328,-12.435198783874512,-0.23311002552509308,-0.2509658932685852,0.046512387692928314,0.2046639621257782,0.009301180951297283
-78.66222381591797,68.56755828857422,9.660316467285156,-0.29527270793914795,-0.20449073612689972,-0.009302477352321148,0.21396687626838684,0.009301180951297283
-84.03473663330078,52.83125305175781,30.534055709838867,-0.6216267347335815,-0.17660562694072723,-0.10232724994421005,0.24187560379505157,-0.009301180951297283
-84.66618347167969,33.671756744384766,50.683013916015625,-0.18648801743984222,-0.09295033663511276,-0.1581421196460724,0.24187560379505157,0.0
-78.99347686767578,12.302742958068848,66.53504180908203,0.046622004359960556,-0.02788509987294674,-0.241864413022995,0.24187560379505157,-0.009301180951297283
-68.44514465332031,-9.927255630493164,78.38006591796875,0.29527270793914795,0.05577019974589348,-0.241864413022995,0.19536106288433075,0.0
-52.52429962158203,-31.005815505981445,83.96089172363281,0.9946027994155884,0.11154039949178696,-0.2790743112564087,0.17675524950027466,-0.009301180951297283
-33.290924072265625,-51.223392486572266,84.64425659179688,0.4973013997077942,0.16731059551239014,-0.2790743112564087,0.09302907437086105,0.0
-11.997568130493164,-67.12567138671875,78.93917846679688,-0.015540668740868568,0.232375830411911,-0.2883768081665039,0.03721163049340248,-0.018602361902594566
10.103215217590332,-78.96161651611328,68.68868255615234,0.015540668740868568,0.2509658932685852,-0.241864413022995,-0.027908721938729286,0.0
30.98250389099121,-84.5217056274414,52.99196243286133,-0.7148707509040833,0.3067361116409302,-0.2046544998884201,-0.08372616767883301,-0.009301180951297283
50.70240783691406,-84.88477325439453,33.96124267578125,-0.13986602425575256,0.2602609395980835,-0.13953715562820435,-0.15814943611621857,-0.009301180951297283
66.64395904541016,-79.16908264160156,12.559447288513184,0.31081336736679077,0.2788510024547577,-0.07441981881856918,-0.19536106288433075,-0.018602361902594566
78.24816131591797,-68.68167114257812,-9.681024551391602,0.1709473580121994,0.21378576755523682,0.018604954704642296,-0.2232697755098343,-0.009301180951297283
84.0554428100586,-53.1839485168457,-30.627243041992188,0.652708113193512,0.19519570469856262,0.07441981881856918,-0.2697843313217163,-0.009301180951297283
84.35563659667969,-33.68212890625,-50.56911849975586,0.37297603487968445,0.08365529775619507,0.13953715562820435,-0.2232697755098343,-0.009301180951297283
78.8071517944336,-12.396101951599121,-66.7110595703125,-0.20202869176864624,0.02788509987294674,0.21395698189735413,-0.26048141717910767,0.009301180951297283
68.34162902832031,9.750908851623535,-78.46289825439453,-0.2641913592815399,-0.05577019974589348,0.241864413022995,-0.19536106288433075,0.0
52.48289108276367,30.94357681274414,-84.13690948486328,-0.7459520697593689,-0.12083543092012405,0.2883768081665039,-0.1860581487417221,0.0
33.37373733520508,51.02629852294922,-84.9859390258789,-0.512842059135437,-0.17660562694072723,0.26046937704086304,-0.08372616767883301,0.009301180951297283
