220kV墨泗线电压_21,220kV墨泗线电压_22,220kV墨泗线电压_23,220kV墨泗线电压_24,220kV墨泗线_29,220kV墨泗线_30,220kV墨泗线_31,220kV墨泗线_32
28.640987396240234,51.45947265625,-80.54549407958984,-0.7936620116233826,-0.08822999894618988,-0.2205750048160553,0.3537850081920624,0.0017300000181421638
23.915172576904297,55.46476364135742,-79.69781494140625,-0.6069179773330688,-0.07092999666929245,-0.2344149947166443,0.34340500831604004,0.0017300000181421638
18.977436065673828,59.40647506713867,-78.53225708007812,-0.4201740026473999,-0.053630001842975616,-0.24825499951839447,0.339944988489151,0.005189999938011169
13.912548065185547,62.94553756713867,-76.94285583496094,-0.23342999815940857,-0.025949999690055847,-0.2655549943447113,0.3330250084400177,0.0017300000181421638
8.890044212341309,66.18791198730469,-75.03557586669922,-0.04668600112199783,-0.00865000020712614,-0.27593499422073364,0.32956498861312866,0.005189999938011169
3.8887319564819336,69.13359832763672,-72.76802825927734,0.20230600237846375,0.005189999938011169,-0.289775013923645,0.30534499883651733,0.00865000020712614
-1.0913879871368408,71.71902465820312,-70.26737213134766,0.5135459899902344,0.029410000890493393,-0.2966949939727783,0.3018850088119507,0.0017300000181421638
-6.092700004577637,74.00775909423828,-67.47003173828125,0.6069179773330688,0.053630001842975616,-0.3105350136756897,0.28458499908447266,0.005189999938011169
-11.051628112792969,76.04219055175781,-64.41838073730469,0.8559100031852722,0.07784999907016754,-0.317454993724823,0.27766498923301697,0.0017300000181421638
-16.010555267333984,77.73755645751953,-60.98527908325195,1.1049020290374756,0.08822999894618988,-0.32091501355171204,0.263824999332428,0.0017300000181421638
-20.948291778564453,79.26337432861328,-57.48859786987305,1.2605220079421997,0.1124500036239624,-0.3312950134277344,0.2430649995803833,0.0017300000181421638
-25.780067443847656,80.51370239257812,-53.94953536987305,1.19827401638031,0.13321000337600708,-0.334755003452301,0.22230499982833862,0.005189999938011169
-30.505884170532227,81.36138916015625,-50.05020523071289,1.042654037475586,0.16088999807834625,-0.334755003452301,0.21538500487804413,0.0017300000181421638
-35.18931579589844,81.72164916992188,-45.854190826416016,1.0115300416946411,0.1712699979543686,-0.3382149934768677,0.19462500512599945,0.0017300000181421638
-39.78797912597656,81.72164916992188,-41.36148452758789,0.7936620116233826,0.1954900026321411,-0.3416750133037567,0.17732499539852142,0.005189999938011169
-44.344261169433594,81.42496490478516,-36.6568603515625,0.48242199420928955,0.2093300074338913,-0.3382149934768677,0.1600250005722046,0.00865000020712614
-48.73100280761719,80.87397003173828,-31.909854888916016,0.1400579959154129,0.22663000226020813,-0.334755003452301,0.13580499589443207,0.005189999938011169
-52.82106018066406,80.2170181274414,-27.24761390686035,-0.015561999753117561,0.23701000213623047,-0.3312950134277344,0.11850500106811523,0.0017300000181421638
-56.82634735107422,79.3057632446289,-22.41583824157715,-0.23342999815940857,0.25084999203681946,-0.3243750035762787,0.09774500131607056,0.0017300000181421638
-60.5561408996582,77.88589477539062,-17.414525985717773,-0.4201740026473999,0.27160999178886414,-0.32091501355171204,0.07698500156402588,0.00865000020712614
-63.98924255371094,76.21173095703125,-12.370829582214355,-0.6069179773330688,0.2785300016403198,-0.3105350136756897,0.05968499928712845,0.005189999938011169
-67.12566375732422,74.17729949951172,-7.284749984741211,-0.7314140200614929,0.2923699915409088,-0.303615003824234,0.03892499953508377,0.0017300000181421638
-69.92300415039062,71.93094635009766,-2.241054058074951,-0.7002900242805481,0.3062100112438202,-0.289775013923645,0.014705000445246696,0.00865000020712614
-72.2965087890625,69.32433319091797,2.7602579593658447,-0.7314140200614929,0.31659001111984253,-0.27593499422073364,-0.006054999772459269,0.0017300000181421638
-74.45809173583984,66.50579071044922,7.782762050628662,-0.6691660284996033,0.32697001099586487,-0.2655549943447113,-0.023354999721050262,0.012109999544918537
-76.38656616210938,63.242225646972656,12.911226272583008,-0.7314140200614929,0.3304300010204315,-0.25517499446868896,-0.04411499947309494,0.005189999938011169
-77.93357849121094,59.74554443359375,17.95492172241211,-0.6691660284996033,0.33388999104499817,-0.2344149947166443,-0.06487499922513962,0.00865000020712614
-79.24748229980469,56.20648193359375,22.85027313232422,-0.7002900242805481,0.3442699909210205,-0.2205750048160553,-0.09601499885320663,0.00865000020712614
-80.3494644165039,52.49788284301758,27.59728240966797,-0.7625380158424377,0.3442699909210205,-0.19635500013828278,-0.10985500365495682,0.00865000020712614
-81.0911865234375,48.66212844848633,32.195945739746094,-0.8559100031852722,0.34773001074790955,-0.18597500026226044,-0.13407500088214874,0.00865000020712614
-81.45145416259766,44.38134765625,36.79460906982422,-0.9492819905281067,0.35464999079704285,-0.1686750054359436,-0.15483500063419342,0.00865000020712614
