220kVⅡ母电压_A相_1,220kVⅡ母电压_B相_2,220kVⅡ母电压_C相_3,220kVⅡ母电压_3U0_4,宝红I回231断路器_A相_25,宝红I回231断路器_B相_26,宝红I回231断路器_C相_27,宝红I回231断路器_3I0_28
-52.69154357910156,83.93466186523438,-31.332063674926758,0.09312955290079117,-0.0969606339931488,0.11024866998195648,-0.003805025713518262,0.0037994191516190767
-67.92588806152344,78.72449493408203,-10.492501258850098,0.7139932513237,-0.10646657645702362,0.09314112365245819,0.028537694364786148,0.0018997095758095384
-80.03792572021484,67.38899993896484,12.009239196777344,-1.0089035034179688,-0.1140713319182396,0.06272769719362259,0.06088041141629219,0.005699128843843937
-84.24989318847656,51.092926025390625,32.49559020996094,-0.9623387455940247,-0.1140713319182396,0.036115944385528564,0.08941810578107834,0.0018997095758095384
-83.25452423095703,30.720232009887695,52.43134307861328,0.2638670802116394,-0.10266420245170593,0.005702517461031675,0.10273569822311401,0.0018997095758095384
-78.66536712646484,10.347539901733398,67.53639221191406,-1.0089035034179688,-0.08555349707603455,-0.02471091039478779,0.12176082283258438,0.0018997095758095384
-67.61155700683594,-12.188257217407227,79.74301147460938,0.21730229258537292,-0.0570356659591198,-0.05512433499097824,0.12937088310718536,0.0018997095758095384
-50.763675689697266,-33.174522399902344,84.2620620727539,0.853687584400177,-0.03041902184486389,-0.08173608779907227,0.12746836245059967,0.0
-30.479162216186523,-52.496864318847656,82.92192840576172,0.06208636984229088,0.0,-0.09884364157915115,0.1122482642531395,0.0018997095758095384
-10.341331481933594,-67.95057678222656,78.5794906616211,0.43460458517074585,0.03041902184486389,-0.11214951425790787,0.09322313219308853,-0.0018997095758095384
12.489226341247559,-80.39881896972656,67.42211151123047,-0.8071228265762329,0.05893685668706894,-0.11785203218460083,0.07039297372102737,0.0
33.30809783935547,-84.41304016113281,51.101600646972656,-0.17073751986026764,0.09505944699048996,-0.11405035108327866,0.036147743463516235,0.011398257687687874
52.377220153808594,-83.8826675415039,31.290510177612305,-0.23282389342784882,0.10266420245170593,-0.11214951425790787,0.005707538686692715,0.005699128843843937
67.978271484375,-78.59970092773438,10.263952255249023,-0.5277341604232788,0.11217014491558075,-0.08743860572576523,-0.019025128334760666,0.0037994191516190767
80.05887603759766,-67.72178649902344,-11.853410720825195,1.0244251489639282,0.11787371337413788,-0.06462853401899338,-0.05136784911155701,0.0
84.48040008544922,-51.373714447021484,-32.70336151123047,0.9002523422241211,0.12357728183269501,-0.03421510383486748,-0.07990553975105286,0.0018997095758095384
83.33834838867188,-30.94902229309082,-52.44173049926758,-0.03104318492114544,0.11597252637147903,-0.0019008391536772251,-0.10463821142911911,0.0037994191516190767
78.36151885986328,-10.357938766479492,-67.6091079711914,0.7916012406349182,0.09315825253725052,0.028512587770819664,-0.11415077745914459,0.0
67.40200805664062,12.396248817443848,-79.86767578125,-0.06208636984229088,0.06464042514562607,0.060826852917671204,-0.11795579642057419,0.0037994191516190767
50.826541900634766,33.06012725830078,-84.35556030273438,-0.45012617111206055,0.03422139957547188,0.08173608779907227,-0.11605328321456909,0.0037994191516190767
30.248655319213867,52.68405532836914,-83.30630493164062,-0.046564776450395584,0.007604755461215973,0.10454615950584412,-0.1065407246351242,0.0018997095758095384
10.257511138916016,68.05457305908203,-78.87036895751953,-0.2949102520942688,-0.013308322057127953,0.11595118790864944,-0.08941810578107834,0.011398257687687874
-12.43683910369873,80.29483032226562,-67.6091079711914,1.1330763101577759,-0.05323328822851181,0.12545539438724518,-0.06088041141629219,0.0018997095758095384
-33.54907989501953,84.2154541015625,-50.945770263671875,0.046564776450395584,-0.07984993606805801,0.12355455011129379,-0.03424523398280144,0.0037994191516190767
-52.85918426513672,83.86186981201172,-31.145069122314453,0.17073751986026764,-0.09886182099580765,0.11214951425790787,0.0,0.0
-68.10400390625,78.63089752197266,-10.33667278289795,0.5742989182472229,-0.10456538945436478,0.09504196047782898,0.020927641540765762,0.005699128843843937
-80.11126708984375,67.27460479736328,12.217011451721191,-0.94681715965271,-0.11787371337413788,0.06462853401899338,0.06468544155359268,0.0
-84.33370971679688,50.874534606933594,32.76569366455078,-0.9778603315353394,-0.11977490037679672,0.03991762176156044,0.08751559257507324,0.0018997095758095384
-83.05545043945312,30.59543800354004,52.452117919921875,0.21730229258537292,-0.10266420245170593,0.0019008391536772251,0.1122482642531395,0.0037994191516190767
-78.5920181274414,10.233144760131836,67.66105651855469,-0.853687584400177,-0.0836523100733757,-0.026611749082803726,0.11795579642057419,0.0037994191516190767
-67.53821563720703,-12.406647682189941,79.85728454589844,0.12417273968458176,-0.06083804368972778,-0.05512433499097824,0.12556585669517517,0.0
-50.60651397705078,-33.16412353515625,84.21011352539062,0.853687584400177,-0.03422139957547188,-0.07983524352312088,0.12746836245059967,-0.0018997095758095384
-30.311521530151367,-52.67365646362305,83.00503540039062,0.01552159246057272,-0.0038023777306079865,-0.10074447840452194,0.11415077745914459,0.0018997095758095384
-10.163212776184082,-68.1585693359375,78.50676727294922,0.38803982734680176,0.0285178329795599,-0.11214951425790787,0.09322313219308853,0.0
12.688300132751465,-80.45082092285156,67.35977935791016,-0.760558009147644,0.05513447895646095,-0.11595118790864944,0.06468544155359268,0.0018997095758095384
33.37096405029297,-84.61063385009766,51.0704345703125,-0.09312955290079117,0.07984993606805801,-0.12165370583534241,0.03995276987552643,0.0
52.523902893066406,-83.8826675415039,31.113903045654297,-0.2638670802116394,0.10646657645702362,-0.10454615950584412,0.01141507737338543,0.0037994191516190767
