5-500kV大宝Ⅱ回线路电压Ua_5,6-500kV大宝Ⅱ回线路电压Ub_6,7-500kV大宝Ⅱ回线路电压Uc_7,8-500kV大宝Ⅱ回线路电压3Uo_8,13-500kV大宝Ⅱ回线路电流Ia_13,14-500kV大宝Ⅱ回线路电流Ib_14,15-500kV大宝Ⅱ回线路电流Ic_15,16-500kV大宝Ⅱ回线路电流3Io_16
29.08422088623047,50.02896499633789,-80.25726318359375,-1.7710161209106445,0.1035977154970169,0.38687849044799805,-0.49003544449806213,-0.006915209349244833
23.73968505859375,54.5346794128418,-79.29479217529297,-1.6467342376708984,0.0690651461482048,0.4006955921649933,-0.48313355445861816,0.0
18.64373207092285,58.76072692871094,-78.36337280273438,-1.4913820028305054,0.04143908619880676,0.42142122983932495,-0.46932974457740784,0.0
14.013871192932129,62.178855895996094,-76.96624755859375,-1.2428183555603027,0.013813029043376446,0.4421468675136566,-0.4555259048938751,0.0
9.446157455444336,64.91336059570312,-75.10340881347656,-1.2428183555603027,-0.02071954309940338,0.45596393942832947,-0.4417220950126648,0.0
4.723078727722168,67.5857162475586,-73.08533477783203,-1.2428183555603027,-0.04834560304880142,0.4697810411453247,-0.4210163652896881,0.0
-0.09321865439414978,70.44451141357422,-71.00516510009766,-1.0563955307006836,-0.08287817239761353,0.47668957710266113,-0.4003106653690338,0.0
-5.002734661102295,73.30330657958984,-68.73871612548828,-0.7146205306053162,-0.11741074919700623,0.48359814286231995,-0.37960493564605713,0.0
-9.787959098815918,75.78922271728516,-66.19283294677734,-0.3107045888900757,-0.14503680169582367,0.4974152147769928,-0.3519972860813141,0.0
-14.417819023132324,77.71580505371094,-63.274391174316406,0.03107045777142048,-0.17956937849521637,0.5043237805366516,-0.3312915861606598,0.0
-19.078752517700195,78.92768096923828,-59.76604461669922,0.0,-0.2071954309940338,0.5043237805366516,-0.30368393659591675,0.0
-23.863975524902344,79.5180892944336,-55.729896545410156,-0.18642275035381317,-0.2417280077934265,0.5043237805366516,-0.2760763168334961,0.0
-28.618127822875977,80.01527404785156,-51.53851318359375,-0.37284550070762634,-0.26935407519340515,0.5043237805366516,-0.24156677722930908,-0.006915209349244833
-33.37228012084961,80.6678237915039,-47.378173828125,-0.3107045888900757,-0.2969801127910614,0.5043237805366516,-0.21395914256572723,0.0
-38.09535598754883,81.28929901123047,-43.12469482421875,-0.03107045777142048,-0.317699670791626,0.5043237805366516,-0.17944960296154022,0.0
-42.66307067871094,81.32037353515625,-38.436553955078125,0.24856366217136383,-0.3453257381916046,0.4974152147769928,-0.15184196829795837,0.0
-47.13756561279297,80.69889831542969,-33.25165557861328,0.3107045888900757,-0.3660452663898468,0.49050667881965637,-0.11733243614435196,0.0
-51.64313507080078,79.73560333251953,-27.849424362182617,0.2174932062625885,-0.39367133378982544,0.48359814286231995,-0.08972480148077011,0.0
-55.93119430541992,78.74124145507812,-22.602432250976562,0.09321137517690659,-0.4143908619880676,0.4697810411453247,-0.0552152618765831,0.0
-59.72208786010742,77.52935791015625,-17.603816986083984,0.06214091554284096,-0.42820391058921814,0.44905540347099304,-0.02760763093829155,-0.006915209349244833
-62.92259216308594,75.8824462890625,-12.729391098022461,0.12428183108568192,-0.44201692938804626,0.4352383017539978,0.0,0.0
-65.84344482421875,73.92478942871094,-7.82391881942749,0.12428183108568192,-0.46273645758628845,0.42142122983932495,0.03450953960418701,0.0
-68.73322296142578,71.84283447265625,-2.9805405139923096,0.0,-0.4696429967880249,0.4076041281223297,0.06211717054247856,0.0
-71.46763610839844,69.69873809814453,1.8007432222366333,-0.24856366217136383,-0.47654950618743896,0.3799699544906616,0.09662670642137527,0.0
-73.98454284667969,67.33712005615234,6.5509796142578125,-0.4039159417152405,-0.4903625249862671,0.36615288257598877,0.13113625347614288,0.0
-76.12857055664062,64.69583892822266,11.363310813903809,-0.37284550070762634,-0.49726903438568115,0.3385186791419983,0.15874387323856354,0.0
-77.71328735351562,61.58845138549805,16.237735748291016,-0.12428183108568192,-0.5041755437850952,0.3108845055103302,0.18635150790214539,0.0
-78.64546966552734,57.85958480834961,21.019020080566406,0.12428183108568192,-0.5041755437850952,0.2832503318786621,0.2208610475063324,0.0
-79.14263916015625,53.695682525634766,25.67611312866211,0.12428183108568192,-0.5041755437850952,0.255616158246994,0.2553705871105194,0.0
-79.6708755493164,49.469635009765625,30.302160263061523,-0.09321137517690659,-0.5041755437850952,0.22798196971416473,0.28297820687294006,0.0
-80.35448455810547,45.367881774902344,34.92820739746094,-0.3417750298976898,-0.5041755437850952,0.20034779608249664,0.3105858564376831,0.0
-80.78950500488281,41.11075973510742,39.678443908691406,-0.24856366217136383,-0.5041755437850952,0.16580507159233093,0.33819347620010376,0.0
-80.57199096679688,36.418601989746094,44.36658477783203,0.12428183108568192,-0.49726903438568115,0.13126234710216522,0.35889920592308044,0.0
-79.82624053955078,31.29140853881836,48.961585998535156,0.49712732434272766,-0.4903625249862671,0.11053671687841415,0.37960493564605713,0.0
-78.89405822753906,25.915624618530273,53.432395935058594,0.49712732434272766,-0.483456015586853,0.07599399238824844,0.4072125554084778,0.0
-77.83757781982422,20.63306427001953,57.468544006347656,0.18642275035381317,-0.4696429967880249,0.04145126789808273,0.4210163652896881,0.0
-76.47037506103516,15.630167007446289,61.007938385009766,-0.03107045777142048,-0.4558299481868744,0.01381708960980177,0.4417220950126648,0.0
-74.8235092163086,10.875862121582031,64.17475891113281,0.12428183108568192,-0.44201692938804626,-0.01381708960980177,0.4555259048938751,0.0
