漫昆I回电压_A相_13,漫昆I回电压_B相_14,漫昆I回电压_C相_15,漫昆I回电压_3U0_16,漫昆I回电流_A相_45,漫昆I回电流_B相_46,漫昆I回电流_C相_47,漫昆I回电流_3I0_48
10.837092399597168,68.8324203491211,-80.3376235961914,-0.5758352875709534,-0.06253325194120407,-0.09829273819923401,0.16839951276779175,-0.003789396258071065
-11.677096366882324,80.5087890625,-68.80303192138672,0.5447090864181519,-0.018949469551444054,-0.13042689859867096,0.16083098948001862,-0.0018946981290355325
-33.64165115356445,86.60668182373047,-52.90147018432617,0.5913984179496765,0.015159576199948788,-0.1531098484992981,0.140017569065094,-0.0018946981290355325
-53.49064254760742,85.98339080810547,-32.92338562011719,-0.2490098625421524,0.06253325194120407,-0.168231800198555,0.11163562536239624,0.005684094503521919
-69.26405334472656,80.4256820678711,-11.389374732971191,0.1245049312710762,0.09853724390268326,-0.168231800198555,0.06811665743589401,0.005684094503521919
-81.05522918701172,68.85319519042969,11.306392669677734,-0.9804763197898865,0.1307513415813446,-0.16067083179950714,0.02648981101810932,0.003789396258071065
-87.00785064697266,53.031917572021484,33.193077087402344,-0.9026607275009155,0.1497008204460144,-0.13987812399864197,-0.017029164358973503,0.011368189007043839
-86.07450866699219,32.806034088134766,52.80811309814453,-0.38907790184020996,0.16486038267612457,-0.10963421314954758,-0.06433239579200745,0.011368189007043839
-80.61966705322266,11.406277656555176,68.66818237304688,-0.5447090864181519,0.168650284409523,-0.06804881989955902,-0.1040671095252037,0.00757879251614213
-68.67294311523438,-11.3335599899292,80.13016510009766,0.32682543992996216,0.15538565814495087,-0.028353674337267876,-0.13055692613124847,0.011368189007043839
-52.474342346191406,-33.221561431884766,86.10491943359375,0.8404082655906677,0.1402260810136795,0.007560980040580034,-0.15326246619224548,0.00757879251614213
-32.6149787902832,-52.93842315673828,85.5862808227539,0.23344674706459045,0.1118018701672554,0.05292686074972153,-0.17029163241386414,0.011368189007043839
-10.598572731018066,-69.09212493896484,79.95382690429688,0.5758352875709534,0.06821808964014053,0.09640249609947205,-0.16650737822055817,0.005684094503521919
11.915616035461426,-80.6957778930664,68.39849090576172,-0.45133036375045776,0.028424205258488655,0.12664641439914703,-0.16083098948001862,0.00757879251614213
33.78683853149414,-86.76250457763672,52.56953811645508,-0.5291459560394287,-0.011369681917130947,0.147439107298851,-0.1381254345178604,0.0018946981290355325
53.511383056640625,-86.17037200927734,32.6744384765625,0.1867574006319046,-0.05684841051697731,0.16445131599903107,-0.11163562536239624,0.0
69.24331665039062,-80.51918029785156,11.17154598236084,-0.03112623281776905,-0.08906251192092896,0.16445131599903107,-0.06811665743589401,-0.003789396258071065
80.91004180908203,-68.8324203491211,-11.586459159851074,0.9804763197898865,-0.12317155301570892,0.15689033269882202,-0.028381939977407455,-0.003789396258071065
86.83155059814453,-52.91764831542969,-33.493892669677734,0.9337869882583618,-0.14401596784591675,0.13798788189888,0.017029164358973503,-0.005684094503521919
85.8982162475586,-32.650211334228516,-53.11929702758789,0.45133036375045776,-0.1572805941104889,0.10774396359920502,0.06622452288866043,-0.00947349052876234
80.32929992675781,-11.19851303100586,-69.0312271118164,0.5447090864181519,-0.1591755449771881,0.0642683282494545,0.1040671095252037,-0.005684094503521919
68.46553039550781,11.562101364135742,-80.43097686767578,-0.2178836315870285,-0.1497008204460144,0.024573184549808502,0.13055692613124847,-0.003789396258071065
52.246192932128906,33.377384185791016,-86.3849868774414,-0.7937189340591431,-0.13264629244804382,-0.018902450799942017,0.15515460073947906,-0.00757879251614213
32.33498001098633,53.031917572021484,-85.8248519897461,-0.26457297801971436,-0.1023271381855011,-0.05859759449958801,0.16839951276779175,-0.00757879251614213
10.453386306762695,69.08173370361328,-80.1924057006836,-0.6069615483283997,-0.06253325194120407,-0.10018298774957657,0.16839951276779175,-0.00757879251614213
-12.040060997009277,80.67500305175781,-68.59557342529297,0.5913984179496765,-0.018949469551444054,-0.13231715559959412,0.15893885493278503,-0.003789396258071065
-34.004615783691406,86.65862274169922,-52.63177490234375,0.5913984179496765,0.013264629058539867,-0.1531098484992981,0.140017569065094,0.0018946981290355325
-53.801753997802734,85.96260833740234,-32.570709228515625,-0.2178836315870285,0.06442819535732269,-0.16634155809879303,0.11163562536239624,0.003789396258071065
-69.4818344116211,80.26985931396484,-11.026326179504395,0.1245049312710762,0.10043218731880188,-0.168231800198555,0.06433239579200745,0.003789396258071065
-81.23152160644531,68.59349060058594,11.700560569763184,-1.0271656513214111,0.12885639071464539,-0.16067083179950714,0.02648981101810932,0.00757879251614213
-87.0389633178711,52.69949722290039,33.545753479003906,-0.8404082655906677,0.15159575641155243,-0.1436586230993271,-0.017029164358973503,0.00757879251614213
-86.02265930175781,32.421669006347656,53.11929702758789,-0.38907790184020996,0.16486038267612457,-0.11152445524930954,-0.06433239579200745,0.00947349052876234
-80.49522399902344,11.042689323425293,68.90675354003906,-0.560272216796875,0.1667553335428238,-0.06993906199932098,-0.10595924407243729,0.00947349052876234
-68.46553039550781,-11.728312492370605,80.27538299560547,0.3423885703086853,0.15538565814495087,-0.028353674337267876,-0.13623331487178802,0.011368189007043839
-52.16322708129883,-33.57476043701172,86.14641571044922,0.8404082655906677,0.14212103188037872,0.011341470293700695,-0.15515460073947906,0.005684094503521919
-32.22090530395508,-53.260459899902344,85.46180725097656,0.2178836315870285,0.11559176445007324,0.05670734867453575,-0.16839951276779175,0.00947349052876234
-10.183755874633789,-69.36222076416016,79.75674438476562,0.5291459560394287,0.06821808964014053,0.09829273819923401,-0.16839951276779175,0.005684094503521919
