1-500kV 平四线 5805Ua_1,2-500kV 平四线 5805Ub_2,3-500kV 平四线 5805Uc_3,4-500kV 平四线 58053Uo_4,37-平四线 5805Ia_37,38-平四线 5805Ib_38,39-平四线 5805Ic_39,40-平四线 58053Io_40
-27.468563079833984,-60.6789436340332,85.16405487060547,-5.028084754943848,-0.03576691448688507,-0.12873315811157227,0.13587109744548798,-0.021509665995836258
0.31718894839286804,-77.7626953125,75.51508331298828,-3.2255637645721436,0.03576691448688507,-0.1430368423461914,0.1287199854850769,0.007169888820499182
28.26153564453125,-87.57003021240234,57.008033752441406,-3.9528968334198,0.08584059029817581,-0.15734052658081055,0.08581332862377167,0.028679555281996727
51.70179748535156,-87.12711334228516,31.889066696166992,-6.0400261878967285,0.13591426610946655,-0.1430368423461914,0.05005777254700661,0.050189219415187836
70.19391632080078,-79.4710693359375,5.789383888244629,-5.850287437438965,0.1859879493713379,-0.10727763921022415,0.01430222112685442,0.07886877655982971
81.86647033691406,-63.05168533325195,-20.879745483398438,-3.4469261169433594,0.2074480950832367,-0.07867026329040527,-0.02860444225370884,0.11471822112798691
85.89476776123047,-40.2100830078125,-46.47325134277344,-1.2649270296096802,0.21460148692131042,-0.02145552635192871,-0.06435999274253845,0.12188810855150223
82.05677795410156,-14.48954963684082,-67.70099639892578,-0.1264926940202713,0.2074480950832367,0.02145552635192871,-0.10726665705442429,0.11471822112798691
71.05032348632812,11.863714218139648,-81.52591705322266,2.4349844455718994,0.17168118059635162,0.06436657905578613,-0.1287199854850769,0.10037843883037567
51.67007827758789,38.311885833740234,-87.9163818359375,3.541795492172241,0.11445412039756775,0.10727763921022415,-0.14302220940589905,0.07169888913631439
28.26153564453125,60.647308349609375,-85.06914520263672,6.672489643096924,0.042920295149087906,0.13588500022888184,-0.14302220940589905,0.021509665995836258
0.5075023174285889,77.5728759765625,-75.73653411865234,4.016143321990967,-0.028613530099391937,0.15018868446350098,-0.1287199854850769,-0.014339777640998363
-27.944345474243164,87.2853012084961,-57.32439422607422,3.5101723670959473,-0.07868721336126328,0.15018868446350098,-0.09296443313360214,-0.028679555281996727
-51.22601318359375,87.00057220458984,-32.01560974121094,6.451127529144287,-0.14306765794754028,0.1430368423461914,-0.05720888450741768,-0.06452900171279907
-67.4660873413086,79.12306213378906,-5.821020126342773,10.056169509887695,-0.20029471814632416,0.10012579709291458,-0.01430222112685442,-0.12188810855150223
-80.43911743164062,62.10258865356445,20.689929962158203,4.016143321990967,-0.2289082407951355,0.06436657905578613,0.021453332155942917,-0.16490744054317474
-85.16522979736328,39.229347229003906,46.2834358215332,0.664086639881134,-0.24321500957012177,0.014303685165941715,0.05005777254700661,-0.17207732796669006
-81.35896301269531,14.10991096496582,67.73262786865234,0.8222025632858276,-0.2289082407951355,-0.02860737033188343,0.09296443313360214,-0.16490744054317474
-72.31907653808594,-12.085169792175293,81.4310073852539,-5.154577255249023,-0.19314132630825043,-0.0715184211730957,0.11441776901483536,-0.13622789084911346
-54.20759201049805,-38.470069885253906,88.23274230957031,-7.810924053192139,-0.12876088917255402,-0.10727763921022415,0.13587109744548798,-0.09320855140686035
-29.308258056640625,-60.61566925048828,85.57532501220703,-7.494692325592041,-0.042920295149087906,-0.12873315811157227,0.14302220940589905,-0.043019331991672516
-1.3321936130523682,-77.66778564453125,75.6099853515625,-5.723794460296631,0.021460147574543953,-0.15018868446350098,0.1287199854850769,0.007169888820499182
27.785751342773438,-87.4434814453125,56.849853515625,-4.869968891143799,0.08584059029817581,-0.15018868446350098,0.10011554509401321,0.035849444568157196
50.97226333618164,-87.2220230102539,31.414525985717773,-8.31689453125,0.15022103488445282,-0.12873315811157227,0.05720888450741768,0.07886877655982971
68.03702545166016,-79.37615966796875,5.441388130187988,-10.245908737182617,0.20029471814632416,-0.09297394752502441,0.02860444225370884,0.12905800342559814
80.50255584716797,-62.450592041015625,-20.81647300720215,-4.71185302734375,0.2289082407951355,-0.05006289854645729,-0.01430222112685442,0.16490744054317474
84.62601470947266,-39.4508056640625,-46.40998077392578,-2.023883104324341,0.24321500957012177,-0.007151842582970858,-0.042906664311885834,0.1864171028137207
73.80986785888672,-13.79354476928711,-67.51117706298828,-13.02874755859375,0.2718285322189331,0.06436657905578613,-0.07151110470294952,0.2581160068511963
57.982139587402344,14.236456871032715,-79.72266387939453,-12.997124671936035,0.28613531589508057,0.13588500022888184,-0.06435999274253845,0.35132455825805664
50.623355865478516,41.82354736328125,-85.29059600830078,12.36466121673584,0.2503683865070343,0.1716442108154297,-0.0786622166633606,0.3298148810863495
37.3648567199707,61.56476593017578,-85.03751373291016,24.065235137939453,0.14306765794754028,0.1716442108154297,-0.10726665705442429,0.19358699023723602
15.827728271484375,74.53575897216797,-79.02667236328125,19.669614791870117,0.014306765049695969,0.15018868446350098,-0.12156888097524643,0.028679555281996727
-18.904460906982422,84.216552734375,-60.013450622558594,9.107474327087402,-0.09299397468566895,0.15018868446350098,-0.10011554509401321,-0.050189219415187836
-47.41974639892578,86.6842041015625,-31.604341506958008,13.313356399536133,-0.17168118059635162,0.12873315811157227,-0.05720888450741768,-0.10037843883037567
-52.7485237121582,82.2867202758789,-3.005418062210083,46.23308181762695,-0.26467517018318176,0.06436657905578613,-0.05005777254700661,-0.2509461045265198
-42.249568939208984,62.0076789855957,19.203039169311523,67.76846313476562,-0.4363563358783722,-0.06436657905578613,-0.10011554509401321,-0.5879308581352234
-41.234561920166016,32.617305755615234,39.165340423583984,53.190181732177734,-0.6366510391235352,-0.1930997520685196,-0.14302220940589905,-0.9751048684120178
