220kV一组母线_A_1,220kV一组母线_B_2,220kV一组母线_C_3,220kV一组母线_N_4,220kV博南I回线283间隔_A_17,220kV博南I回线283间隔_B_18,220kV博南I回线283间隔_C_19,220kV博南I回线283间隔_N_20
64.71259307861328,-81.71586608886719,16.777881622314453,-0.3926500082015991,-0.10184799879789352,0.11113200336694717,-0.0035180000122636557,0.0017630000365898013
73.19880676269531,-76.90104675292969,3.447510004043579,-0.4083560109138489,-0.11062800139188766,0.10231199860572815,0.014072000049054623,0.0017630000365898013
79.08271789550781,-69.75209045410156,-9.047101974487305,0.48688599467277527,-0.11589600145816803,0.08643600344657898,0.035179998725652695,0.0
83.07499694824219,-60.9493408203125,-21.56260871887207,0.9580659866333008,-0.11940799653530121,0.0723240002989769,0.05276999995112419,0.0
85.6563949584961,-51.04755783081055,-34.23481750488281,0.6282399892807007,-0.12291999906301498,0.05644800141453743,0.07211899757385254,0.0
85.9281234741211,-38.87443923950195,-47.02194595336914,0.015706000849604607,-0.11940799653530121,0.035280000418424606,0.08794999867677689,0.0
84.42317962646484,-25.926759719848633,-58.43007278442383,0.0,-0.11238399893045425,0.017640000209212303,0.09850399941205978,0.0
80.18006896972656,-12.413862228393555,-67.44583129882812,0.48688599467277527,-0.10360399633646011,-0.0017640000442042947,0.10729900002479553,0.0
74.0871353149414,0.7431570291519165,-74.70649719238281,0.17276600003242493,-0.09482400119304657,-0.01940399967133999,0.11609400063753128,0.0
66.83414459228516,13.13608455657959,-80.30609130859375,-0.6282399892807007,-0.07726400345563889,-0.03880799934267998,0.11961200088262558,0.0
57.668617248535156,26.188434600830078,-84.31773376464844,-0.7853000164031982,-0.06145999953150749,-0.05644800141453743,0.12137100100517273,-0.0017630000365898013
46.82048034667969,39.26171875,-86.27132415771484,-0.31411999464035034,-0.0456559993326664,-0.07056000083684921,0.12137100100517273,0.0017630000365898013
34.62416458129883,51.02662658691406,-85.67584991455078,-0.03141200169920921,-0.028095999732613564,-0.08290799707174301,0.11785300076007843,-0.0017630000365898013
21.19462776184082,61.89137268066406,-83.3357162475586,-0.37694400548934937,-0.01053600013256073,-0.09702000021934509,0.11257600039243698,0.0
8.00546646118164,70.58944702148438,-78.89574432373047,-0.4711799919605255,0.008779999800026417,-0.1076039969921112,0.10378099977970123,0.0017630000365898013
