大理和平二回电压_A相_1,大理和平二回电压_B相_2,大理和平二回电压_C相_3,大理和平二回电压_3U0_4,大理和平二回电流_A相_33,大理和平二回电流_B相_34,大理和平二回电流_C相_35,大理和平二回电流_3I0_36
67.0164566040039,15.9485445022583,-83.64863586425781,-0.6244094967842102,0.3176440894603729,0.06789414584636688,-0.3601432144641876,0.020677372813224792
49.269100189208984,36.79951858520508,-86.27437591552734,0.2809842824935913,0.2396596223115921,0.17350725829601288,-0.392197847366333,0.022557133808732033
28.534147262573242,56.576133728027344,-85.71171569824219,-0.3122047483921051,0.15406690537929535,0.264032781124115,-0.392197847366333,0.024436894804239273
7.327468395233154,71.3772964477539,-78.99107360839844,0.15610237419605255,0.053257692605257034,0.34701451659202576,-0.3714566230773926,0.024436894804239273
-16.447492599487305,83.8941421508789,-67.102294921875,1.0302757024765015,-0.05515975505113602,0.403592973947525,-0.32054632902145386,0.018797611817717552
-37.51789474487305,86.88775634765625,-49.243080139160156,0.40586617588996887,-0.15787102282047272,0.422452449798584,-0.24512365460395813,0.020677372813224792
-56.5127067565918,86.10545349121094,-28.92483901977539,1.2800394296646118,-0.24726787209510803,0.42056652903556824,-0.14895975589752197,0.020677372813224792
-72.25785064697266,79.60712432861328,-7.450021743774414,-0.17171260714530945,-0.3176440894603729,0.4017070233821869,-0.049024730920791626,0.022557133808732033
-83.66312408447266,67.96646118164062,16.046201705932617,0.5463582873344421,-0.3747059106826782,0.3451285660266876,0.05091029778122902,0.022557133808732033
-86.91278839111328,49.61885452270508,36.968780517578125,-0.7492914199829102,-0.40323683619499207,0.2696906328201294,0.1659298539161682,0.022557133808732033
-85.4661636352539,29.278982162475586,56.432613372802734,0.296594500541687,-0.40513888001441956,0.175393208861351,0.254551500082016,0.024436894804239273
-79.58531951904297,8.146378517150879,71.52021026611328,-0.296594500541687,-0.3766079843044281,0.07355199009180069,0.32997414469718933,0.022557133808732033
-66.94307708740234,-15.792083740234375,83.56527709960938,0.9210039973258972,-0.3290564715862274,-0.03771897032856941,0.38088443875312805,0.022557133808732033
-49.20620346069336,-36.695213317871094,86.2535400390625,0.046830713748931885,-0.24916993081569672,-0.1433320790529251,0.41671022772789,0.022557133808732033
-28.54463005065918,-56.461395263671875,85.56584167480469,0.593189001083374,-0.15406690537929535,-0.23197166621685028,0.4185957908630371,0.022557133808732033
-7.285537242889404,-71.46074676513672,78.93897247314453,0.12488190084695816,-0.05515975505113602,-0.31118151545524597,0.392197847366333,0.020677372813224792
16.478940963745117,-84.04017639160156,67.16481018066406,-0.7649016380310059,0.0456494502723217,-0.3602161705493927,0.34694424271583557,0.024436894804239273
37.66465377807617,-86.90861511230469,49.118045806884766,-0.20293308794498444,0.15216484665870667,-0.39416325092315674,0.26586487889289856,0.024436894804239273
