1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-220kV那蔓线电流Ia_9,10-220kV那蔓线电流Ib_10,11-220kV那蔓线电流Ic_11,12-220kV那蔓线电流3Io_12
26.105371475219727,58.6749267578125,-84.7802963256836,-0.5904785990715027,0.17956075072288513,0.6871651411056519,-0.8701789975166321,-0.0034530912525951862
20.915374755859375,62.652889251708984,-83.53718566894531,-0.5594007968902588,0.12085819244384766,0.7251491546630859,-0.8494604825973511,0.0
15.632144927978516,66.3822250366211,-81.95221710205078,-0.5283229947090149,0.06560873240232468,0.7562270164489746,-0.8252888321876526,0.0
10.286759376525879,69.8940200805664,-79.93215942382812,-0.40401169657707214,0.010359274223446846,0.7907578945159912,-0.7976641058921814,0.0
4.941373825073242,73.06395721435547,-77.601318359375,-0.2797003984451294,-0.05179636925458908,0.8149295449256897,-0.7665862441062927,0.0
-0.4661673307418823,75.9231185913086,-75.02186584472656,-0.15538911521434784,-0.10359273850917816,0.8356481194496155,-0.7355084419250488,0.0
-5.904786109924316,78.50257873535156,-72.03839111328125,-0.062155645340681076,-0.15884220600128174,0.8563666343688965,-0.6975244283676147,0.0034530912525951862
-11.281249046325684,80.74018096923828,-68.71306610107422,0.062155645340681076,-0.21754474937915802,0.8770852088928223,-0.656087338924408,0.0034530912525951862
-16.719867706298828,82.63592529296875,-65.07695770263672,0.21754474937915802,-0.2693411111831665,0.8908975720405579,-0.6181033253669739,0.0
-22.06525421142578,84.22090148925781,-61.22330856323242,0.3107782304286957,-0.3245905935764313,0.8978037238121033,-0.5766662359237671,0.0
-27.255250930786133,85.4640121459961,-57.30750274658203,0.3107782304286957,-0.37638694047927856,0.9081630110740662,-0.5283229947090149,0.0034530912525951862
-32.352012634277344,86.42742156982422,-53.14307403564453,0.37293386459350586,-0.42473024129867554,0.9116160869598389,-0.4765265882015228,0.0034530912525951862
-37.26231002807617,87.01789855957031,-48.73002624511719,0.37293386459350586,-0.4730735123157501,0.9116160869598389,-0.42818331718444824,0.0034530912525951862
-42.14152526855469,87.26652526855469,-44.099430084228516,0.40401169657707214,-0.5214167833328247,0.9081630110740662,-0.37638694047927856,0.0034530912525951862
-46.77212142944336,86.98682403564453,-39.15805435180664,0.3418560326099396,-0.5663069486618042,0.8978037238121033,-0.3211374878883362,0.0034530912525951862
-51.30948257446289,86.33419036865234,-34.06129455566406,0.37293386459350586,-0.6111971735954285,0.8908975720405579,-0.2693411111831665,0.0069061825051903725
-55.59822463989258,85.4640121459961,-28.871295928955078,0.37293386459350586,-0.6526342630386353,0.8770852088928223,-0.21063856780529022,0.0034530912525951862
-59.700496673583984,84.34520721435547,-23.68130111694336,0.37293386459350586,-0.6906182765960693,0.8598197102546692,-0.15538911521434784,0.0069061825051903725
-63.64738082885742,82.9156265258789,-18.335914611816406,0.2797003984451294,-0.7251491546630859,0.8356481194496155,-0.10359273850917816,0.0034530912525951862
-67.34564208984375,81.1752700805664,-13.021607398986816,0.15538911521434784,-0.7596800923347473,0.8149295449256897,-0.041437096893787384,0.0034530912525951862
-70.73312377929688,79.06198120117188,-7.6140666007995605,0.062155645340681076,-0.7838517427444458,0.7873048186302185,0.013812365010380745,0.0034530912525951862
-73.80982971191406,76.66898345947266,-2.268681049346924,-0.062155645340681076,-0.8149295449256897,0.7527738809585571,0.07251491397619247,0.0034530912525951862
-76.6068344116211,73.99629211425781,3.1077821254730225,-0.21754474937915802,-0.8356481194496155,0.7182430028915405,0.12776437401771545,0.0069061825051903725
-79.15521240234375,71.01282501220703,8.484245300292969,-0.3418560326099396,-0.8529135584831238,0.6802589893341064,0.18646693229675293,0.0034530912525951862
-81.33065795898438,67.6875,13.98501968383789,-0.40401169657707214,-0.8701789975166321,0.6422749757766724,0.2417163848876953,0.0034530912525951862
-83.16425323486328,63.95815658569336,19.454715728759766,-0.43508949875831604,-0.880538284778595,0.6042909622192383,0.293512761592865,0.0034530912525951862
-84.68706512451172,60.04235076904297,24.737945556640625,-0.5283229947090149,-0.8908975720405579,0.5524945855140686,0.34530913829803467,0.0069061825051903725
-85.77478790283203,55.97115707397461,29.83470916748047,-0.6837120652198792,-0.8978037238121033,0.5076044201850891,0.39710548520088196,0.0034530912525951862
-86.5517349243164,51.68241882324219,34.83823776245117,-0.7458677291870117,-0.901256799697876,0.46271422505378723,0.45235496759414673,0.0069061825051903725
-86.98682403564453,47.207210540771484,39.71745681762695,-0.7147899270057678,-0.901256799697876,0.40746477246284485,0.4972451329231262,0.0069061825051903725
-87.04898071289062,42.54553985595703,44.47236251831055,-0.6837120652198792,-0.8943506479263306,0.35566839575767517,0.5455884337425232,0.0069061825051903725
-86.6760482788086,37.604164123535156,49.00972366333008,-0.6215564608573914,-0.8874444365501404,0.3038720488548279,0.5939316749572754,0.0069061825051903725
-85.96125793457031,32.50740051269531,53.453853607177734,-0.4661673307418823,-0.8770852088928223,0.2486225664615631,0.635368824005127,0.0034530912525951862
-84.93568420410156,27.50387191772461,57.7736701965332,0.18646693229675293,-0.8598197102546692,0.18992002308368683,0.6733527779579163,0.0034530912525951862
-81.48604583740234,22.438186645507812,61.81378936767578,4.444128513336182,-0.8494604825973511,0.13467055559158325,0.7113367915153503,-0.0034530912525951862
-61.6273193359375,15.849689483642578,63.95815658569336,31.202133178710938,-0.880538284778595,0.07251491397619247,0.742414653301239,-0.06560873240232468
