220kVII母电压_A相_5,220kVII母电压_B相_6,220kVII母电压_C相_7,220kVII母电压_3U0_8,东果I回246_A相_21,东果I回246_B相_22,东果I回246_C相_23,东果I回246_3I0_24
34.71411895751953,50.70222854614258,-85.74337768554688,-0.5353509187698364,-0.08360977470874786,0.03715161979198456,0.10235141962766647,0.0
13.887688636779785,67.14454650878906,-81.24128723144531,-0.36709779500961304,-0.10218972712755203,0.0464395247399807,0.11165609210729599,0.037186186760663986
-9.071385383605957,80.29635620117188,-70.96389770507812,0.1070701852440834,-0.027869926765561104,-0.01857580989599228,0.11165609210729599,0.009296546690165997
-30.265161514282227,85.89937591552734,-54.86027908325195,0.933040201663971,-0.00928997527807951,-0.02786371484398842,0.09304673969745636,0.018593093380331993
-50.6528205871582,85.59375762939453,-34.9573860168457,-0.15295740962028503,0.01857995055615902,-0.05572742968797684,0.10235141962766647,-0.009296546690165997
-66.99967956542969,81.22340393066406,-13.97480583190918,0.6424211263656616,0.04644987732172012,-0.07430323958396912,0.08374206721782684,0.009296546690165997
-79.89757537841797,70.86290740966797,9.02454662322998,-0.04588722437620163,0.08360977470874786,-0.0928790494799614,0.06513272225856781,0.027889641001820564
-85.88734436035156,55.06239700317383,30.567340850830078,-0.4282807409763336,0.08360977470874786,-0.10216695070266724,0.06513272225856781,0.018593093380331993
-63.54051208496094,43.56092834472656,62.42826843261719,73.72547149658203,-1.9416048526763916,-0.0928790494799614,-0.055828046053647995,2.212578058242798
-32.897804260253906,17.216548919677734,66.79794311523438,88.77648162841797,-9.782343864440918,0.34365248680114746,0.21400751173496246,9.315139770507812
-38.999813079833984,-8.160033226013184,77.788330078125,52.464393615722656,-15.198399543762207,0.6222896575927734,0.5117570757865906,14.037785530090332
-32.2957649230957,-30.612857818603516,82.91175079345703,34.14009475708008,-19.93628692626953,0.9938058257102966,0.7815926671028137,18.128265380859375
-14.806052207946777,-48.89907455444336,86.36470794677734,39.20298385620117,-22.25878143310547,1.2817308902740479,0.976990818977356,19.950389862060547
-16.469308853149414,-69.68118286132812,78.64393615722656,-13.154336929321289,-22.546770095825195,1.4210494756698608,1.1351702213287354,19.92249870300293
1.6734614372253418,-83.04692840576172,69.95551300048828,-19.685619354248047,-20.21498680114746,1.4024736881256104,1.18169367313385,17.6076602935791
8.499959945678711,-86.43930053710938,52.751834869384766,-43.684635162353516,-15.839407920837402,1.1888518333435059,1.014209508895874,13.591550827026367
13.80605697631836,-86.06237030029297,34.22401428222656,-65.83287048339844,-9.689444541931152,0.8080477118492126,0.6978505849838257,8.106588363647461
30.05087661743164,-82.31344604492188,13.434962272644043,-67.22478485107422,-2.341073751449585,0.3993799090385437,0.31635892391204834,1.543226718902588
31.81617546081543,-68.2142105102539,-9.40141773223877,-79.583740234375,5.276705741882324,-0.03715161979198456,-0.027914023026823997,-5.224659442901611
38.2651252746582,-53.3101806640625,-29.701555252075195,-77.73295593261719,12.922355651855469,-0.5015468597412109,-0.43731969594955444,-12.048324584960938
40.010013580322266,-34.51459884643555,-49.197021484375,-76.249267578125,20.289306640625,-0.9845179319381714,-0.8188113570213318,-18.49083137512207
37.87736892700195,-13.620429992675781,-66.49237060546875,-73.69487762451172,27.005958557128906,-1.4489132165908813,-1.1630842685699463,-24.449918746948242
39.51001739501953,5.888263702392578,-78.94950103759766,-58.5673942565918,32.62639236450195,-1.8111414909362793,-1.4608339071273804,-29.414274215698242
31.877399444580078,29.390382766723633,-85.41743469238281,-43.026920318603516,36.425994873046875,-2.0712027549743652,-1.628317952156067,-32.75173568725586
25.765182495117188,49.52050018310547,-84.20533752441406,-16.106414794921875,37.884517669677734,-2.201233386993408,-1.758583426475525,-33.96028518676758
17.12236785888672,67.25660705566406,-80.95609283447266,5.1087775230407715,36.90907287597656,-2.2290971279144287,-1.7864974737167358,-32.919071197509766
6.826498031616211,80.60197448730469,-69.58882904052734,30.178497314453125,33.68545150756836,-2.0897786617279053,-1.7120600938796997,-29.86980438232422
-0.2653048634529114,84.27959442138672,-51.79438018798828,55.15644073486328,28.009275436401367,-1.7739897966384888,-1.4980525970458984,-24.691627502441406
-10.581582069396973,87.09129333496094,-34.35643005371094,72.04293823242188,20.456525802612305,-1.4024736881256104,-1.2003029584884644,-17.83077621459961
-19.21419334411621,82.2523193359375,-12.874748229980469,85.96206665039062,11.77039909362793,-0.9380784034729004,-0.8374207019805908,-9.91011905670166
-27.254972457885742,69.81361389160156,9.513461112976074,89.29653930664062,2.6290628910064697,-0.48297104239463806,-0.38149166107177734,-1.6919715404510498
-37.97941207885742,55.12351989746094,28.805212020874023,79.00250244140625,-5.6483049392700195,0.03715161979198456,0.08374206721782684,5.58722448348999
-40.97939682006836,35.533329010009766,49.624820709228516,75.95864868164062,-13.108155250549316,0.5294106006622314,0.49314773082733154,12.169179916381836
-40.85694885253906,14.252042770385742,65.72843933105469,67.57658386230469,-19.601848602294922,0.9752300381660461,0.846725344657898,17.793590545654297
-38.081451416015625,-6.030886173248291,77.72721862792969,58.261478424072266,-25.027193069458008,1.3374582529067993,1.1630842685699463,22.53483009338379
-32.09168243408203,-28.830080032348633,85.63133239746094,42.9963264465332,-28.78963279724121,1.5975196361541748,1.3863965272903442,25.816509246826172
-25.897836685180664,-48.10446548461914,84.58220672607422,19.027902603149414,-30.4339599609375,1.7089744806289673,1.4515291452407837,27.229585647583008
-17.23461151123047,-67.52147674560547,81.0375747680664,-6.194775104522705,-29.523542404174805,1.6718229055404663,1.4887478351593018,26.346412658691406
