漫昆I回电压_A相_17,漫昆I回电压_B相_18,漫昆I回电压_C相_19,漫昆I回电压_3U0_20,漫昆I回线_A相_29,漫昆I回线_B相_30,漫昆I回线_C相_31,漫昆I回线_3I0_32
72.6791763305664,5.984733581542969,-78.80418395996094,-0.28028103709220886,0.15344323217868805,-0.026483384892344475,-0.12719479203224182,0.007582938298583031
57.37884521484375,28.479434967041016,-86.12757110595703,-0.373708039522171,0.14207705855369568,0.026483384892344475,-0.151874378323555,0.005687203723937273
38.151329040527344,48.979225158691406,-87.60054779052734,-0.482706218957901,0.10797856748104095,0.05296676978468895,-0.16516339778900146,0.0018957345746457577
16.10671043395996,66.43470001220703,-82.62147521972656,-0.5138485431671143,0.07766879349946976,0.09458351135253906,-0.16706182062625885,0.0018957345746457577
-6.419644832611084,78.89250183105469,-72.50773620605469,-0.07785584032535553,0.03030977211892605,0.1267419159412384,-0.15756967663764954,-0.0018957345746457577
-28.568988800048828,86.33186340332031,-57.850589752197266,0.2491386979818344,-0.0056830826215445995,0.15133363008499146,-0.1404838114976883,-0.005687203723937273
-49.419742584228516,87.76570129394531,-38.33885192871094,0.1868540197610855,-0.04735901951789856,0.16835865378379822,-0.11010892689228058,-0.005687203723937273
-66.51087188720703,83.0589599609375,-16.596906661987305,-0.1245693489909172,-0.09092932194471359,0.17214199900627136,-0.06834347546100616,-0.005687203723937273
-78.95220184326172,72.7934799194336,6.068243503570557,-0.373708039522171,-0.11745037138462067,0.1626836508512497,-0.02467958815395832,-0.009478673338890076
-86.32484436035156,57.7485237121582,28.370336532592773,-0.5138485431671143,-0.14397141337394714,0.14565861225128174,0.018984297290444374,-0.007582938298583031
-87.43492889404297,38.422821044921875,49.10609436035156,-0.40485039353370667,-0.15344323217868805,0.12106689810752869,0.05695289373397827,-0.011374407447874546
-82.79561614990234,16.364505767822266,66.25277709960938,-0.40485039353370667,-0.15723194181919098,0.08134182542562485,0.09492149204015732,-0.013270142488181591
-72.59539794921875,-5.974343299865723,78.69007873535156,0.07785584032535553,-0.1515488624572754,0.04161674529314041,0.13099165260791779,-0.015165876597166061
-57.37884521484375,-28.333972930908203,85.85787200927734,0.23356753587722778,-0.13449960947036743,-0.0037833405658602715,0.15377281606197357,-0.007582938298583031
-37.86857223510742,-49.311710357666016,87.33084106445312,0.1868540197610855,-0.10608420521020889,-0.04540008679032326,0.16516339778900146,-0.007582938298583031
-15.897260665893555,-66.80874633789062,82.67333984375,0.0622846744954586,-0.07198570668697357,-0.08701683580875397,0.17085868120193481,-0.007582938298583031
6.62909460067749,-79.22499084472656,72.38325500488281,-0.2491386979818344,-0.03030977211892605,-0.11917522549629211,0.15756967663764954,-0.005687203723937273
28.809856414794922,-86.55005645751953,57.36305618286133,-0.4359927177429199,0.009471803903579712,-0.14376693964004517,0.13858537375926971,-0.0037914691492915154
49.37785339355469,-87.890380859375,38.02766036987305,-0.4359927177429199,0.05683082342147827,-0.1551169604063034,0.11010892689228058,-0.0018957345746457577
66.69937133789062,-83.07974243164062,16.48280143737793,-0.23356753587722778,0.09092932194471359,-0.1626836508512497,0.07403875887393951,0.0
79.16165161132812,-72.71035766601562,-6.192720413208008,0.15571168065071106,0.1212390884757042,-0.1551169604063034,0.026578016579151154,0.0018957345746457577
86.48193359375,-57.35369873046875,-28.608917236328125,0.23356753587722778,0.1458657830953598,-0.12863357365131378,-0.015187438577413559,0.0018957345746457577
87.60249328613281,-38.18384552001953,-49.38616943359375,0.1245693489909172,0.15723194181919098,-0.10404186695814133,-0.05695289373397827,0.007582938298583031
82.85844421386719,-16.31255531311035,-66.44985961914062,0.10899817943572998,0.15723194181919098,-0.06999180465936661,-0.0968199223279953,0.009478673338890076
72.05082702636719,5.849661350250244,-79.45768737792969,-2.678241014480591,0.1363939791917801,-0.03594173491001129,-0.13289009034633636,0.03222748637199402
56.980892181396484,28.489826202392578,-86.583984375,-1.8373979330062866,0.14207705855369568,0.020808372646570206,-0.14807751774787903,-0.0037914691492915154
37.77431869506836,49.38444137573242,-87.48644256591797,-0.07785584032535553,0.10418984293937683,0.049183428287506104,-0.16516339778900146,0.0
15.928677558898926,66.91264343261719,-82.33102416992188,0.7941296100616455,0.0757744312286377,0.09458351135253906,-0.16896025836467743,0.0
-6.943269729614258,78.8405532836914,-72.62183380126953,-1.4014052152633667,0.035992853343486786,0.13052524626255035,-0.15946809947490692,-0.0037914691492915154
-28.694660186767578,86.66434478759766,-57.25932693481445,0.8408430814743042,-0.007577443029731512,0.15890030562877655,-0.1404838114976883,-0.007582938298583031
-49.77581024169922,87.74491882324219,-37.955047607421875,0.38927921652793884,-0.045464660972356796,0.16835865378379822,-0.10631206631660461,0.0
-66.78315734863281,82.89271545410156,-16.244220733642578,-0.14014051854610443,-0.08714059740304947,0.16835865378379822,-0.07214033603668213,0.0018957345746457577
-79.29779815673828,72.46099090576172,6.32757043838501,-0.7941296100616455,-0.11745037138462067,0.16646698117256165,-0.02278115786612034,-0.009478673338890076
-86.42957305908203,57.51993942260742,28.816377639770508,-0.28028103709220886,-0.1401827037334442,0.14565861225128174,0.020882727578282356,-0.005687203723937273
-87.41398620605469,38.01760482788086,49.469154357910156,-0.0311423372477293,-0.16291503608226776,0.113500215113163,0.05505446344614029,-0.011374407447874546
-82.95269775390625,15.84499740600586,66.30464172363281,-0.9965547919273376,-0.1610206663608551,0.0851251631975174,0.09492149204015732,-0.011374407447874546
-72.31263732910156,-6.348389148712158,78.86642456054688,0.1245693489909172,-0.15533758699893951,0.03972507640719414,0.1290932297706604,-0.015165876597166061
-57.09608840942383,-28.64567756652832,86.04458618164062,0.40485039353370667,-0.1307108998298645,0.0018916702829301357,0.15377281606197357,-0.007582938298583031
-37.386837005615234,-49.63380813598633,87.28935241699219,0.17128285765647888,-0.10987292975187302,-0.049183428287506104,0.16516339778900146,-0.005687203723937273
-15.415525436401367,-67.05810546875,82.47624969482422,-0.01557116862386465,-0.06819698959589005,-0.08323349058628082,0.16896025836467743,-0.0037914691492915154
6.96421480178833,-79.42240142822266,72.19654083251953,-0.2958522140979767,-0.03030977211892605,-0.11728356033563614,0.15756967663764954,0.0018957345746457577
29.239229202270508,-86.59161376953125,57.12447738647461,-0.38927921652793884,0.011366165243089199,-0.14376693964004517,0.1404838114976883,0.0037914691492915154
49.9014778137207,-87.8696060180664,37.70609664916992,-0.4982773959636688,0.04925338178873062,-0.15890030562877655,0.11010892689228058,-0.0018957345746457577
67.40103149414062,-82.94466400146484,16.0989990234375,-0.23356753587722778,0.08524623513221741,-0.16457532346248627,0.06644504517316818,-0.0037914691492915154
79.28732299804688,-72.46099090576172,-6.54540491104126,0.21799635887145996,0.12313345074653625,-0.15133363008499146,0.030374877154827118,0.005687203723937273
86.42957305908203,-57.083553314208984,-29.034212112426758,0.1868540197610855,0.1458657830953598,-0.13620026409626007,-0.01708586886525154,0.0037914691492915154
87.61296081542969,-37.78902053833008,-49.71810531616211,0.14014051854610443,0.15723194181919098,-0.1059335395693779,-0.05505446344614029,0.007582938298583031
82.75372314453125,-15.907339096069336,-66.70919036865234,0.07785584032535553,0.16291503608226776,-0.07188346982002258,-0.09492149204015732,0.005687203723937273
72.28121948242188,6.76399564743042,-79.14649200439453,-0.2491386979818344,0.1515488624572754,-0.02837505377829075,-0.1290932297706604,0.005687203723937273
56.91805648803711,29.08206558227539,-86.38689422607422,-0.5449908971786499,0.1363939791917801,0.018916703760623932,-0.14807751774787903,0.007582938298583031
37.386837005615234,49.737709045410156,-87.60054779052734,-0.5449908971786499,0.10797856748104095,0.05485843867063522,-0.16326496005058289,0.0037914691492915154
15.352689743041992,66.88147735595703,-82.46587371826172,-0.4204215407371521,0.07198570668697357,0.09269184619188309,-0.16516339778900146,0.0
-7.184137344360352,79.25615692138672,-72.08243560791016,0.0,0.03409849479794502,0.13052524626255035,-0.15946809947490692,0.0
-29.323009490966797,86.51888275146484,-57.18671417236328,0.20242519676685333,-0.007577443029731512,0.15700863301753998,-0.1404838114976883,-0.005687203723937273
-50.26801681518555,87.6202392578125,-37.643856048583984,0.0311423372477293,-0.04735901951789856,0.16835865378379822,-0.1082104966044426,0.0
