多乐二线电压A相_5,多乐二线电压B相_6,多乐二线电压C相_7,多乐二线电压3U0_8,多乐二线电流A相_21,多乐二线电流B相_22,多乐二线电流C相_23,多乐二线电流3I0_24
-51.710201263427734,-34.062164306640625,86.22860717773438,0.46604999899864197,0.05507100000977516,-0.0037899999879300594,-0.017117999494075775,0.009475000202655792
-30.806299209594727,-54.31282043457031,85.40945434570312,0.32623499631881714,0.04557599872350693,0.0,-0.015216000378131866,0.017054999247193336
-8.699590682983398,-71.03801727294922,79.89314270019531,0.23302499949932098,0.04367699846625328,0.02274000085890293,-0.0228240005671978,0.009475000202655792
13.178998947143555,-82.1535873413086,68.3628158569336,-0.9631699919700623,0.03608100116252899,0.03410999849438667,-0.030432000756263733,0.011370000429451466
34.383602142333984,-86.83000946044922,51.9072151184082,-0.7922850251197815,0.03038400039076805,0.041689999401569366,-0.03613800182938576,0.007579999975860119
54.37503433227539,-86.01085662841797,31.324748992919922,-0.5437250137329102,0.01899000070989132,0.043584998697042465,-0.030432000756263733,0.007579999975860119
71.13134002685547,-80.42196655273438,9.466897010803223,0.13981500267982483,0.007596000097692013,0.05305999889969826,-0.02472599968314171,0.009475000202655792
82.13285064697266,-68.82942199707031,-12.722763061523438,0.7301449775695801,-0.0018990000244230032,0.05685000121593475,-0.019020000472664833,0.011370000429451466
86.45671844482422,-51.67909622192383,-34.072532653808594,0.9631699919700623,-0.015192000195384026,0.054954998195171356,-0.0114120002835989,0.015159999951720238
85.4198226928711,-31.0240478515625,-53.90843200683594,0.8544250130653381,-0.015192000195384026,0.05116499960422516,-0.0019020000472664833,0.009475000202655792
79.70650482177734,-9.207672119140625,-70.29145050048828,0.621399998664856,-0.022787999361753464,0.043584998697042465,0.009510000236332417,0.013264999724924564
68.47687530517578,12.77460765838623,-81.44849395751953,0.0,-0.028485000133514404,0.03600500151515007,0.020921999588608742,0.011370000429451466
51.59614562988281,34.33176040649414,-86.31155395507812,-0.32623499631881714,-0.03038400039076805,0.020844999700784683,0.03423599898815155,0.018950000405311584
30.806299209594727,54.4268798828125,-85.450927734375,-0.12427999824285507,-0.02468699961900711,0.020844999700784683,0.039942000061273575,0.011370000429451466
8.65811538696289,71.19355773925781,-79.84130096435547,0.062139999121427536,-0.01899000070989132,0.005685000214725733,0.04755000025033951,0.015159999951720238
-13.127154350280762,82.14321899414062,-68.27986145019531,1.1961950063705444,-0.007596000097692013,-0.007579999975860119,0.04755000025033951,0.015159999951720238
-34.425079345703125,86.62262725830078,-51.6894645690918,0.9631699919700623,-0.007596000097692013,-0.018950000405311584,0.05705999955534935,0.015159999951720238
-54.4476203918457,85.91753387451172,-31.179582595825195,0.6835399866104126,0.0,-0.018950000405311584,0.05325600132346153,0.015159999951720238
-71.28687286376953,80.35974884033203,-9.1661958694458,0.1864199936389923,0.015192000195384026,-0.028425000607967377,0.04755000025033951,0.017054999247193336
-82.30912017822266,68.65315246582031,13.106415748596191,-0.5903300046920776,0.028485000133514404,-0.028425000607967377,0.039942000061273575,0.015159999951720238
-86.44635009765625,51.60651397705078,34.18659210205078,-0.7767500281333923,0.041777998208999634,-0.03410999849438667,0.038040000945329666,0.018950000405311584
-85.57535552978516,31.086261749267578,54.07433319091797,-0.6369349956512451,0.041777998208999634,-0.020844999700784683,0.02472599968314171,0.017054999247193336
-79.70650482177734,9.19730281829834,70.33292388916016,-0.3728399872779846,0.047474998980760574,-0.020844999700784683,0.009510000236332417,0.009475000202655792
-68.46650695800781,-12.691656112670898,81.46923065185547,0.3728399872779846,0.047474998980760574,-0.009475000202655792,-0.0038040000945329666,0.009475000202655792
-51.5235595703125,-34.33176040649414,86.24934387207031,0.43498000502586365,0.05127299949526787,-0.007579999975860119,-0.015216000378131866,0.007579999975860119
-30.484859466552734,-54.53057098388672,85.25392150878906,0.32623499631881714,0.04367699846625328,0.005685000214725733,-0.015216000378131866,0.009475000202655792
-8.47147274017334,-71.21429443359375,79.7998275756836,0.23302499949932098,0.041777998208999634,0.018950000405311584,-0.019020000472664833,0.011370000429451466
13.376009941101074,-82.25727844238281,68.2176513671875,-1.0253100395202637,0.03798000141978264,0.03410999849438667,-0.030432000756263733,0.009475000202655792
34.58061599731445,-86.83000946044922,51.741310119628906,-0.7456799745559692,0.026585999876260757,0.041689999401569366,-0.03233399987220764,0.009475000202655792
54.58241653442383,-85.99011993408203,31.086261749267578,-0.5747950077056885,0.020888999104499817,0.043584998697042465,-0.03233399987220764,0.011370000429451466
71.27650451660156,-80.27679443359375,9.155826568603516,0.17088499665260315,0.007596000097692013,0.05305999889969826,-0.0228240005671978,0.009475000202655792
82.1846923828125,-68.67388916015625,-13.013094902038574,0.621399998664856,-0.0037980000488460064,0.054954998195171356,-0.015216000378131866,0.015159999951720238
86.29081726074219,-51.73094177246094,-34.435447692871094,0.062139999121427536,-0.011393999680876732,0.06442999839782715,-0.0114120002835989,0.017054999247193336
35.17164611816406,-46.13167953491211,-67.65772247314453,-135.99339294433594,1.1754809617996216,0.02463500015437603,-0.019020000472664833,1.1502649784088135
30.31895637512207,-24.387887954711914,-83.61561584472656,-135.4341278076172,1.9958490133285522,0.04927000030875206,0.026628000661730766,2.0447049140930176
40.30430221557617,12.619072914123535,-84.1859130859375,-54.10840606689453,2.8067219257354736,0.05305999889969826,0.03423599898815155,2.8803999423980713
20.437299728393555,29.97677993774414,-87.57657623291016,-64.48578643798828,3.3878159523010254,0.05874500051140785,0.07798200100660324,3.501960039138794
