220kV母线电压_A相_1,220kV母线电压_B相_2,220kV母线电压_C相_3,220kV母线电压_3U0_4,220kV云弥线_A相_17,220kV云弥线_B相_18,220kV云弥线_C相_19,220kV云弥线_3I0_20
-50.9308967590332,83.53607177734375,-32.866004943847656,-0.8237108588218689,0.673822283744812,-0.9639410376548767,0.33342114090919495,0.027766825631260872
-66.14225769042969,78.51336669921875,-11.86397647857666,0.450709730386734,0.8516364693641663,-0.8619857430458069,0.0926169827580452,0.055533651262521744
-78.40746307373047,68.16825103759766,10.284178733825684,-0.3419177234172821,0.9452229142189026,-0.6951497793197632,-0.1852339655160904,0.055533651262521744
-84.393798828125,52.604061126708984,31.34815788269043,-1.103461742401123,1.0481679439544678,-0.5097765326499939,-0.4352998435497284,0.055533651262521744
-83.24459075927734,33.164329528808594,50.894290924072266,1.3055040836334229,1.0107333660125732,-0.25952258706092834,-0.6668422818183899,0.027766825631260872
-78.53282928466797,11.957347869873047,66.37218475341797,-0.29529258608818054,0.8797124028205872,0.02780599147081375,-0.7872443795204163,0.06478925794363022
-67.89741516113281,-10.603490829467773,79.12415313720703,1.5541714429855347,0.7486913800239563,0.2780598998069763,-0.8983847498893738,0.04627804085612297
-52.205474853515625,-30.911344528198242,84.57601165771484,3.0306344032287598,0.5615185499191284,0.5468511581420898,-0.9632166624069214,0.037022434175014496
-32.836063385009766,-51.11585235595703,83.5744400024414,-0.15541714429855347,0.29011791944503784,0.7414931058883667,-0.9354315400123596,0.055533651262521744
-11.795073509216309,-66.22531127929688,78.88667297363281,1.725130319595337,0.037434570491313934,0.9083290696144104,-0.842814564704895,0.055533651262521744
10.405573844909668,-78.5960464477539,68.35468292236328,0.3574594259262085,-0.24332471191883087,1.0102843046188354,-0.6761040091514587,0.055533651262521744
31.091354370117188,-84.25951385498047,52.9697151184082,-0.41962629556655884,-0.4679321348667145,1.075165033340454,-0.4816083312034607,0.055533651262521744
50.72195053100586,-83.19503021240234,32.9486083984375,0.8237108588218689,-0.7112568616867065,1.0658963918685913,-0.22228077054023743,0.04627804085612297
66.62283325195312,-78.45136260986328,11.740071296691895,-0.13987542688846588,-0.8422778248786926,0.9361350536346436,0.009261698462069035,0.04627804085612297
78.6268539428711,-67.92021179199219,-10.325480461120605,0.6838354468345642,-0.9732988476753235,0.797105073928833,0.2963743507862091,0.06478925794363022
84.36245727539062,-52.449039459228516,-31.203601837158203,1.119003415107727,-1.0388092994689941,0.6024631261825562,0.5464401841163635,0.07404486835002899
83.23414611816406,-32.99897003173828,-50.74973678588867,-1.1811703443527222,-1.0107333660125732,0.333671897649765,0.7501975893974304,0.06478925794363022
78.5014877319336,-11.678308486938477,-66.26893615722656,0.4662514328956604,-0.8797124028205872,0.08341797441244125,0.8798613548278809,0.04627804085612297
67.80339050292969,10.799851417541504,-78.8556900024414,-1.3055040836334229,-0.7486913800239563,-0.19464193284511566,1.0002634525299072,0.06478925794363022
52.22636795043945,31.37640953063965,-84.50373077392578,-2.5177576541900635,-0.5521599054336548,-0.42635852098464966,1.074357032775879,0.04627804085612297
32.898746490478516,50.98149871826172,-83.40923309326172,-0.04662514477968216,-0.29011791944503784,-0.6395378112792969,1.0280485153198242,0.037022434175014496
11.669705390930176,66.61803436279297,-78.70081329345703,-1.429837703704834,-0.0561518557369709,-0.8063737750053406,0.9354315400123596,0.027766825631260872
-10.457810401916504,78.77173614501953,-68.04491424560547,0.04662514477968216,0.21524877846240997,-0.9361350536346436,0.7687209844589233,0.037022434175014496
-31.1749324798584,84.23883819580078,-52.680599212646484,0.41962629556655884,0.4960080683231354,-0.9824783802032471,0.5834870338439941,0.027766825631260872
-51.11894989013672,83.55674743652344,-32.63884353637695,-0.7926274538040161,0.6551049947738647,-0.9546723961830139,0.35194453597068787,0.037022434175014496
-66.3825454711914,78.43069458007812,-11.523236274719238,0.3419177234172821,0.8235605359077454,-0.8619857430458069,0.0926169827580452,0.055533651262521744
-78.40746307373047,68.06490325927734,10.5216646194458,-0.21758399903774261,0.9732988476753235,-0.6951497793197632,-0.1852339655160904,0.037022434175014496
-84.56095886230469,52.428367614746094,31.595970153808594,-1.1811703443527222,1.0294506549835205,-0.5005078315734863,-0.44456154108047485,0.037022434175014496
-83.11922454833984,32.89562225341797,51.05950164794922,1.3676708936691284,1.0107333660125732,-0.24098525941371918,-0.6390572190284729,0.037022434175014496
-78.53282928466797,11.69897747039795,66.54772186279297,-0.38854286074638367,0.9171469807624817,0.02780599147081375,-0.7872443795204163,0.04627804085612297
-67.7615966796875,-10.882529258728027,79.22740936279297,1.507546305656433,0.7299741506576538,0.2873285710811615,-0.9076464772224426,0.07404486835002899
-51.986080169677734,-31.200719833374023,84.60698699951172,3.015092611312866,0.5428012609481812,0.5468511581420898,-0.9632166624069214,0.027766825631260872
-32.616668701171875,-51.2708740234375,83.47118377685547,-0.24866743385791779,0.3088352084159851,0.7692990899085999,-0.9261698722839355,0.055533651262521744
-11.523442268371582,-66.49401092529297,78.83504486083984,1.709588646888733,0.037434570491313934,0.8990603685379028,-0.8335528373718262,0.055533651262521744
10.65631103515625,-78.64772033691406,68.19979858398438,0.38854286074638367,-0.24332471191883087,1.0102843046188354,-0.6853656768798828,0.037022434175014496
31.352537155151367,-84.28018188476562,52.773529052734375,-0.41962629556655884,-0.48664942383766174,1.084433674812317,-0.49087002873420715,0.06478925794363022
50.95178985595703,-83.09168243408203,32.69047164916992,0.916961133480072,-0.7018982172012329,1.0473589897155762,-0.24080416560173035,0.06478925794363022
