17-110kV_II母电压Ua_17,18-110kV_II母电压Ub_18,19-110kV_II母电压Uc_19,20-110kV_II母电压3Uo_20,29-156_景大线电流Ia_29,30-156_景大线电流Ib_30,31-156_景大线电流Ic_31,32-156_景大线电流3Io_32
15.228133201599121,65.7295913696289,-79.93215942382812,-0.031077822670340538,-0.10359273850917816,0.06906182318925858,0.06906182318925858,-0.017265455797314644
1.9889806509017944,73.71659088134766,-74.43138122558594,0.2797003984451294,-0.10359273850917816,0.05179636925458908,0.06906182318925858,0.0
-11.03262710571289,79.52814483642578,-67.0037841796875,0.4661673307418823,-0.06906182318925858,0.03453091159462929,0.05179636925458908,0.0
-23.99207878112793,83.0399398803711,-57.525047302246094,0.4661673307418823,-0.10359273850917816,0.03453091159462929,0.08632728457450867,0.0
-36.82722091674805,84.90460968017578,-46.5545768737793,0.3418560326099396,-0.10359273850917816,0.0,0.10359273850917816,-0.017265455797314644
-48.761104583740234,85.05999755859375,-35.055782318115234,0.21754474937915802,-0.08632728457450867,-0.03453091159462929,0.08632728457450867,0.0
-58.9857063293457,82.85347747802734,-22.811120986938477,0.09323346614837646,-0.06906182318925858,-0.03453091159462929,0.08632728457450867,0.017265455797314644
-67.87396240234375,78.47150421142578,-9.851669311523438,-0.12431129068136215,-0.05179636925458908,-0.05179636925458908,0.10359273850917816,0.0
-75.2704849243164,72.50456237792969,3.232093572616577,-0.3418560326099396,-0.03453091159462929,-0.05179636925458908,0.10359273850917816,0.0
-80.52263641357422,64.42432403564453,16.191545486450195,-0.5283229947090149,-0.017265455797314644,-0.06906182318925858,0.10359273850917816,0.0
-83.63041687011719,54.261878967285156,29.27530860900879,-0.5904785990715027,0.0,-0.08632728457450867,0.10359273850917816,0.0
-85.15322875976562,43.042781829833984,41.95505905151367,-0.4661673307418823,0.017265455797314644,-0.08632728457450867,0.10359273850917816,0.0
-84.68706512451172,31.388599395751953,53.14307403564453,-0.37293386459350586,0.03453091159462929,-0.06906182318925858,0.06906182318925858,0.017265455797314644
-81.7657470703125,18.739927291870117,62.71504592895508,-0.40401169657707214,0.03453091159462929,-0.08632728457450867,0.05179636925458908,0.0
-76.91761016845703,5.500774383544922,71.1060562133789,-0.21754474937915802,0.05179636925458908,-0.12085819989442825,0.05179636925458908,0.0
-70.39126586914062,-7.551910877227783,77.6945571899414,0.18646693229675293,0.06906182318925858,-0.08632728457450867,0.017265455797314644,0.017265455797314644
-61.75163269042969,-20.355974197387695,81.89006042480469,0.3418560326099396,0.06906182318925858,-0.08632728457450867,0.017265455797314644,0.017265455797314644
-51.30948257446289,-33.37758255004883,84.1898193359375,0.2797003984451294,0.06906182318925858,-0.08632728457450867,0.0,0.017265455797314644
-39.935001373291016,-45.77763366699219,85.02892303466797,0.15538911521434784,0.06906182318925858,-0.06906182318925858,0.0,0.0
-28.001117706298828,-56.406246185302734,83.5682601928711,0.12431129068136215,0.08632728457450867,-0.06906182318925858,-0.017265455797314644,0.017265455797314644
-15.228133201599121,-65.63636016845703,79.83892822265625,0.031077822670340538,0.10359273850917816,-0.05179636925458908,-0.03453091159462929,0.017265455797314644
-2.0511362552642822,-73.6544418334961,74.36922454833984,-0.2797003984451294,0.08632728457450867,-0.03453091159462929,-0.03453091159462929,0.017265455797314644
10.970471382141113,-79.4970703125,67.0037841796875,-0.4661673307418823,0.08632728457450867,-0.03453091159462929,-0.06906182318925858,0.017265455797314644
23.929922103881836,-83.00886535644531,57.49397277832031,-0.4661673307418823,0.08632728457450867,0.0,-0.06906182318925858,0.017265455797314644
36.796142578125,-84.90460968017578,46.5545768737793,-0.3107782304286957,0.08632728457450867,0.017265455797314644,-0.06906182318925858,0.0
48.73002624511719,-85.09107971191406,34.993629455566406,-0.18646693229675293,0.06906182318925858,0.03453091159462929,-0.10359273850917816,0.017265455797314644
58.954627990722656,-82.82239532470703,22.811120986938477,-0.062155645340681076,0.05179636925458908,0.05179636925458908,-0.06906182318925858,0.017265455797314644
67.84288787841797,-78.47150421142578,9.882747650146484,0.09323346614837646,0.03453091159462929,0.06906182318925858,-0.10359273850917816,0.017265455797314644
75.2704849243164,-72.50456237792969,-3.263171434402466,0.3418560326099396,0.03453091159462929,0.06906182318925858,-0.06906182318925858,0.017265455797314644
80.52263641357422,-64.45540618896484,-16.222623825073242,0.5283229947090149,0.017265455797314644,0.08632728457450867,-0.06906182318925858,0.017265455797314644
83.5993423461914,-54.324031829833984,-29.213151931762695,0.5904785990715027,0.0,0.10359273850917816,-0.06906182318925858,0.0
85.05999755859375,-43.10493850708008,-41.89290237426758,0.4661673307418823,-0.017265455797314644,0.10359273850917816,-0.06906182318925858,0.017265455797314644
84.74922180175781,-31.450756072998047,-53.0809211730957,0.40401169657707214,-0.017265455797314644,0.10359273850917816,-0.06906182318925858,0.0
81.8279037475586,-18.864238739013672,-62.652889251708984,0.43508949875831604,-0.03453091159462929,0.10359273850917816,-0.05179636925458908,0.017265455797314644
76.97976684570312,-5.625085830688477,-71.04389953613281,0.2486225813627243,-0.06906182318925858,0.12085819989442825,-0.03453091159462929,0.017265455797314644
70.42234802246094,7.39652156829834,-77.6634750366211,-0.15538911521434784,-0.06906182318925858,0.10359273850917816,-0.03453091159462929,0.0
61.782711029052734,20.32489585876465,-81.89006042480469,-0.40401169657707214,-0.08632728457450867,0.10359273850917816,-0.017265455797314644,0.0
51.30948257446289,33.315425872802734,-84.2519760131836,-0.3418560326099396,-0.08632728457450867,0.12085819989442825,0.0,0.017265455797314644
