漫昆II回电压_A相_17,漫昆II回电压_B相_18,漫昆II回电压_C相_19,漫昆II回电压_3U0_20,漫昆II回电流_A相_49,漫昆II回电流_B相_50,漫昆II回电流_C相_51,漫昆II回电流_3I0_52
79.7055435180664,-8.755157470703125,-70.57511901855469,0.4038330316543579,-0.019070908427238464,0.034060802310705185,0.0,0.005680950824171305
67.31385803222656,13.620285987854004,-81.0426025390625,-0.2485126405954361,-0.04767727106809616,0.05676800385117531,0.007574298419058323,0.0037873005494475365
50.16176986694336,35.767513275146484,-86.01180267333984,-0.20191651582717896,-0.045770179480314255,0.06244480609893799,0.0,0.007574601098895073
30.013547897338867,55.497737884521484,-85.6694564819336,-0.18638448417186737,-0.02669927105307579,0.04352213814854622,0.0037871492095291615,0.009468251839280128
8.4559907913208,70.90225219726562,-79.44498443603516,-0.13978835940361023,-0.03242054209113121,0.022707201540470123,0.03029719367623329,0.005680950824171305
-14.030680656433105,81.63872528076172,-67.44213104248047,0.3417048752307892,-0.04958436265587807,0.017030401155352592,0.053020089864730835,0.0018936502747237682
-36.07889175415039,86.43124389648438,-50.33521270751953,0.29510876536369324,-0.04958436265587807,0.01892266795039177,0.05112651363015175,0.0018936502747237682
-55.98701095581055,86.04742431640625,-30.126434326171875,0.18638448417186737,-0.028606362640857697,0.005676800385117531,0.03219076991081238,0.009468251839280128
-71.08251953125,79.58479309082031,-8.91136646270752,-0.2485126405954361,-0.015256726182997227,-0.015138134360313416,0.03597791865468025,0.0170428529381752
-81.73080444335938,67.23006439208984,13.756078720092773,-0.823198139667511,-0.0019070907728746533,-0.04352213814854622,0.047339364886283875,0.013255552388727665
-86.42857360839844,50.155433654785156,35.572845458984375,-0.667877733707428,-0.005721272435039282,-0.04162986949086189,0.05680723860859871,0.007574601098895073
-85.89616394042969,29.844297409057617,55.366661071777344,-0.667877733707428,0.0019070907728746533,-0.0245994683355093,0.03597791865468025,0.005680950824171305
-79.64290618896484,8.651423454284668,70.57511901855469,-0.310640811920166,0.022885089740157127,-0.020814934745430946,0.017042171210050583,0.0037873005494475365
-67.24078369140625,-13.744767189025879,80.8973617553711,0.2485126405954361,0.04767727106809616,-0.04352213814854622,0.0056807235814630985,0.009468251839280128
-50.04693603515625,-35.81938171386719,85.8043212890625,0.29510876536369324,0.04767727106809616,-0.052983470261096954,0.01893574558198452,0.005680950824171305
-29.867393493652344,-55.7259521484375,85.47235107421875,0.29510876536369324,0.030513452365994453,-0.03216853737831116,0.011361447162926197,0.007574601098895073
-8.299398422241211,-71.1200942993164,79.20638275146484,0.21744856238365173,0.034327633678913116,-0.007569067180156708,-0.011361447162926197,0.009468251839280128
14.197712898254395,-81.8773193359375,67.2865219116211,-0.20191651582717896,0.04767727106809616,0.0,-0.039765067398548126,0.01136190164834261
36.172847747802734,-86.63871002197266,50.221099853515625,-0.1708524376153946,0.04958436265587807,-0.005676800385117531,-0.03597791865468025,0.01136190164834261
56.101844787597656,-86.19265747070312,30.03306770324707,-0.031064080074429512,0.03623472526669502,0.001892266795039177,-0.01893574558198452,0.005680950824171305
71.17647552490234,-79.73001861572266,8.84912109375,0.29510876536369324,0.015256726182997227,0.028384001925587654,-0.017042171210050583,-0.0037873005494475365
81.80387878417969,-67.1781997680664,-13.839071273803711,0.9163903594017029,0.0019070907728746533,0.05676800385117531,-0.03787149116396904,0.0018936502747237682
86.45989227294922,-50.06207275390625,-35.59359359741211,0.8853262662887573,0.009535454213619232,0.05109120532870293,-0.03787149116396904,0.0037873005494475365
85.87528228759766,-29.73019027709961,-55.46002960205078,0.7921340465545654,0.0,0.034060802310705185,-0.01893574558198452,0.013255552388727665
79.58026885986328,-8.495821952819824,-70.6996078491211,0.43489712476730347,-0.02097799815237522,0.03595307096838951,0.0037871492095291615,0.005680950824171305
67.13639068603516,13.848501205444336,-81.09446716308594,-0.21744856238365173,-0.045770179480314255,0.058660272508859634,0.0037871492095291615,0.0037873005494475365
49.952980041503906,35.985355377197266,-86.07404327392578,-0.18638448417186737,-0.04958436265587807,0.06433707475662231,-0.0018935746047645807,0.007574601098895073
29.783878326416016,55.705204010009766,-85.61758422851562,-0.21744856238365173,-0.030513452365994453,0.04352213814854622,0.0037871492095291615,0.007574601098895073
8.226322174072266,71.016357421875,-79.35161590576172,-0.13978835940361023,-0.03242054209113121,0.0245994683355093,0.03029719367623329,0.005680950824171305
-14.281229019165039,81.7735824584961,-67.2761459350586,0.4038330316543579,-0.04767727106809616,0.01892266795039177,0.05112651363015175,-0.0018936502747237682
-36.287681579589844,86.46236419677734,-50.10698318481445,0.310640811920166,-0.04958436265587807,0.015138134360313416,0.04923294112086296,0.0018936502747237682
-56.16448211669922,86.03705596923828,-29.908578872680664,0.13978835940361023,-0.030513452365994453,0.007569067180156708,0.03029719367623329,0.01136190164834261
-71.21823120117188,79.4914321899414,-8.683135986328125,-0.21744856238365173,-0.015256726182997227,-0.017030401155352592,0.034084342420101166,0.0170428529381752
-81.82476043701172,67.0640869140625,13.9739351272583,-0.823198139667511,0.0,-0.04162986949086189,0.05112651363015175,0.01136190164834261
-86.42857360839844,49.94796371459961,35.769954681396484,-0.6523456573486328,-0.005721272435039282,-0.039737604558467865,0.05680723860859871,0.007574601098895073
-85.87528228759766,29.64720344543457,55.55339431762695,-0.667877733707428,0.0019070907728746533,-0.01892266795039177,0.034084342420101166,0.005680950824171305
-79.52806854248047,8.402461051940918,70.6788558959961,-0.2640446722507477,0.02097799815237522,-0.0245994683355093,0.017042171210050583,0.005680950824171305
