220kV II段电压_25,220kV II段电压_26,220kV II段电压_27,220kV II段电压_28,220kV木东线_5,220kV木东线_6,220kV木东线_7,220kV木东线_8
-66.02763366699219,80.49075317382812,-14.091987609863281,0.4471699893474579,-0.43045300245285034,0.29959601163864136,0.15217900276184082,0.0
-69.62417602539062,78.8215560913086,-8.91512393951416,0.16474999487400055,-0.43045300245285034,0.2474920004606247,0.17391900718212128,-0.013163999654352665
-72.8567886352539,76.68155670166016,-3.6954760551452637,-0.054910000413656235,-0.4217570126056671,0.23012399673461914,0.2217469960451126,-0.008775999769568443
-75.61841583251953,74.34895324707031,1.3102519512176514,-0.14904999732971191,-0.4087130129337311,0.1693360060453415,0.22609500586986542,0.008775999769568443
-78.16596984863281,71.67395782470703,6.294588088989258,-0.43147000670433044,-0.42610499262809753,0.12157399952411652,0.26522698998451233,0.0
-80.24254608154297,68.59235382080078,11.321707725524902,-0.6511300206184387,-0.43480101227760315,0.1302579939365387,0.28261899948120117,0.004387999884784222
-82.0194091796875,65.1683578491211,16.498571395874023,-0.6511300206184387,-0.43480101227760315,0.07815399765968323,0.2913149893283844,0.004387999884784222
-83.34671020507812,61.466156005859375,21.5684757232666,-0.5883700251579285,-0.4174090027809143,0.086837999522686,0.3391430079936981,0.021940000355243683
-84.50273895263672,57.357357025146484,26.8523006439209,-0.46285000443458557,-0.38697299361228943,0.05644400045275688,0.3565349876880646,-0.008775999769568443
-85.10216522216797,52.94895553588867,32.00777053833008,-0.2745699882507324,-0.4130609929561615,0.030392000451683998,0.3608829975128174,0.004387999884784222
-85.44469451904297,48.476356506347656,36.90653991699219,-0.054910000413656235,-0.39132100343704224,-0.004344000015407801,0.35218700766563416,-0.004387999884784222
-85.70158386230469,43.8753547668457,41.826698303222656,0.1019899994134903,-0.36523300409317017,-0.01737000048160553,0.38697099685668945,-0.02632799930870533
-85.42328643798828,38.86775588989258,46.5543327331543,0.13336999714374542,-0.36523300409317017,-0.043421998620033264,0.41740700602531433,0.030716000124812126
-84.84526824951172,33.8387565612793,50.98247528076172,0.13336999714374542,-0.32175299525260925,-0.06513199955224991,0.38697099685668945,-0.008775999769568443
-84.07457733154297,28.53155517578125,55.410621643066406,-0.054910000413656235,-0.28696900606155396,-0.08250000327825546,0.4043630063533783,0.008775999769568443
-82.98277282714844,23.095956802368164,59.710411071777344,-0.14904999732971191,-0.2956649959087372,-0.10420999675989151,0.41740700602531433,-0.004387999884784222
-81.63406372070312,17.745956420898438,63.62514877319336,-0.18042999505996704,-0.25218498706817627,-0.11723600327968597,0.4043630063533783,0.004387999884784222
-79.96424102783203,12.288955688476562,67.26178741455078,-0.4000900089740753,-0.25218498706817627,-0.1519719958305359,0.4043630063533783,-0.008775999769568443
-78.23019409179688,7.0245561599731445,70.8342514038086,-0.4000900089740753,-0.24348899722099304,-0.17802399396896362,0.4347989857196808,-0.008775999769568443
-75.93953704833984,1.7387559413909912,73.78634643554688,-0.21180999279022217,-0.20000900328159332,-0.2257860004901886,0.38697099685668945,0.03510399907827377
-73.54183959960938,-3.3330440521240234,76.61009216308594,-0.21180999279022217,-0.1913129985332489,-0.2257860004901886,0.39131900668144226,0.004387999884784222
-70.88725280761719,-8.362044334411621,79.13434600830078,-0.054910000413656235,-0.12174499779939651,-0.2996000051498413,0.4000149965286255,-0.004387999884784222
-67.56900787353516,-13.412444114685059,81.016845703125,0.227510005235672,-0.11304900050163269,-0.3039419949054718,0.38262298703193665,-0.004387999884784222
-63.97246551513672,-18.462844848632812,82.64263916015625,0.5413100123405457,-0.0782649964094162,-0.3126260042190552,0.4043630063533783,0.0
-60.11902618408203,-23.44904327392578,83.9903335571289,0.7923499941825867,-0.03913300111889839,-0.3386780023574829,0.41740700602531433,0.0
-55.66616439819336,-28.563644409179688,84.82462310791016,1.0747699737548828,-0.008697000332176685,-0.3343360126018524,0.4043630063533783,0.0
-51.06344223022461,-33.549842834472656,85.35942077636719,1.2316700220108032,-9.999999974752427e-07,-0.36038801074028015,0.3565349876880646,0.030716000124812126
-46.39649963378906,-38.514644622802734,85.63751220703125,1.2316700220108032,0.008694999851286411,-0.32565200328826904,0.35218700766563416,0.03510399907827377
-41.53688430786133,-43.30824279785156,85.63751220703125,1.2944300174713135,0.026086999103426933,-0.39512398838996887,0.3608829975128174,0.0
-36.506004333496094,-47.95204544067383,85.10271453857422,1.0747699737548828,0.05217500030994415,-0.373414009809494,0.3217509984970093,-0.008775999769568443
-31.410898208618164,-52.5102424621582,84.35399627685547,0.6040700078010559,0.08695899695158005,-0.4342019855976105,0.30001100897789,0.021940000355243683
-26.272979736328125,-57.00424575805664,83.43414306640625,0.227510005235672,0.13043899834156036,-0.4124920070171356,0.2956629991531372,0.0
-21.049427032470703,-61.11304473876953,82.21479797363281,-0.18042999505996704,0.13478699326515198,-0.44288599491119385,0.2521829903125763,-0.008775999769568443
-15.911506652832031,-65.0720443725586,80.8243179321289,-0.43147000670433044,0.15652699768543243,-0.44288599491119385,0.2521829903125763,0.004387999884784222
-10.794995307922363,-68.79564666748047,79.30548095703125,-0.5883700251579285,0.19565899670124054,-0.39512398838996887,0.217399001121521,-0.004387999884784222
-5.550034999847412,-72.09124755859375,77.46577453613281,-0.46285000443458557,0.19565899670124054,-0.36038801074028015,0.19565899670124054,0.021940000355243683
-0.32648301124572754,-74.80904388427734,75.11265563964844,-0.18042999505996704,0.26957499980926514,-0.44288599491119385,0.17391900718212128,0.017551999539136887
