220kVⅡ段母线电压_17,220kVⅡ段母线电压_18,220kVⅡ段母线电压_19,220kVⅡ段母线电压_20,和谢Ⅰ回224断路器_13,和谢Ⅰ回224断路器_14,和谢Ⅰ回224断路器_15,和谢Ⅰ回224断路器_16
-51.200801849365234,84.04523468017578,-33.0114860534668,0.3923889994621277,0.39780598878860474,-1.0141090154647827,-0.05448000133037567,-0.16326899826526642
-55.3931999206543,82.6623306274414,-27.505855560302734,0.686680018901825,0.4158880114555359,-1.0141090154647827,-0.05448000133037567,-0.14512799680233002
-59.674800872802734,81.01175689697266,-22.379154205322266,1.8638440370559692,1.8443659543991089,-0.9778910279273987,-0.3087199926376343,-1.3242930173873901
-38.35599899291992,83.01921081542969,-16.048795700073242,-76.51565551757812,-1.6816240549087524,-1.050326943397522,-0.19976000487804413,2.1406381130218506
-33.360801696777344,83.73297119140625,-9.161185264587402,-80.24334716796875,-3.254757881164551,-1.231416940689087,-0.45399999618530273,4.099865913391113
-15.119400024414062,85.51736450195312,-0.49037501215934753,-122.26155853271484,-4.339677810668945,-1.0865449905395508,-0.526639997959137,5.115762233734131
-15.074799537658691,81.72551727294922,0.2229049950838089,-116.37574005126953,-5.786238193511963,-1.1951990127563477,-0.5992799997329712,6.857297897338867
-7.782700061798096,78.31285095214844,8.31417465209961,-138.18597412109375,-6.979650020599365,-1.0865449905395508,-0.6900799870491028,8.000181198120117
-10.391799926757812,72.84812927246094,3.878464937210083,-116.96432495117188,-8.245389938354492,-1.2857439517974854,-0.9806399941444397,9.723575592041016
-19.066499710083008,70.08230590820312,16.271705627441406,-117.68370056152344,-10.415229797363281,-1.2676349878311157,-0.9624800086021423,11.882354736328125
-15.342399597167969,64.26070404052734,18.411544799804688,-117.87989044189453,-12.078774452209473,-1.5935970544815063,-1.5072799921035767,14.45837688446045
-17.32710075378418,57.9706916809082,23.828014373779297,-112.84424591064453,-13.615743637084961,-1.5211609601974487,-1.5072799921035767,15.855234146118164
-22.299999237060547,58.305267333984375,34.79469680786133,-124.51779174804688,-15.044221878051758,-1.6660330295562744,-1.7978399991989136,17.705615997314453
-21.452600479125977,49.807064056396484,32.69943618774414,-107.25271606445312,-16.707765579223633,-1.7384690046310425,-1.9249600172042847,19.664844512939453
-20.292999267578125,46.08212661743164,38.4725456237793,-112.94234466552734,-17.937341690063477,-1.7746870517730713,-2.052079916000366,21.007278442382812
-23.102800369262695,42.75868225097656,44.646873474121094,-112.68075561523438,-19.492393493652344,-2.010103940963745,-2.378959894180298,23.11163330078125
-21.140399932861328,39.390628814697266,49.39464569091797,-118.82816314697266,-21.264429092407227,-2.0282130241394043,-2.5605599880218506,25.07086181640625
-17.862300872802734,36.178707122802734,55.390655517578125,-129.19374084472656,-23.036466598510742,-2.1730849742889404,-2.778480052947998,27.21150016784668
-18.910400390625,29.576427459716797,58.399803161621094,-120.65930938720703,-24.266042709350586,-2.245521068572998,-2.9964001178741455,28.771625518798828
-16.52429962158203,27.47975730895996,62.434295654296875,-128.3762664794922,-25.893421173095703,-2.3179569244384766,-3.1416800022125244,30.585725784301758
-16.881099700927734,20.297548294067383,64.52955627441406,-118.89356231689453,-27.050670623779297,-2.372283935546875,-3.341439962387085,32.00072479248047
-13.759099960327148,11.977783203125,65.26512145996094,-111.3073959350586,-27.91860580444336,-2.4266109466552734,-3.504879951477051,33.05290222167969
-19.021900177001953,6.000042915344238,68.38572692871094,-97.05062866210938,-29.36516571044922,-2.517155885696411,-3.6683199405670166,34.84886169433594
-17.795400619506836,-0.3568820059299469,71.5509033203125,-93.64993286132812,-30.811725616455078,-2.5895919799804688,-3.904400110244751,36.535972595214844
-17.32710075378418,-5.754692077636719,72.13044738769531,-85.96566772460938,-31.96897315979004,-2.643918991088867,-4.085999965667725,37.91468811035156
-17.773099899291992,-10.304911613464355,74.56005859375,-81.64939880371094,-32.94540023803711,-2.6801369190216064,-4.194960117340088,39.05757141113281
-17.438600540161133,-14.810522079467773,77.81439208984375,-79.88365936279297,-33.795257568359375,-2.6801369190216064,-4.376560211181641,40.127891540527344
-14.539600372314453,-18.557762145996094,77.88126373291016,-78.70648956298828,-34.50045394897461,-2.716355085372925,-4.503680229187012,40.944236755371094
-16.457399368286133,-21.747377395629883,81.35850524902344,-75.79627990722656,-35.241817474365234,-2.716355085372925,-4.612639904022217,41.7968635559082
