1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,25-220kV保紫242线路电流Ia_21,26-220kV保紫242线路电流Ib_22,27-220kV保紫242线路电流Ic_23,28-220kV保紫242线路电流3Io_24
72.3705825805664,5.763674259185791,-77.83783721923828,0.4899291396141052,0.03799739107489586,-0.02244790829718113,-0.01899527758359909,0.0
69.53236389160156,10.873976707458496,-80.59803771972656,-0.3732793629169464,0.039724547415971756,-0.0172676220536232,-0.020722122862935066,-0.0017284126952290535
65.79991912841797,16.5443115234375,-82.5573959350586,-0.4510458707809448,0.03627023845911026,-0.015540859661996365,-0.02417580969631672,0.0
61.55426025390625,21.654613494873047,-83.63037872314453,-0.7698886394500732,0.03627023845911026,-0.01381409727036953,-0.022448966279625893,-0.0017284126952290535
57.99288558959961,26.51601219177246,-84.68781280517578,-0.3421727418899536,0.03799739107489586,-0.01381409727036953,-0.027629496529698372,0.0017284126952290535
54.52482223510742,31.45519256591797,-85.5975112915039,0.5988022685050964,0.03454308584332466,-0.006907048635184765,-0.0293563399463892,-0.0017284126952290535
49.54822540283203,36.85329055786133,-86.59274291992188,-0.3888326585292816,0.03627023845911026,-0.005180286709219217,-0.031083183363080025,0.0
44.3305778503418,42.24361038208008,-86.89598083496094,-0.567695677280426,0.03454308584332466,-0.0017267621587961912,-0.03453686833381653,-0.0017284126952290535
39.68834686279297,46.49052810668945,-86.18843078613281,-0.0388832651078701,0.03454308584332466,-0.0017267621587961912,-0.03453686833381653,0.0
35.04611587524414,50.760780334472656,-85.90074920654297,-0.2177462875843048,0.032815929502248764,0.0017267621587961912,-0.036263711750507355,-0.0017284126952290535
30.123952865600586,55.73884963989258,-85.97850036621094,-0.2255229353904724,0.032815929502248764,0.005180286709219217,-0.03799055516719818,0.0017284126952290535
24.61081886291504,60.273563385009766,-85.12322235107422,-0.4354925751686096,0.031088775023818016,0.0086338110268116,-0.039717402309179306,0.0
19.04325294494629,64.17823791503906,-83.35824584960938,-0.2566295564174652,0.029361620545387268,0.006907048635184765,-0.039717402309179306,0.0
14.066657066345215,67.3906478881836,-81.32113647460938,0.1944163292646408,0.029361620545387268,0.01381409727036953,-0.039717402309179306,0.0
8.779025077819824,70.58750915527344,-79.5017318725586,-0.2644062042236328,0.02590731345117092,0.01381409727036953,-0.039717402309179306,-0.0017284126952290535
3.22701096534729,74.14215850830078,-77.47239685058594,-0.1944163292646408,0.02590731345117092,0.01899438351392746,-0.039717402309179306,0.0017284126952290535
-2.138380765914917,76.96566009521484,-74.69664001464844,0.2177462875843048,0.022453004494309425,0.01899438351392746,-0.03799055516719818,0.0
-7.908120632171631,79.2524642944336,-71.31441497802734,0.0466599203646183,0.01899869553744793,0.01899438351392746,-0.039717402309179306,0.0
-13.351271629333496,81.49259948730469,-68.0721435546875,0.1244264543056488,0.01899869553744793,0.02072114683687687,-0.03799055516719818,0.0
-18.30453872680664,83.1882553100586,-64.80654907226562,0.1322031021118164,0.015544387511909008,0.02244790829718113,-0.039717402309179306,-0.0017284126952290535
-23.250030517578125,84.58055877685547,-61.20661544799805,0.2177462875843048,0.015544387511909008,0.0259014330804348,-0.03799055516719818,-0.0017284126952290535
-28.15664291381836,85.76284790039062,-57.33455276489258,0.4665991961956024,0.010362925007939339,0.02762819454073906,-0.036263711750507355,0.0
