大宝II回线路电压_A相_1,大宝II回线路电压_B相_2,大宝II回线路电压_C相_3,大宝II回线路电压_3U0_4,大宝II回线路电流_A相_33,大宝II回线路电流_B相_34,大宝II回线路电流_C相_35,大宝II回线路电流_3I0_36
0.1463860720396042,75.48794555664062,-75.7659912109375,0.06230798736214638,0.021030018106102943,-0.24523304402828217,0.21852067112922668,0.0019029011018574238
-22.25068473815918,85.73207092285156,-63.59729766845703,0.12461597472429276,0.09750281274318695,-0.273748517036438,0.17291636765003204,0.0019029011018574238
-42.232383728027344,86.76272583007812,-44.434974670410156,0.45173290371894836,0.15485739707946777,-0.2813526391983032,0.11781115084886551,0.005708703305572271
-60.98025894165039,84.37867736816406,-23.485275268554688,0.0778849869966507,0.19691744446754456,-0.2547382116317749,0.053205035626888275,0.0038058022037148476
-75.31563568115234,75.57122802734375,-0.28057631850242615,0.12461597472429276,0.22177109122276306,-0.21291550993919373,-0.028502697125077248,0.009514505043625832
-85.65676879882812,63.19291687011719,21.9265193939209,-0.841157853603363,0.24662475287914276,-0.1596866399049759,-0.10260970890522003,0.01522320881485939
-86.19003295898438,44.193397521972656,42.231929779052734,0.5763489007949829,0.2447129338979721,-0.10455672442913055,-0.15391457080841064,0.017126109451055527
-84.6843490600586,22.955581665039062,60.64604949951172,-1.697892665863037,0.22750656306743622,-0.03992165997624397,-0.19571852684020996,0.011417406611144543
-75.76525115966797,0.09369625151157379,75.05935668945312,-0.9813507795333862,0.19691744446754456,0.03992165997624397,-0.23752246797084808,0.007611604407429695
-63.19696044921875,-21.924922943115234,85.94987487792969,1.6667386293411255,0.15676923096179962,0.11216085404157639,-0.2698255181312561,0.007611604407429695
-44.12494659423828,-42.39234924316406,86.76042938232422,0.5763489007949829,0.10897372663021088,0.1634887009859085,-0.2793264389038086,0.007611604407429695
-23.128999710083008,-61.29816818237305,84.43268585205078,0.28038594126701355,0.05353095382452011,0.20150932669639587,-0.2565242648124695,-0.0019029011018574238
-0.0313684456050396,-75.71697998046875,75.46463775634766,-0.20250095427036285,-0.0248536579310894,0.23952995240688324,-0.2128201425075531,-0.0019029011018574238
22.261140823364258,-86.11726379394531,63.22319412231445,-0.7944268584251404,-0.0994146317243576,0.26804542541503906,-0.16721582412719727,-0.0019029011018574238
42.8597526550293,-86.88765716552734,44.0816535949707,0.34269392490386963,-0.15485739707946777,0.26804542541503906,-0.11401078850030899,-0.0019029011018574238
61.063907623291016,-84.52442932128906,23.038433074951172,-0.5607718825340271,-0.1873583346605301,0.24143098294734955,-0.04940467327833176,-0.007611604407429695
74.96012878417969,-75.63369750976562,-0.09352543205022812,-1.1682747602462769,-0.2122119963169098,0.19580623507499695,0.028502697125077248,-0.01522320881485939
85.74041748046875,-63.015933990478516,-22.155136108398438,1.0748127698898315,-0.23897747695446014,0.15018148720264435,0.10450989007949829,-0.01522320881485939
87.14154052734375,-44.0684700012207,-42.42937088012695,1.1994287967681885,-0.2523602247238159,0.09695260226726532,0.15771491825580597,-0.011417406611144543
84.506591796875,-22.653671264648438,-61.14485168457031,1.3396217823028564,-0.2370656579732895,0.03231753408908844,0.20141905546188354,-0.007611604407429695
75.001953125,0.062464166432619095,-75.69325256347656,-0.8255808353424072,-0.19691744446754456,-0.047525785863399506,0.2413228303194046,-0.007611604407429695
62.97738265991211,22.320528030395508,-85.99143981933594,-0.841157853603363,-0.15485739707946777,-0.12166600674390793,0.2736258804798126,-0.007611604407429695
44.00992965698242,42.68384552001953,-87.05139923095703,-0.2492319494485855,-0.11470919102430344,-0.17299385368824005,0.2793264389038086,0.0
23.06626319885254,61.287757873535156,-84.69247436523438,-0.17134696245193481,-0.06117823347449303,-0.2091134488582611,0.260324627161026,0.005708703305572271
-0.5123512744903564,75.86273193359375,-75.56855010986328,-0.06230798736214638,0.017206378281116486,-0.24333201348781586,0.21852067112922668,0.007611604407429695
-22.8466854095459,85.89863586425781,-63.2647590637207,0.0,0.09367916733026505,-0.2756495475769043,0.16911600530147552,0.0
-42.94340133666992,86.74190521240234,-43.686771392822266,0.43615591526031494,0.15103375911712646,-0.2756495475769043,0.11591096967458725,0.009514505043625832
-61.063907623291016,84.23292541503906,-22.872163772583008,0.7165418267250061,0.18544651567935944,-0.2509361505508423,0.04940467327833176,0.007611604407429695
-75.12742614746094,75.15480041503906,0.31175145506858826,0.7632728219032288,0.20456472039222717,-0.20341035723686218,-0.022802157327532768,0.017126109451055527
-86.07501220703125,62.67237854003906,22.394145965576172,-1.5732766389846802,0.22941838204860687,-0.15588457882404327,-0.09690917283296585,0.022834813222289085
-87.14154052734375,43.68327331542969,42.782691955566406,-1.0125048160552979,0.24853657186031342,-0.10645775496959686,-0.1558147370815277,0.01332030724734068
-84.24518585205078,22.278886795043945,61.373470306396484,-0.9034658074378967,0.22750656306743622,-0.03611959517002106,-0.20521941781044006,0.009514505043625832
-74.92875671386719,-0.43724915385246277,75.5373764038086,0.35827091336250305,0.18353469669818878,0.04372372105717659,-0.23752246797084808,0.011417406611144543
-62.74734878540039,-22.653671264648438,85.75243377685547,0.7788498401641846,0.14721012115478516,0.11786394566297531,-0.266025185585022,0.007611604407429695
-43.94719314575195,-42.944114685058594,86.84355926513672,0.06230798736214638,0.10515008866786957,0.16538973152637482,-0.27742624282836914,0.0038058022037148476
-22.77349090576172,-61.631309509277344,84.41190338134766,0.295962929725647,0.05353095382452011,0.20150932669639587,-0.2565242648124695,-0.0019029011018574238
