第二组母线_Ua_5,第二组母线_Ub_6,第二组母线_Uc_7,第二组母线_3U0_8,220KV朝黄II回线_Ia_41,220KV朝黄II回线_Ib_42,220KV朝黄II回线_Ic_43,220KV朝黄II回线_3I0_44
12.573064804077148,67.2390365600586,-79.93355560302734,0.10901200026273727,0.08654700219631195,0.9089829921722412,-0.916267991065979,-0.025930000469088554
6.878574848175049,70.68000793457031,-77.57408905029297,0.37376999855041504,-0.017301000654697418,0.9436110258102417,-0.8816919922828674,-0.025930000469088554
1.6514849662780762,73.54488372802734,-75.2691421508789,0.16352100670337677,-0.08653300255537033,1.0128669738769531,-0.8471159934997559,-0.025930000469088554
-3.6301350593566895,76.09058380126953,-72.37237548828125,0.2803260087966919,-0.12114900350570679,1.0474950075149536,-0.7779639959335327,0.008654000237584114
-8.678054809570312,78.27816772460938,-69.4522476196289,0.2725389897823334,-0.15576499700546265,1.0474950075149536,-0.7433879971504211,-0.025930000469088554
-13.780505180358887,80.02979278564453,-66.22843170166016,0.288112998008728,-0.2596130073070526,1.0474950075149536,-0.7088119983673096,-0.025930000469088554
-18.805055618286133,81.47779846191406,-62.420589447021484,0.6307410001754761,-0.29422900080680847,1.082123041152954,-0.6396600008010864,-0.025930000469088554
-24.016565322875977,82.97251892089844,-58.495941162109375,0.9266470074653625,-0.39807701110839844,1.0474950075149536,-0.5705080032348633,0.008654000237584114
-28.939844131469727,84.24925994873047,-54.70367431640625,1.2926360368728638,-0.4326930046081543,1.082123041152954,-0.5359320044517517,0.008654000237584114
-33.78522491455078,85.0822525024414,-50.61549758911133,1.3004230260849,-0.5365409851074219,1.082123041152954,-0.432204008102417,-0.025930000469088554
-38.607234954833984,85.54935455322266,-46.402732849121094,1.0901739597320557,-0.5711569786071777,1.082123041152954,-0.432204008102417,0.008654000237584114
-43.20333480834961,85.59606170654297,-42.01865005493164,0.7786939740180969,-0.6403890252113342,1.0474950075149536,-0.36305201053619385,-0.025930000469088554
-47.83838653564453,85.48707580566406,-37.48661422729492,0.43606600165367126,-0.6750050187110901,1.082123041152954,-0.2939000129699707,0.008654000237584114
-52.15404510498047,84.98883819580078,-32.66646194458008,0.0622900016605854,-0.7442370057106018,1.082123041152954,-0.22474800050258636,-0.025930000469088554
-56.15031433105469,83.74323272705078,-27.659421920776367,-0.023367000743746758,-0.8134689927101135,1.0474950075149536,-0.15559600293636322,-0.025930000469088554
-60.294593811035156,82.41978454589844,-22.27081871032715,0.03114200010895729,-0.8134689927101135,1.0128669738769531,-0.08644399791955948,0.008654000237584114
-64.322021484375,81.0262680053711,-16.609668731689453,0.15573400259017944,-0.8827009797096252,0.9782389998435974,-0.017292000353336334,-0.025930000469088554
-67.94437408447266,79.15786743164062,-11.080899238586426,0.18688200414180756,-0.9173169732093811,0.9436110258102417,0.08643600344657898,-0.060513999313116074
-71.35639190673828,76.80680084228516,-5.53655481338501,0.03892900049686432,-0.9865490198135376,0.9089829921722412,0.12101200222969055,0.008654000237584114
-74.12184143066406,74.22218322753906,-0.07008100301027298,-6.000000212225132e-06,-0.9865490198135376,0.9089829921722412,0.15558800101280212,0.008654000237584114
-77.10541534423828,71.38065338134766,5.731234073638916,0.015568000264465809,-1.0211650133132935,0.8743550181388855,0.25931599736213684,-0.025930000469088554
-79.16976165771484,68.43792724609375,10.70712661743164,-0.17910699546337128,-1.0903970003128052,0.8050990104675293,0.36304399371147156,-0.025930000469088554
-80.17467498779297,65.12151336669922,14.779727935791016,-0.7008360028266907,-1.0903970003128052,0.7704709768295288,0.39761999249458313,-0.025930000469088554
-81.91963195800781,61.509273529052734,20.269563674926758,-0.7008360028266907,-1.0211650133132935,0.6665869951248169,0.5013480186462402,-0.060513999313116074
-83.0803451538086,57.679054260253906,24.848318099975586,-0.973380982875824,-1.0903970003128052,0.6665869951248169,0.5013480186462402,0.008654000237584114
-84.59939575195312,53.82548141479492,30.25249671936035,-0.8254280090332031,-1.0903970003128052,0.5973309874534607,0.605076014995575,0.008654000237584114
-85.24596405029297,49.67607498168945,34.94805908203125,-0.9500200152397156,-1.0903970003128052,0.4934470057487488,0.6742280125617981,0.008654000237584114
-85.5887222290039,45.21527099609375,39.744850158691406,-0.9967420101165771,-1.0903970003128052,0.4934470057487488,0.7088040113449097,-0.025930000469088554
-85.3628158569336,40.55984115600586,44.2145881652832,-1.1836299896240234,-1.0903970003128052,0.3895629942417145,0.8125320076942444,-0.025930000469088554
-85.32386779785156,35.826560974121094,48.91014862060547,-0.8332149982452393,-1.0903970003128052,0.3203069865703583,0.8125320076942444,-0.060513999313116074
-84.4747543334961,31.007644653320312,53.146278381347656,-0.6619009971618652,-1.0903970003128052,0.3203069865703583,0.8816840052604675,0.008654000237584114
-83.33741760253906,25.737199783325195,57.3668327331543,-0.3582080006599426,-1.125012993812561,0.21642300486564636,0.9162600040435791,-0.060513999313116074
-82.05985260009766,20.202064514160156,61.68861770629883,-0.21804200112819672,-1.0211650133132935,0.11253900080919266,1.019987940788269,-0.025930000469088554
-80.57975769042969,14.775919914245605,65.76900482177734,-0.023367000743746758,-1.0211650133132935,0.11253900080919266,1.019987940788269,-0.025930000469088554
-78.59330749511719,9.178504943847656,69.35881042480469,0.007780999876558781,-0.9865490198135376,-0.02597299963235855,1.019987940788269,-0.025930000469088554
-76.00702667236328,3.5888750553131104,72.3490219116211,-0.023367000743746758,-0.9173169732093811,-0.09522899985313416,1.0545639991760254,-0.025930000469088554
