1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,21-220kV云普临时线路电流Ia_21,22-220kV云普临时线路电流Ib_22,23-220kV云普临时线路电流Ic_23,24-220kV云普临时线路电流3Io_24
-82.243408203125,60.92292022705078,20.85874366760254,-0.760672390460968,0.2879231870174408,-0.15827812254428864,-0.13662047684192657,0.0
-83.70523071289062,57.02410888671875,26.120981216430664,-1.0142298936843872,0.2951212525367737,-0.1366947442293167,-0.15100157260894775,0.007208549417555332
-84.56326293945312,52.77661895751953,31.129615783691406,-1.1410086154937744,0.2951212525367737,-0.12230582535266876,-0.16538268327713013,0.0
-85.00816345214844,48.33894729614258,36.043148040771484,-1.10931396484375,0.2951212525367737,-0.10791690647602081,-0.1797637790441513,0.0
-78.46173858642578,40.47792434692383,36.582054138183594,-2.060154438018799,0.23753662407398224,-0.06475014239549637,-0.1725732386112213,0.0
-56.75685119628906,42.79185485839844,48.469635009765625,59.87125778198242,0.02159423939883709,-0.028777841478586197,-0.1869543343782425,-0.2018393725156784
-77.50837707519531,37.9104118347168,53.54167175292969,24.658464431762695,-0.05758463591337204,0.0,-0.1725732386112213,-0.2378821223974228
-78.68418884277344,28.749786376953125,50.65694808959961,0.982535183429718,-0.06478271633386612,0.014388920739293098,-0.1869543343782425,-0.2522992193698883
-68.95989227294922,22.22006607055664,56.77509307861328,17.717329025268555,-0.11516927182674408,0.021583382040262222,-0.21571654081344604,-0.29555052518844604
-66.03624725341797,20.381601333618164,68.12377166748047,39.01615524291992,-0.20874430239200592,0.057555682957172394,-0.19414488971233368,-0.33159327507019043
-70.86661529541016,14.897905349731445,64.9854507446289,15.720562934875488,-0.2879231870174408,0.09352798759937286,-0.20133544504642487,-0.3892616629600525
-77.03169250488281,6.117650508880615,65.33415222167969,-9.82535171508789,-0.32391357421875,0.12230582535266876,-0.19414488971233368,-0.3892616629600525
-74.3622817993164,1.679976463317871,71.86439514160156,-1.3945660591125488,-0.3527058959007263,0.15108366310596466,-0.1869543343782425,-0.39647021889686584
-67.02139282226562,0.34867435693740845,78.23613739013672,20.221208572387695,-0.3958943784236908,0.1654725819826126,-0.21571654081344604,-0.44693005084991455
-64.44731140136719,-8.273092269897461,76.39752960205078,6.497410297393799,-0.45347902178764343,0.1942504346370697,-0.20852598547935486,-0.46134716272354126
-65.11466217041016,-13.217928886413574,79.31394958496094,1.7115129232406616,-0.48946940898895264,0.20863935351371765,-0.20133544504642487,-0.4685556888580322
-59.87117004394531,-16.577880859375,81.2476577758789,8.399091720581055,-0.4966674745082855,0.2230282723903656,-0.20852598547935486,-0.4901813566684723
-57.6148796081543,-22.632137298583984,83.30817413330078,5.356401443481445,-0.5254598259925842,0.2518061101436615,-0.19414488971233368,-0.4685556888580322
-50.11509323120117,-28.654693603515625,83.21307373046875,7.860281467437744,-0.5470540523529053,0.2590005695819855,-0.19414488971233368,-0.4757642447948456
-50.655330657958984,-32.64860153198242,84.79808807373047,2.5672693252563477,-0.561450183391571,0.2805839478969574,-0.19414488971233368,-0.4685556888580322
-44.42669677734375,-40.129249572753906,83.53007507324219,-1.8065969944000244,-0.5686482787132263,0.3021673262119293,-0.20133544504642487,-0.46134716272354126
-42.99665069580078,-43.20392608642578,84.70298767089844,-2.7574374675750732,-0.5542521476745605,0.3093617856502533,-0.19414488971233368,-0.4541386067867279
