220kV Ⅱ母电压_A相_5,220kV Ⅱ母电压_B相_6,220kV Ⅱ母电压_C相_7,220kV Ⅱ母电压_3U0_8,木景线261_A相_9,木景线261_B相_10,木景线261_C相_11,木景线261_3I0_12
-27.62489891052246,-57.352909088134766,83.69840240478516,-1.2304060459136963,-0.49256831407546997,-0.4745500385761261,-0.07436539232730865,-0.3163006007671356
-5.443943977355957,-70.54584503173828,77.73552703857422,3.7067930698394775,-0.44609957933425903,-0.48385491967201233,-0.09295673668384552,-0.3069976270198822
14.711115837097168,-80.7262191772461,65.22803497314453,-0.5295418500900269,-0.44609957933425903,-0.4652451276779175,-0.10225241631269455,-0.29769468307495117
35.302520751953125,-86.63706970214844,47.46406936645508,-5.669212818145752,-0.41821837425231934,-0.48385491967201233,-0.10225241631269455,-0.3163006007671356
55.862762451171875,-84.33090209960938,27.99642562866211,0.2803456783294678,-0.39033713936805725,-0.5024647116661072,-0.1766178011894226,-0.2790887653827667
70.78166198730469,-76.43592071533203,6.97053861618042,3.4420220851898193,-0.3996308743953705,-0.4652451276779175,-0.2045048326253891,-0.33490651845932007
79.94493865966797,-65.91273498535156,-15.727862358093262,-2.133742332458496,-0.381043404340744,-0.4745500385761261,-0.21380050480365753,-0.3069976270198822
84.84864807128906,-49.29171371459961,-36.919960021972656,-1.4796022176742554,-0.35316216945648193,-0.4187206029891968,-0.22309617698192596,-0.3069976270198822
83.93439483642578,-26.707902908325195,-55.92013168334961,3.332998752593994,-0.3717496693134308,-0.40011081099510193,-0.24168752133846283,-0.29769468307495117
76.24638366699219,-5.9004621505737305,-70.82732391357422,0.31149521470069885,-0.4089246392250061,-0.3535862863063812,-0.27887022495269775,-0.33490651845932007
64.65203094482422,13.785058975219727,-81.0909423828125,-3.255125045776367,-0.42751210927963257,-0.3908059000968933,-0.2881658971309662,-0.32560354471206665
48.90199279785156,35.82868576049805,-85.05927276611328,0.45166805386543274,-0.42751210927963257,-0.32567158341407776,-0.2974615693092346,-0.3163006007671356
27.178163528442383,56.74000930786133,-84.37364196777344,0.6697146892547607,-0.44609957933425903,-0.3070617914199829,-0.2602788805961609,-0.32560354471206665
5.028375625610352,69.84983825683594,-78.2861099243164,-4.438807010650635,-0.5018620491027832,-0.27914708852767944,-0.24168752133846283,-0.3163006007671356
-15.199408531188965,80.01982879638672,-65.8617172241211,-0.2803456783294678,-0.5111557841300964,-0.2977568805217743,-0.2323918491601944,-0.3163006007671356
-35.821983337402344,85.88912200927734,-48.045814514160156,4.937199115753174,-0.5390369892120361,-0.27914708852767944,-0.21380050480365753,-0.3069976270198822
-56.631561279296875,83.63489532470703,-28.422344207763672,-0.8410370945930481,-0.5483307242393494,-0.27914708852767944,-0.16732212901115417,-0.33490651845932007
-71.60240936279297,75.73991394042969,-7.448399543762207,-4.283059120178223,-0.5576245188713074,-0.32567158341407776,-0.1487307846546173,-0.3069976270198822
-80.87996673583984,65.43488311767578,15.250000953674316,1.3861536979675293,-0.5762119889259338,-0.31636667251586914,-0.13013944029808044,-0.3163006007671356
-85.69017028808594,49.10472869873047,36.421321868896484,0.9656351804733276,-0.5576245188713074,-0.36289119720458984,-0.10225241631269455,-0.28839170932769775
-84.84864807128906,26.354705810546875,55.327999114990234,-4.0182881355285645,-0.5855057239532471,-0.3815009891986847,-0.08366106450557709,-0.32560354471206665
-77.33724975585938,5.505712985992432,70.20402526855469,-1.2304060459136963,-0.5576245188713074,-0.44663530588150024,-0.07436539232730865,-0.32560354471206665
-65.69094848632812,-14.04476261138916,80.31182098388672,2.398513078689575,-0.5483307242393494,-0.4280255138874054,-0.07436539232730865,-0.3163006007671356
-49.83702087402344,-35.8702392578125,84.64373779296875,-0.591840922832489,-0.49256831407546997,-0.45594021677970886,-0.06506972014904022,-0.3163006007671356
-27.957353591918945,-57.145145416259766,83.67762756347656,-1.4017285108566284,-0.4739808142185211,-0.4745500385761261,-0.06506972014904022,-0.29769468307495117
-5.869901180267334,-70.37963104248047,77.76669311523438,3.64449405670166,-0.48327454924583435,-0.48385491967201233,-0.08366106450557709,-0.29769468307495117
14.357882499694824,-80.65350341796875,65.39424896240234,-0.3582195043563843,-0.44609957933425903,-0.5024647116661072,-0.12084376066923141,-0.28839170932769775
35.01162338256836,-86.58512878417969,47.86921310424805,-5.544614791870117,-0.4368058443069458,-0.5024647116661072,-0.13943511247634888,-0.3069976270198822
55.748477935791016,-84.46595001220703,28.17302703857422,-0.015574760735034943,-0.41821837425231934,-0.5024647116661072,-0.15802645683288574,-0.3069976270198822
70.6673812866211,-76.49824523925781,7.271798610687256,3.535470724105835,-0.4089246392250061,-0.44663530588150024,-0.1766178011894226,-0.28839170932769775
79.83065795898438,-66.06855773925781,-15.395437240600586,-2.1181674003601074,-0.36245590448379517,-0.4745500385761261,-0.19520916044712067,-0.28839170932769775
84.89020538330078,-49.634521484375,-36.6706428527832,-1.5574760437011719,-0.381043404340744,-0.4280255138874054,-0.21380050480365753,-0.32560354471206665
84.02790069580078,-26.946828842163086,-55.68120193481445,3.177251100540161,-0.4089246392250061,-0.4187206029891968,-0.2695745527744293,-0.32560354471206665
76.48533630371094,-6.118613243103027,-70.67149353027344,0.17132236063480377,-0.381043404340744,-0.36289119720458984,-0.2695745527744293,-0.3163006007671356
64.9013671875,13.577296257019043,-80.85201263427734,-3.0526530742645264,-0.3996308743953705,-0.32567158341407776,-0.2602788805961609,-0.33490651845932007
49.099388122558594,35.330055236816406,-85.23587036132812,-0.031149521470069885,-0.42751210927963257,-0.31636667251586914,-0.25098320841789246,-0.32560354471206665
27.63528823852539,56.44914245605469,-84.47752380371094,0.6852894425392151,-0.4739808142185211,-0.3070617914199829,-0.25098320841789246,-0.29769468307495117
5.340051651000977,69.72518157958984,-78.50426483154297,-4.6412787437438965,-0.48327454924583435,-0.2884519696235657,-0.25098320841789246,-0.29769468307495117
-14.939678192138672,79.9574966430664,-66.00715637207031,-0.4672428071498871,-0.5111557841300964,-0.2884519696235657,-0.22309617698192596,-0.32560354471206665
-32.24809646606445,88.80818939208984,-47.57834243774414,14.640275001525879,-0.7249118089675903,-0.344281405210495,-0.2323918491601944,-0.09302958846092224
-51.5824089050293,81.76502990722656,-33.34638977050781,-0.49839234352111816,-2.1189730167388916,-0.2512323558330536,-0.12084376066923141,1.1349610090255737
