1-220kV I段母线电压Ua_1,2-220kV I段母线电压Ub_2,3-220kV I段母线电压Uc_3,4-220kV I段母线电压3Uo_4,49-朝潞II回线路电流Ia_49,50-朝潞II回线路电流Ib_50,51-朝潞II回线路电流Ic_51,52-朝潞II回线路电流3Io_52
-72.60868072509766,71.5103988647461,1.0435792207717896,-0.031628455966711044,0.6367137432098389,-0.8819540143013,0.17650960385799408,0.0
-73.7823486328125,70.05552673339844,3.6683390140533447,0.0,0.6720867156982422,-0.8466758728027344,0.17650960385799408,0.0
-74.95600891113281,68.63227081298828,6.261475086212158,-0.031628455966711044,0.7074597477912903,-0.8466758728027344,0.14120768010616302,0.0
-76.1613998413086,67.11414337158203,8.98110580444336,-0.031628455966711044,0.7074597477912903,-0.8113976716995239,0.10590576380491257,0.035298775881528854
-77.23989868164062,65.5011215209961,11.700736045837402,0.0,0.7428327202796936,-0.8113976716995239,0.07060384005308151,0.035298775881528854
-78.31840515136719,63.95136260986328,14.325495719909668,-0.031628455966711044,0.7428327202796936,-0.7761195302009583,0.07060384005308151,0.0
-79.30175018310547,62.21183395385742,16.98188018798828,-0.031628455966711044,0.7428327202796936,-0.7761195302009583,0.035301920026540756,0.0
-80.09476470947266,60.409053802490234,19.575016021728516,-0.031628455966711044,0.7782056927680969,-0.7761195302009583,0.0,0.0
-80.79261779785156,58.60626983642578,22.073280334472656,-0.031628455966711044,0.7782056927680969,-0.7761195302009583,-0.035301920026540756,0.0
-81.490478515625,56.80348587036133,24.57154655456543,-0.031628455966711044,0.8135786652565002,-0.7055631875991821,-0.035301920026540756,-0.035298775881528854
-81.90284729003906,54.7476806640625,27.00656509399414,-0.06325691193342209,0.8135786652565002,-0.7055631875991821,-0.07060384005308151,0.0
-82.28349304199219,52.72350311279297,29.37833595275879,-0.031628455966711044,0.8135786652565002,-0.7055631875991821,-0.10590576380491257,0.0
-82.50553894042969,50.69932556152344,31.686859130859375,-0.06325691193342209,0.8135786652565002,-0.7055631875991821,-0.14120768010616302,0.035298775881528854
-82.72758483886719,48.675148010253906,33.96376037597656,-0.06325691193342209,0.8843246698379517,-0.6702850461006165,-0.17650960385799408,0.0
-82.8544692993164,46.461204528808594,36.240657806396484,0.0,0.8843246698379517,-0.6702850461006165,-0.17650960385799408,0.0
-82.79102325439453,44.08911895751953,38.5491828918457,-0.031628455966711044,0.8489516377449036,-0.6350069046020508,-0.21181152760982513,0.0
-82.6324234008789,41.68540954589844,40.79446029663086,-0.031628455966711044,0.8135786652565002,-0.5997287034988403,-0.247113436460495,0.0
-82.56897735595703,39.40821075439453,43.03973388671875,-0.031628455966711044,0.8843246698379517,-0.6350069046020508,-0.28241536021232605,0.0
-82.4103775024414,36.972869873046875,45.253387451171875,-0.031628455966711044,0.8489516377449036,-0.5997287034988403,-0.3177172839641571,0.0
-82.12489318847656,34.56916046142578,47.40379333496094,-0.031628455966711044,0.8843246698379517,-0.5997287034988403,-0.28241536021232605,-0.035298775881528854
-81.93456268310547,32.10219192504883,49.61744689941406,-0.031628455966711044,0.8843246698379517,-0.5644505620002747,-0.35301920771598816,-0.035298775881528854
-81.55391693115234,29.60359764099121,51.767852783203125,-0.031628455966711044,0.919697642326355,-0.4938942492008209,-0.35301920771598816,-0.035298775881528854
-81.10982513427734,27.168258666992188,53.76013946533203,0.0,0.8843246698379517,-0.529172420501709,-0.42362305521965027,0.0
-80.69745635986328,24.7012939453125,55.84729766845703,-0.031628455966711044,0.919697642326355,-0.45861607789993286,-0.42362305521965027,-0.07059755176305771
-80.09476470947266,22.10781478881836,57.74471664428711,-0.06325691193342209,0.8843246698379517,-0.45861607789993286,-0.4589249789714813,0.0
-79.42862701416016,19.672475814819336,59.54726028442383,-0.06325691193342209,0.8843246698379517,-0.4233379364013672,-0.4589249789714813,0.0
-78.82593536376953,17.237138748168945,61.381431579589844,-0.031628455966711044,0.919697642326355,-0.3880597651004791,-0.529528796672821,-0.035298775881528854
-78.09635925292969,14.706915855407715,63.18397521972656,-0.031628455966711044,0.919697642326355,-0.3880597651004791,-0.529528796672821,-0.035298775881528854
-77.23989868164062,12.208321571350098,64.79678344726562,-0.031628455966711044,0.919697642326355,-0.35278159379959106,-0.6001326441764832,-0.035298775881528854
-76.25656127929688,9.772982597351074,66.28308868408203,0.0,0.8843246698379517,-0.28222528100013733,-0.6001326441764832,0.0
-75.24150085449219,7.24276065826416,67.801025390625,-0.031628455966711044,0.8843246698379517,-0.28222528100013733,-0.6001326441764832,-0.035298775881528854
-74.22643280029297,4.77579402923584,69.25570678710938,0.0,0.8489516377449036,-0.24694712460041046,-0.6001326441764832,0.0
-72.98932647705078,2.213944435119629,70.55227661132812,0.0,0.8843246698379517,-0.2116689682006836,-0.6707364916801453,-0.035298775881528854
-71.65705871582031,-0.34790554642677307,71.81722259521484,-0.031628455966711044,0.8489516377449036,-0.24694712460041046,-0.6707364916801453,0.0
-70.2930679321289,-2.8464999198913574,73.0189208984375,-0.031628455966711044,0.8843246698379517,-0.17639079689979553,-0.7060384154319763,-0.035298775881528854
-68.9290771484375,-5.345094203948975,74.09412384033203,0.0,0.8489516377449036,-0.14111264050006866,-0.7060384154319763,-0.035298775881528854
-67.50164794921875,-7.9701995849609375,75.32744598388672,-0.031628455966711044,0.8489516377449036,-0.14111264050006866,-0.7413403391838074,-0.035298775881528854
-66.04249572753906,-10.563676834106445,76.49752044677734,-0.031628455966711044,0.8135786652565002,-0.1058344841003418,-0.7413403391838074,-0.035298775881528854
