1-110kV_Ⅰ母电压Ua_1,2-110kV_Ⅰ母电压Ub_2,3-110kV_Ⅰ母电压Uc_3,4-110kV_Ⅰ母电压3Uo_4,5-110kV唐西线电流Ia_5,6-110kV唐西线电流Ib_6,7-110kV唐西线电流Ic_7,8-110kV唐西线电流3Io_8
-75.3133773803711,74.38898468017578,1.1719697713851929,-0.38007405400276184,0.04307468980550766,-0.03590831533074379,-0.014375647529959679,0.0
-77.82276153564453,71.56929779052734,6.1765971183776855,-0.7918209433555603,0.05025380477309227,-0.02872665412724018,-0.021563470363616943,0.0
-79.95098114013672,68.43280029296875,11.212900161743164,-1.140222191810608,0.05025380477309227,-0.03590831533074379,-0.021563470363616943,0.0
-81.72978210449219,64.85274505615234,16.2808780670166,-1.3936048746109009,0.04307468980550766,-0.02872665412724018,-0.021563470363616943,-0.007183155044913292
-83.22270965576172,60.98756408691406,21.475553512573242,-1.6786603927612305,0.04307468980550766,-0.021544991061091423,-0.021563470363616943,-0.007183155044913292
-84.30270385742188,56.710514068603516,26.733579635620117,-1.6786603927612305,0.05025380477309227,-0.021544991061091423,-0.028751295059919357,0.0
-85.06504821777344,52.18000793457031,32.02328109741211,-1.5202962160110474,0.04307468980550766,-0.01436332706362009,-0.028751295059919357,0.0
-85.4144515991211,47.39604949951172,37.281307220458984,-1.298586368560791,0.04307468980550766,-0.021544991061091423,-0.028751295059919357,0.0
-85.54151153564453,42.51704406738281,42.34928512573242,-0.98185795545578,0.04307468980550766,-0.01436332706362009,-0.03593911975622177,0.0
-85.3826904296875,37.60635757446289,47.22721481323242,-0.6651296019554138,0.04307468980550766,-0.007181663531810045,-0.03593911975622177,-0.007183155044913292
-84.93798828125,32.63230514526367,51.756717681884766,-0.5067654252052307,0.04307468980550766,-0.007181663531810045,-0.03593911975622177,0.0
-84.27093505859375,27.563209533691406,56.00114822387695,-0.6017839312553406,0.04307468980550766,-0.007181663531810045,-0.03593911975622177,-0.007183155044913292
-83.28623962402344,22.462432861328125,59.960506439208984,-0.7918209433555603,0.05025380477309227,-0.007181663531810045,-0.03593911975622177,0.0
-82.01566314697266,17.203245162963867,63.76148986816406,-0.9185122847557068,0.03589557483792305,0.0,-0.03593911975622177,0.0
-80.49097442626953,12.007421493530273,67.27739715576172,-1.1085493564605713,0.02871645987033844,0.0,-0.04312694072723389,0.007183155044913292
-78.61687469482422,6.906643390655518,70.53990936279297,-1.1085493564605713,0.02871645987033844,0.0,-0.04312694072723389,0.0
-76.36160278320312,1.7741836309432983,73.58069610595703,-0.8234937787055969,0.02871645987033844,0.007181663531810045,-0.03593911975622177,-0.007183155044913292
-73.66162872314453,-3.23154878616333,76.30473327636719,-0.3167283833026886,0.02871645987033844,0.021544991061091423,-0.04312694072723389,-0.007183155044913292
-70.48519134521484,-8.427371978759766,78.64867401123047,0.25338271260261536,0.02153734490275383,0.021544991061091423,-0.04312694072723389,-0.007183155044913292
-66.92757415771484,-13.496468544006348,80.67586517333984,0.98185795545578,0.02153734490275383,0.021544991061091423,-0.04312694072723389,-0.007183155044913292
-63.147613525390625,-18.597246170043945,82.35462951660156,1.4569505453109741,0.02153734490275383,0.021544991061091423,-0.04312694072723389,-0.007183155044913292
-59.01824188232422,-23.79306983947754,83.55827331542969,1.4886233806610107,0.02153734490275383,0.021544991061091423,-0.04312694072723389,0.0
-54.76181411743164,-29.083938598632812,84.54019927978516,1.298586368560791,0.02153734490275383,0.02872665412724018,-0.04312694072723389,0.0
-50.187740325927734,-34.34312438964844,85.11034393310547,0.98185795545578,0.00717911496758461,0.021544991061091423,-0.0503147654235363,-0.007183155044913292
-45.486610412597656,-39.4755859375,85.3637466430664,0.4750925600528717,0.00717911496758461,0.03590831533074379,-0.03593911975622177,0.0
-40.75371551513672,-44.41795349121094,85.33206939697266,0.03167283907532692,0.00717911496758461,0.043089982122182846,-0.04312694072723389,0.0
-35.83023452758789,-48.94845962524414,85.07866668701172,0.03167283907532692,0.00717911496758461,0.03590831533074379,-0.03593911975622177,-0.007183155044913292
-30.843225479125977,-53.22550964355469,84.5085220336914,0.22170986235141754,-0.00717911496758461,0.043089982122182846,-0.03593911975622177,-0.007183155044913292
-25.729158401489258,-57.21742248535156,83.6532974243164,0.5384382605552673,-0.00717911496758461,0.043089982122182846,-0.03593911975622177,0.0
-20.58332633972168,-61.08260726928711,82.63970184326172,0.9185122847557068,-0.00717911496758461,0.043089982122182846,-0.04312694072723389,0.0
-15.342202186584473,-64.8210678100586,81.30936431884766,1.1718950271606445,-0.00717911496758461,0.043089982122182846,-0.028751295059919357,-0.007183155044913292
-10.228135108947754,-68.30606842041016,79.66226959228516,1.0768765211105347,-0.00717911496758461,0.043089982122182846,-0.021563470363616943,0.0
-5.209360599517822,-71.60098266601562,77.69842529296875,0.6651296019554138,-0.02153734490275383,0.050271645188331604,-0.028751295059919357,-0.007183155044913292
-0.19058635830879211,-74.5790786743164,75.32281494140625,0.1583641916513443,-0.01435822993516922,0.050271645188331604,-0.028751295059919357,-0.007183155044913292
4.828187942504883,-77.20867156982422,72.50375366210938,-0.4750925600528717,-0.02153734490275383,0.050271645188331604,-0.028751295059919357,0.007183155044913292
9.846961975097656,-79.39471435546875,69.3045883178711,-1.0135308504104614,-0.02871645987033844,0.050271645188331604,-0.021563470363616943,0.0
14.833971977233887,-81.16889953613281,65.78868103027344,-1.298586368560791,-0.02871645987033844,0.043089982122182846,-0.021563470363616943,-0.007183155044913292
