500kV龙曲甲线线路电压1_1,500kV龙曲甲线线路电压1_2,500kV龙曲甲线线路电压1_3,500kV龙曲甲线线路电压1_4,500kV龙曲甲线路电流_25,500kV龙曲甲线路电流_26,500kV龙曲甲线路电流_27,500kV龙曲甲线路电流_28
-35.99879455566406,89.4679183959961,-53.16202163696289,0.39270299673080444,-0.12318500131368637,0.2925710082054138,-0.1487780064344406,0.005154000129550695
-41.004146575927734,89.84110260009766,-48.45538330078125,0.4084109961986542,-0.14400500059127808,0.2925710082054138,-0.12109799683094025,-0.0017180000431835651
-46.00949478149414,89.63465881347656,-43.28045654296875,0.4476810097694397,-0.15094499289989471,0.2925710082054138,-0.10725799947977066,0.005154000129550695
-50.60170364379883,89.16619873046875,-38.27220916748047,0.3534330129623413,-0.17176499962806702,0.2925710082054138,-0.07957799732685089,0.005154000129550695
-55.027069091796875,88.40396118164062,-33.04966354370117,0.29845499992370605,-0.17870500683784485,0.2925710082054138,-0.0726580023765564,0.012025999836623669
-59.37298583984375,87.56231689453125,-28.001733779907227,0.10210499912500381,-0.19952499866485596,0.2925710082054138,-0.0657379999756813,-0.0017180000431835651
-63.575889587402344,86.24427795410156,-22.525203704833984,0.1492290049791336,-0.21340499818325043,0.2788029909133911,-0.038058001548051834,0.012025999836623669
-67.27031707763672,84.51335906982422,-17.064546585083008,0.10210499912500381,-0.22034500539302826,0.2788029909133911,-0.017297999933362007,0.005154000129550695
-70.80583953857422,82.4330825805664,-11.429277420043945,0.20420700311660767,-0.23422500491142273,0.2650350034236908,-0.01037800032645464,-0.0017180000431835651
-74.27780151367188,80.10665893554688,-5.6352667808532715,0.36914101243019104,-0.24116499722003937,0.2650350034236908,0.010382000356912613,0.012025999836623669
-77.2730712890625,77.35942077636719,0.18255400657653809,0.4084109961986542,-0.2481050044298172,0.2512669861316681,0.017302000895142555,0.012025999836623669
-80.1571044921875,74.50102233886719,5.9368791580200195,0.43197301030158997,-0.25504499673843384,0.23749899864196777,0.044982001185417175,0.005154000129550695
-82.28636169433594,71.31707763671875,11.127676963806152,0.3298709988594055,-0.2689250111579895,0.23061500489711761,0.05882199853658676,0.012025999836623669
-84.46329498291016,68.21253967285156,16.445466995239258,0.3063090145587921,-0.27586498856544495,0.20996299386024475,0.07266200333833694,0.005154000129550695
-85.94901275634766,64.48074340820312,21.660076141357422,0.14137500524520874,-0.27586498856544495,0.20996299386024475,0.09342200309038162,0.005154000129550695
-87.45061492919922,60.598079681396484,26.842937469482422,0.023564999923110008,-0.27586498856544495,0.19619500637054443,0.10034199804067612,0.005154000129550695
-88.29278564453125,56.326358795166016,31.819435119628906,-0.16493099927902222,-0.27586498856544495,0.1686590015888214,0.1280220001935959,0.005154000129550695
-89.03166961669922,51.864078521728516,36.946739196777344,-0.29844900965690613,-0.27586498856544495,0.1548909991979599,0.14878199994564056,0.005154000129550695
-89.22235107421875,46.861881256103516,42.050228118896484,-0.29844900965690613,-0.27586498856544495,0.14800700545310974,0.16262200474739075,0.005154000129550695
-88.98400115966797,41.7564582824707,46.95529556274414,-0.21990899741649628,-0.27586498856544495,0.12735499441623688,0.18338200449943542,0.012025999836623669
-88.10210418701172,36.651039123535156,51.352394104003906,-0.0549749992787838,-0.27586498856544495,0.11358699947595596,0.19722199440002441,0.012025999836623669
-87.35527801513672,31.529739379882812,55.939979553222656,0.08639699965715408,-0.27586498856544495,0.0929350033402443,0.2110619992017746,0.012025999836623669
-86.18736267089844,26.225820541381836,60.02753448486328,0.21206100285053253,-0.2689250111579895,0.07228299975395203,0.2110619992017746,0.012025999836623669
-84.98766326904297,20.771039962768555,64.34526062011719,0.18849900364875793,-0.2689250111579895,0.058515001088380814,0.23182199895381927,0.012025999836623669
-83.16825866699219,15.228919982910156,67.95659637451172,0.10210499912500381,-0.26198500394821167,0.037863001227378845,0.25258201360702515,0.012025999836623669
-81.13433837890625,9.607399940490723,71.55999755859375,0.07068900018930435,-0.2481050044298172,0.03097900003194809,0.23874199390411377,0.012025999836623669
-78.71906280517578,3.755620002746582,74.86972045898438,-0.0314130000770092,-0.2481050044298172,0.010327000170946121,0.26642200350761414,0.005154000129550695
-75.8985824584961,-2.0167601108551025,77.93340301513672,-0.03926699981093407,-0.23422500491142273,-0.010324999690055847,0.26642200350761414,0.005154000129550695
-72.94304656982422,-7.7017998695373535,80.67166900634766,0.05498100072145462,-0.22034500539302826,-0.017209000885486603,0.2733420133590698,0.018897999078035355
-69.64586639404297,-12.886619567871094,82.8702163696289,0.39270299673080444,-0.22034500539302826,-0.03786100074648857,0.2871820032596588,0.012025999836623669
-66.15007019042969,-18.28582000732422,85.05289459228516,0.8011109828948975,-0.19952499866485596,-0.051628999412059784,0.2871820032596588,0.012025999836623669
-62.4794807434082,-23.518280029296875,86.67997741699219,1.154541015625,-0.19258500635623932,-0.07228100299835205,0.2941020131111145,0.012025999836623669
-58.427528381347656,-28.647520065307617,87.96577453613281,1.4529930353164673,-0.17176499962806702,-0.09293299913406372,0.3079420030117035,0.012025999836623669
-54.184898376464844,-33.72911834716797,88.73566436767578,1.3508909940719604,-0.15788500010967255,-0.10670100152492523,0.3079420030117035,0.005154000129550695
-49.68803024291992,-38.95363998413086,89.33094024658203,1.0995630025863647,-0.13706499338150024,-0.12046899646520615,0.3010219931602478,0.005154000129550695
-44.67473602294922,-43.97966003417969,89.2436294555664,0.7382789850234985,-0.13706499338150024,-0.13423700630664825,0.3010219931602478,0.012025999836623669
