1-110kV母线Ⅰ段电压Ua_1,2-110kV母线Ⅰ段电压Ub_2,3-110kV母线Ⅰ段电压Uc_3,4-110kV母线Ⅰ段电压3Uo_4,5-110kV普八线路电流Ia_5,6-110kV普八线路电流Ib_6,7-110kV普八线路电流Ic_7,8-110kV普八线路电流3Io_8
66.61339569091797,-76.87950897216797,10.220680236816406,-0.03163949027657509,-3.4931023120880127,3.8107388019561768,-0.38791999220848083,-0.14116154611110687
69.46825408935547,-74.47504425048828,4.936303615570068,0.0,-3.634237766265869,3.669600486755371,-0.14106181263923645,-0.10587115585803986
72.13279724121094,-71.75420379638672,-0.4430016279220581,0.06327898055315018,-3.7400894165039062,3.563746452331543,0.10579635947942734,-0.10587115585803986
74.60700225830078,-68.68535614013672,-5.885592937469482,0.12655796110630035,-3.8812248706817627,3.3873233795166016,0.38791999220848083,-0.14116154611110687
76.85916900634766,-65.39503479003906,-11.328184127807617,0.2847554087638855,-3.9517924785614014,3.21090030670166,0.6700435876846313,-0.07058077305555344
78.85757446289062,-62.10472106933594,-16.580917358398438,0.37967389822006226,-4.057643890380859,3.0344772338867188,0.9521672129631042,-0.10587115585803986
80.50704956054688,-58.6878547668457,-21.612150192260742,0.41131338477134705,-4.128211975097656,2.8580541610717773,1.1990253925323486,-0.10587115585803986
81.74415588378906,-54.98624801635742,-26.48516845703125,0.41131338477134705,-4.1634955406188965,2.6110618114471436,1.4458836317062378,-0.10587115585803986
82.63233184814453,-51.189727783203125,-31.23161506652832,0.3480343818664551,-4.234063625335693,2.434638738632202,1.6927417516708374,-0.10587115585803986
83.13986206054688,-47.045196533203125,-35.88313293457031,0.22147643566131592,-4.234063625335693,2.2582156658172607,1.86906898021698,-0.07058077305555344
83.42535400390625,-42.71083450317383,-40.56629180908203,0.18983694911003113,-4.234063625335693,2.0465078353881836,2.0806617736816406,-0.03529038652777672
83.23502349853516,-37.965187072753906,-45.12287902832031,0.18983694911003113,-4.1634955406188965,1.7995156049728394,2.3275198936462402,-0.07058077305555344
82.75921630859375,-33.18790054321289,-49.48960876464844,0.09491847455501556,-4.1634955406188965,1.5878078937530518,2.5391125679016113,-0.07058077305555344
82.06136322021484,-28.220788955688477,-53.63483810424805,0.09491847455501556,-4.092927932739258,1.3055309057235718,2.785970687866211,-0.03529038652777672
81.04630279541016,-23.127126693725586,-57.71678161621094,0.18983694911003113,-4.092927932739258,1.0232539176940918,2.997563600540161,-0.03529038652777672
79.58715057373047,-18.001827239990234,-61.387367248535156,0.22147643566131592,-3.9870762825012207,0.7409769892692566,3.2091562747955322,-0.03529038652777672
77.87423706054688,-13.034714698791504,-64.67823791503906,0.18983694911003113,-3.8812248706817627,0.4939846694469452,3.3502180576324463,-0.03529038652777672
75.74894714355469,-7.941051959991455,-67.7159652709961,-0.03163949027657509,-3.7753732204437256,0.2117077112197876,3.4912798404693604,-0.03529038652777672
73.21129608154297,-2.6575632095336914,-70.56382751464844,-0.12655796110630035,-3.634237766265869,-0.0352846197783947,3.6323416233062744,-0.03529038652777672
70.48332214355469,2.594287872314453,-73.15855407714844,-0.15819744765758514,-3.4931023120880127,-0.2469923347234726,3.7028725147247314,0.0
67.6601791381836,7.972689628601074,-75.81656646728516,-0.3480343818664551,-3.316683053970337,-0.5645539164543152,3.879199743270874,-0.03529038652777672
64.45639038085938,13.477642059326172,-78.15814208984375,-0.569510817527771,-3.140263795852661,-0.811546266078949,3.94973087310791,0.03529038652777672
61.1257209777832,18.856042861938477,-80.34150695800781,-0.7277082800865173,-2.9638442993164062,-1.0938231945037842,4.090792655944824,0.03529038652777672
57.54128646850586,23.98134422302246,-81.8603744506836,-0.6327897906303406,-2.7874250411987305,-1.3761001825332642,4.161323547363281,0.03529038652777672
53.67136764526367,28.916818618774414,-82.90458679199219,-0.6327897906303406,-2.5757219791412354,-1.623092532157898,4.19658899307251,0.0
49.57939910888672,33.59918975830078,-83.44252014160156,-0.5378713607788086,-2.364018678665161,-1.7995156049728394,4.19658899307251,0.03529038652777672
45.36054992675781,38.06010055541992,-83.66402435302734,-0.37967389822006226,-2.1170318126678467,-2.0465078353881836,4.231854438781738,0.03529038652777672
40.951377868652344,42.52101135253906,-83.66402435302734,-0.22147643566131592,-1.9053285121917725,-2.2582156658172607,4.231854438781738,0.03529038652777672
36.32016372680664,46.95028305053711,-83.37923431396484,-0.15819744765758514,-1.6936253309249878,-2.434638738632202,4.19658899307251,0.03529038652777672
31.562063217163086,51.189727783203125,-82.90458679199219,-0.2847554087638855,-1.411354422569275,-2.7169156074523926,4.19658899307251,0.03529038652777672
26.740520477294922,55.3026237487793,-82.2400894165039,-0.3163948953151703,-1.164367437362671,-2.893338680267334,4.126058101654053,0.07058077305555344
21.91897964477539,59.22569274902344,-81.35408020019531,-0.3163948953151703,-0.9173803925514221,-3.105046510696411,4.055527210235596,0.07058077305555344
16.970556259155273,62.8323860168457,-80.05672454833984,-0.41131338477134705,-0.6351094841957092,-3.2814695835113525,4.020261764526367,0.07058077305555344
11.958690643310547,65.96451568603516,-78.12650299072266,-0.3163948953151703,-0.38812246918678284,-3.4226081371307373,3.9144651889801025,0.07058077305555344
6.724781036376953,68.9700927734375,-75.81656646728516,-0.15819744765758514,-0.10585158318281174,-3.5990312099456787,3.7734034061431885,0.03529038652777672
1.2688266038894653,71.8174819946289,-73.09526824951172,0.0,0.14113545417785645,-3.7048850059509277,3.6323416233062744,0.10587115585803986
