220kV I母_1,220kV I母_2,220kV I母_3,220kV I母_4,文南II回264开关_37,文南II回264开关_38,文南II回264开关_39,文南II回264开关_40
-80.6947021484375,66.07691955566406,14.412720680236816,-0.4557720124721527,-0.4318769872188568,0.12455300241708755,0.26734399795532227,-0.012896999716758728
-82.34648895263672,62.368492126464844,19.4903564453125,-0.8015239834785461,-0.41477298736572266,0.12455300241708755,0.28459200263023376,0.004298999905586243
-83.68519592285156,58.41175842285156,24.675912857055664,-0.9508259892463684,-0.4318769872188568,0.05583300068974495,0.28459200263023376,0.004298999905586243
-84.55426788330078,54.190521240234375,29.839885711669922,-0.9036779999732971,-0.41477298736572266,0.07301300019025803,0.31908801198005676,0.004298999905586243
-84.8781509399414,49.7857551574707,34.437278747558594,-0.974399983882904,-0.3634609878063202,0.03865300118923187,0.30184000730514526,0.004298999905586243
-84.84576416015625,45.18125915527344,39.029273986816406,-0.9586840271949768,-0.3634609878063202,0.021472999826073647,0.3363359868526459,0.004298999905586243
-84.58126068115234,40.57676696777344,43.50255584716797,-0.7386599779129028,-0.34635698795318604,-0.012887000106275082,0.38808000087738037,0.004298999905586243
-84.1440200805664,35.59981155395508,48.159305572509766,-0.4400559961795807,-0.34635698795318604,-0.04724700003862381,0.38808000087738037,0.004298999905586243
-83.74996948242188,30.773998260498047,52.740509033203125,-0.2278899997472763,-0.3121489882469177,-0.11596699804067612,0.38808000087738037,0.004298999905586243
-83.03203582763672,25.856420516967773,56.841468811035156,-0.24360600113868713,-0.29504498839378357,-0.11596699804067612,0.40532800555229187,0.004298999905586243
-81.52059173583984,20.501604080200195,60.68881607055664,-0.23574799299240112,-0.2779409885406494,-0.18468700349330902,0.42257601022720337,0.004298999905586243
-80.13871002197266,15.373504638671875,64.53616333007812,-0.15716800093650818,-0.2779409885406494,-0.2018669992685318,0.42257601022720337,-0.012896999716758728
-78.45452880859375,10.180628776550293,68.02737426757812,-0.23574799299240112,-0.2437330037355423,-0.21904699504375458,0.42257601022720337,-0.012896999716758728
-76.28453826904297,4.879793167114258,71.01676177978516,-0.47148799896240234,-0.22662900388240814,-0.25340700149536133,0.42257601022720337,0.004298999905586243
-73.92560577392578,-0.35086899995803833,73.98455810546875,-0.2828960120677948,-0.17531700432300568,-0.25340700149536133,0.4398239850997925,0.004298999905586243
-71.09165954589844,-5.7650628089904785,76.63399505615234,-0.24360600113868713,-0.17531700432300568,-0.2877669930458069,0.457071989774704,0.004298999905586243
-67.99320983886719,-11.227839469909668,79.14313507080078,0.06285600364208221,-0.15821300446987152,-0.2877669930458069,0.4398239850997925,0.004298999905586243
-64.88935852050781,-16.3829288482666,81.40406036376953,0.3221699893474579,-0.14110900461673737,-0.32212701439857483,0.4398239850997925,0.004298999905586243
-60.857051849365234,-21.40306854248047,82.58578491210938,0.707211971282959,-0.14110900461673737,-0.3564870059490204,0.42257601022720337,-0.012896999716758728
-56.7167854309082,-26.579750061035156,83.76211547851562,0.9665259718894958,-0.07269299775362015,-0.3564870059490204,0.42257601022720337,-0.012896999716758728
-52.500946044921875,-31.589094161987305,84.61467742919922,1.0686800479888916,-0.038485001772642136,-0.37366700172424316,0.42257601022720337,0.004298999905586243
-48.042198181152344,-36.11801528930664,84.60928344726562,0.825082004070282,-0.038485001772642136,-0.39084699749946594,0.38808000087738037,0.004298999905586243
-43.52947235107422,-40.95462417602539,84.73339080810547,0.47147199511528015,-0.004277000203728676,-0.39084699749946594,0.3535839915275574,0.004298999905586243
-38.714454650878906,-45.327003479003906,84.2369613647461,0.40860798954963684,0.01282699964940548,-0.4080269932746887,0.3363359868526459,0.004298999905586243
-33.96961212158203,-49.94769287109375,83.96176147460938,0.07071399688720703,0.029930999502539635,-0.4080269932746887,0.3363359868526459,0.004298999905586243
-29.15999412536621,-54.57917785644531,83.58404541015625,-0.30647000670433044,0.0641390010714531,-0.4080269932746887,0.31908801198005676,0.004298999905586243
-24.102069854736328,-58.346981048583984,82.26202392578125,-0.2278899997472763,0.11545100063085556,-0.4252069890499115,0.28459200263023376,0.004298999905586243
-18.806631088256836,-62.3738899230957,81.06951141357422,-0.21217399835586548,0.13255499303340912,-0.45956701040267944,0.26734399795532227,0.004298999905586243
-13.629948616027832,-66.00674438476562,79.63417053222656,-0.02358200028538704,0.14965899288654327,-0.4767470061779022,0.25009599328041077,0.004298999905586243
-8.582818984985352,-69.09980010986328,77.8534927368164,0.19644199311733246,0.18386699259281158,-0.45956701040267944,0.25009599328041077,0.004298999905586243
-3.3413610458374023,-72.28461456298828,75.7166748046875,0.04713999852538109,0.23517900705337524,-0.45956701040267944,0.21559999883174896,-0.012896999716758728
1.9702709913253784,-75.10777282714844,73.23991394042969,0.07071399688720703,0.2522830069065094,-0.45956701040267944,0.19835199415683746,-0.012896999716758728
7.465435028076172,-77.90393829345703,70.38542938232422,-0.15716800093650818,0.26938700675964355,-0.45956701040267944,0.18110400438308716,0.004298999905586243
12.706892967224121,-80.46798706054688,67.4338150024414,-0.5579259991645813,0.26938700675964355,-0.45956701040267944,0.14660799503326416,0.004298999905586243
17.770217895507812,-82.35189056396484,64.14765167236328,-0.7308019995689392,0.2864910066127777,-0.45956701040267944,0.12936000525951385,0.004298999905586243
22.876724243164062,-83.52325439453125,60.12763214111328,-0.8801040053367615,0.30359500646591187,-0.4252069890499115,0.11211200058460236,-0.012896999716758728
27.94544792175293,-84.53807830810547,56.02667236328125,-0.9586840271949768,0.320699006319046,-0.4252069890499115,0.06036800146102905,-0.012896999716758728
