17-110kV II段母线电压Ua_17,18-110kV II段母线电压Ub_18,19-110kV II段母线电压Uc_19,20-110kV II段母线电压3Uo_20,25-110kV中金线间隔162  Ia_25,26-110kV中金线间隔162  Ib_26,27-110kV中金线间隔162  Ic_27,28-110kV中金线间隔162  3Io_28
-83.08018493652344,60.30226516723633,22.50664710998535,-0.538880467414856,-0.6003017425537109,0.5291900634765625,0.035353198647499084,0.03535779193043709
-84.19300842285156,56.33918380737305,27.515169143676758,-0.538880467414856,-0.6003017425537109,0.4939107298851013,0.07070639729499817,0.0
-84.63813781738281,52.12246322631836,32.333492279052734,-0.3169885277748108,-0.6003017425537109,0.45863139629364014,0.10605959594249725,0.03535779193043709
-84.82890319824219,47.71551513671875,37.025020599365234,-0.12679541110992432,-0.6356135606765747,0.45863139629364014,0.17676599323749542,0.03535779193043709
-84.89249420166016,43.054927825927734,41.779945373535156,-0.12679541110992432,-0.6356135606765747,0.42335206270217896,0.2121191918849945,0.0
-84.70172882080078,38.17241287231445,46.503173828125,-0.06339770555496216,-0.6356135606765747,0.3880727291107178,0.2121191918849945,0.0
-84.28839111328125,33.131370544433594,50.972801208496094,-0.25359082221984863,-0.6356135606765747,0.3527933657169342,0.2828255891799927,0.0
-83.65249633789062,27.995216369628906,55.44243240356445,-0.34868738055229187,-0.6356135606765747,0.317514032125473,0.2828255891799927,0.0
-82.6668472290039,22.827356338500977,59.499969482421875,-0.4754827916622162,-0.6709254384040833,0.24695536494255066,0.31817877292633057,0.03535779193043709
-81.26787567138672,17.691200256347656,63.30390930175781,-0.41208508610725403,-0.6356135606765747,0.24695536494255066,0.38888517022132874,0.03535779193043709
-79.51914978027344,12.681864738464355,66.66405487060547,-0.34868738055229187,-0.6709254384040833,0.21167603135108948,0.38888517022132874,0.0
-77.4842758178711,7.6408233642578125,69.7706069946289,-0.06339770555496216,-0.6356135606765747,0.1763966828584671,0.4595915675163269,0.0
-75.32221984863281,2.4095542430877686,72.87715911865234,0.06339770555496216,-0.6003017425537109,0.10583801567554474,0.4949447810649872,0.0
-72.68323516845703,-2.9168288707733154,75.69841766357422,0.2852896749973297,-0.6356135606765747,0.10583801567554474,0.4949447810649872,0.03535779193043709
-69.53553771972656,-8.465144157409668,78.26607513427734,0.4754827916622162,-0.5649898648262024,0.03527933731675148,0.4949447810649872,0.0
-66.1016845703125,-14.045165061950684,80.48503875732422,0.5705793499946594,-0.5649898648262024,0.0,0.5302979946136475,0.0
-62.34988021850586,-19.46666145324707,82.16511535644531,0.6339770555496216,-0.5296779870986938,-0.03527933731675148,0.5656511783599854,0.03535779193043709
-58.43910598754883,-24.634521484375,83.43309783935547,0.6022781729698181,-0.5296779870986938,-0.10583801567554474,0.6010043621063232,0.03535779193043709
-54.36935043334961,-29.580448150634766,84.19388580322266,0.4754827916622162,-0.4943661093711853,-0.10583801567554474,0.6010043621063232,0.0
-50.140625,-34.304443359375,84.57427978515625,0.38038623332977295,-0.4943661093711853,-0.14111734926700592,0.6363575458526611,0.03535779193043709
-45.75292205810547,-38.90161895751953,84.82787322998047,0.3169885277748108,-0.45905426144599915,-0.21167603135108948,0.6363575458526611,0.0
-41.1744499206543,-43.49879455566406,84.82787322998047,0.2852896749973297,-0.4237423837184906,-0.24695536494255066,0.6717107892036438,0.0
-36.405208587646484,-48.000858306884766,84.5425796508789,0.34868738055229187,-0.4237423837184906,-0.24695536494255066,0.6363575458526611,0.03535779193043709
-31.413402557373047,-52.56632614135742,84.13048553466797,0.3169885277748108,-0.3531186580657959,-0.317514032125473,0.6363575458526611,0.0
-26.167238235473633,-57.100093841552734,83.43309783935547,0.3169885277748108,-0.31780678033828735,-0.3527933657169342,0.6363575458526611,0.03535779193043709
-20.8892765045166,-61.15829086303711,82.29191589355469,0.38038623332977295,-0.2824949324131012,-0.3527933657169342,0.6363575458526611,0.03535779193043709
-15.706701278686523,-64.89944458007812,80.73863983154297,0.34868738055229187,-0.24718305468559265,-0.42335206270217896,0.6363575458526611,0.03535779193043709
-10.619510650634766,-68.13331604003906,78.80496978759766,0.25359082221984863,-0.2118711918592453,-0.45863139629364014,0.6363575458526611,0.03535779193043709
-5.659499645233154,-71.11355590820312,76.77619934082031,0.09509655833244324,-0.1412474662065506,-0.4939107298851013,0.6010043621063232,0.0
-0.5087190866470337,-74.12549591064453,74.49383544921875,-0.12679541110992432,-0.10593559592962265,-0.4939107298851013,0.6010043621063232,0.03535779193043709
4.7692413330078125,-76.72528076171875,71.7676773071289,-0.2852896749973297,-0.0706237331032753,-0.4939107298851013,0.6363575458526611,0.03535779193043709
10.142586708068848,-79.07142639160156,68.59772491455078,-0.41208508610725403,-0.03531186655163765,-0.5644693970680237,0.6010043621063232,0.03535779193043709
15.54772663116455,-81.06881713867188,65.0790786743164,-0.5705793499946594,0.0,-0.5997487306594849,0.5656511783599854,0.0
20.984661102294922,-82.71746063232422,61.275142669677734,-0.6022781729698181,0.0706237331032753,-0.5644693970680237,0.5302979946136475,0.03535779193043709
26.167238235473633,-83.98564910888672,57.40780258178711,-0.538880467414856,0.0706237331032753,-0.5997487306594849,0.4949447810649872,0.0
31.127248764038086,-84.80996704101562,53.255165100097656,-0.538880467414856,0.1412474662065506,-0.635028064250946,0.4949447810649872,0.03535779193043709
35.83290100097656,-85.12701416015625,48.91233444213867,-0.4754827916622162,0.17655932903289795,-0.635028064250946,0.4595915675163269,0.0
40.50675582885742,-85.12701416015625,44.34760665893555,-0.4437839388847351,0.2118711918592453,-0.6703073978424072,0.4595915675163269,0.0
