1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,25-110kV朋勒T 132线路电流Ia_25,26-110kV朋勒T 132线路电流Ib_26,27-110kV朋勒T 132线路电流Ic_27,28-110kV朋勒T 132线路电流3Io_28
-18.288936614990234,81.11568450927734,-62.62757110595703,0.2218775898218155,-0.0575936995446682,0.22282209992408752,-0.16566240787506104,0.0
-23.37803077697754,82.3202133178711,-58.885772705078125,-0.03169680014252663,-0.07919133454561234,0.23000991344451904,-0.15845970809459686,0.007200772408396006
-28.33989906311035,83.49304962158203,-55.01713180541992,0.03169680014252663,-0.08639054745435715,0.23719772696495056,-0.14405427873134613,0.0
-33.397186279296875,84.57078552246094,-50.98994064331055,0.06339360028505325,-0.10078897327184677,0.23719772696495056,-0.13685156404972076,0.0
-38.07279586791992,84.76097869873047,-46.64564895629883,-0.06339360028505325,-0.1151873990893364,0.24438554048538208,-0.12244613468647003,0.0
-42.65298080444336,84.60248565673828,-41.88912582397461,-0.03169680014252663,-0.12238661199808121,0.24438554048538208,-0.11524342000484467,0.0
-47.29677963256836,84.50739288330078,-37.10089111328125,0.03169680014252663,-0.13678503036499023,0.23719772696495056,-0.10083799064159393,0.007200772408396006
-51.90877151489258,84.03192138671875,-32.12239456176758,-0.09509039670228958,-0.15118345618247986,0.23719772696495056,-0.0864325612783432,0.0
-55.66197967529297,83.04927062988281,-27.30245018005371,0.0,-0.15118345618247986,0.23000991344451904,-0.07922985404729843,0.0
-59.3515739440918,81.62285614013672,-22.29224395751953,-0.06339360028505325,-0.16558188199996948,0.23000991344451904,-0.05762171000242233,0.0
-63.4228515625,80.32322692871094,-16.838096618652344,-0.03169680014252663,-0.1799803078174591,0.22282209992408752,-0.0432162806391716,0.0
-66.73076629638672,78.35794067382812,-11.60591983795166,-0.1267872005701065,-0.18717952072620392,0.22282209992408752,-0.028810855001211166,0.0
-69.879638671875,76.26586151123047,-6.500583171844482,-0.31696799397468567,-0.18717952072620392,0.2156343013048172,-0.014405427500605583,0.0
-73.02851867675781,73.88849639892578,-0.9513048529624939,-0.253574401140213,-0.19437873363494873,0.20125867426395416,0.007202713750302792,0.007200772408396006
-75.60487365722656,70.78207397460938,4.566263198852539,-0.507148802280426,-0.20157794654369354,0.18688306212425232,0.014405427500605583,0.0
-78.08580780029297,67.86583709716797,9.893570899963379,-0.5705423951148987,-0.21597637236118317,0.1796952486038208,0.03601356968283653,-0.007200772408396006
-80.21686553955078,64.7911148071289,15.094037055969238,-0.602239191532135,-0.21597637236118317,0.17250743508338928,0.05041899532079697,0.007200772408396006
-81.87081909179688,61.14582061767578,20.294504165649414,-0.7607231736183167,-0.22317558526992798,0.15813182294368744,0.0648244246840477,0.007200772408396006
-83.07948303222656,57.342037200927734,25.3364200592041,-0.697329580783844,-0.22317558526992798,0.1437561959028244,0.07922985404729843,0.0
-84.12910461425781,53.44315719604492,30.283205032348633,-0.697329580783844,-0.2303747981786728,0.13656838238239288,0.09363527595996857,0.0
-85.05150604248047,49.41748809814453,35.26169967651367,-0.6339359879493713,-0.22317558526992798,0.12219277024269104,0.1080407053232193,0.0
-85.05150604248047,45.04313659667969,39.70112228393555,-0.507148802280426,-0.2303747981786728,0.11500495672225952,0.12244613468647003,0.007200772408396006
-84.9878921508789,40.47859573364258,44.17225646972656,-0.5705423951148987,-0.22317558526992798,0.09344153106212616,0.1296488493680954,0.0
-84.9878921508789,35.6287727355957,48.99220275878906,-0.507148802280426,-0.22317558526992798,0.07906591147184372,0.1512569934129715,0.007200772408396006
-84.03368377685547,30.58875846862793,53.01939010620117,-0.602239191532135,-0.22317558526992798,0.06469029188156128,0.1512569934129715,0.007200772408396006
-83.11128997802734,25.675539016723633,57.07829284667969,-0.4754520058631897,-0.22317558526992798,0.06469029188156128,0.16566240787506104,0.007200772408396006
-81.71178436279297,20.477035522460938,61.04206466674805,-0.253574401140213,-0.22317558526992798,0.0359390489757061,0.1728651225566864,0.007200772408396006
-80.0260238647461,14.866454124450684,64.8155746459961,-0.507148802280426,-0.20877715945243835,0.02875123918056488,0.18006783723831177,0.0
-78.05400085449219,9.572854995727539,68.3036880493164,-0.15848399698734283,-0.20157794654369354,0.01437561959028244,0.1944732666015625,0.0
-75.73210144042969,4.342652797698975,71.25273895263672,-0.1267872005701065,-0.19437873363494873,0.0,0.1944732666015625,-0.007200772408396006
