17-220KV-C母UA_17,18-220KV-C母UB_18,19-220KV-C母UC_19,20-220KV-C母3U0_20,13-冶小II回219IA_13,14-冶小II回219IB_14,15-冶小II回219IC_15,16-冶小II回2193I0_16
11.001548767089844,67.81180572509766,-78.62689208984375,0.0,-0.5697600841522217,0.811476469039917,-0.2417163997888565,-0.017265455797314644
5.687241554260254,70.91959381103516,-76.26497650146484,-0.031077822670340538,-0.6042909622192383,0.7769455313682556,-0.17265456914901733,-0.017265455797314644
0.2486225813627243,73.71659088134766,-73.6544418334961,-0.031077822670340538,-0.6388218998908997,0.7596800923347473,-0.12085819989442825,0.0
-5.158918380737305,76.26497650146484,-70.73312377929688,-0.062155645340681076,-0.656087338924408,0.7078837156295776,-0.06906182318925858,0.0
-10.504303932189941,78.44042205810547,-67.50102996826172,-0.031077822670340538,-0.6906182765960693,0.6906182765960693,0.0,0.0
-15.7875337600708,80.21186065673828,-64.0513916015625,-0.09323346614837646,-0.7078837156295776,0.656087338924408,0.03453091159462929,0.0
-20.915374755859375,81.70359802246094,-60.322052001953125,-0.09323346614837646,-0.7251491546630859,0.6388218998908997,0.10359273850917816,0.0
-25.918903350830078,82.9156265258789,-56.43732452392578,-0.15538911521434784,-0.742414653301239,0.6042909622192383,0.15538911521434784,0.0
-30.829198837280273,83.81688690185547,-52.335052490234375,-0.21754474937915802,-0.7596800923347473,0.58702552318573,0.18992002308368683,0.0
-35.5841064453125,84.43844604492188,-48.20170211791992,-0.21754474937915802,-0.7769455313682556,0.5697600841522217,0.2417163997888565,0.0
-40.276859283447266,84.7181396484375,-43.757572174072266,-0.21754474937915802,-0.7942110300064087,0.5006982684135437,0.3107782304286957,0.0
-44.78314208984375,84.74922180175781,-39.28236770629883,-0.21754474937915802,-0.811476469039917,0.4661673307418823,0.36257457733154297,0.017265455797314644
-49.16511535644531,84.43844604492188,-34.46530532836914,-0.21754474937915802,-0.811476469039917,0.43163642287254333,0.41437095403671265,0.0
-53.453853607177734,83.81688690185547,-29.58608627319336,-0.2486225813627243,-0.8287419080734253,0.36257457733154297,0.483432799577713,0.0
-57.462894439697266,82.79132080078125,-24.48932456970215,-0.2486225813627243,-0.8287419080734253,0.293512761592865,0.517963707447052,0.0
-61.34762191772461,81.42389678955078,-19.299327850341797,-0.2486225813627243,-0.811476469039917,0.2762472927570343,0.5524945855140686,0.0
-64.85941314697266,79.74568939208984,-14.047175407409668,-0.18646693229675293,-0.811476469039917,0.20718547701835632,0.6042909622192383,0.0
-68.24689483642578,77.81886291503906,-8.701789855957031,-0.15538911521434784,-0.7769455313682556,0.15538911521434784,0.6388218998908997,0.0
-71.35468292236328,75.48802947998047,-3.3564047813415527,-0.15538911521434784,-0.7769455313682556,0.10359273850917816,0.6906182765960693,0.0
-74.15167999267578,72.78425598144531,2.0511362552642822,-0.09323346614837646,-0.7596800923347473,0.06906182318925858,0.7251491546630859,0.017265455797314644
-76.57575225830078,69.86294555664062,7.4275994300842285,-0.031077822670340538,-0.742414653301239,0.017265455797314644,0.742414653301239,0.0
-78.68904876708984,66.63085174560547,12.6797513961792,-0.031077822670340538,-0.7078837156295776,-0.05179636925458908,0.7596800923347473,0.017265455797314644
-80.42940521240234,63.1501350402832,17.83867073059082,0.0,-0.673352837562561,-0.08632728457450867,0.7942110300064087,0.0
-81.8589859008789,59.48295211791992,22.904354095458984,0.031077822670340538,-0.656087338924408,-0.12085819989442825,0.8287419080734253,0.0
-83.0399398803711,55.69145584106445,27.814651489257812,0.031077822670340538,-0.6042909622192383,-0.18992002308368683,0.8287419080734253,0.017265455797314644
-83.91011810302734,51.713497161865234,32.569557189941406,0.031077822670340538,-0.5697600841522217,-0.18992002308368683,0.8460074067115784,0.03453091159462929
-84.46952056884766,47.455833435058594,37.324462890625,0.062155645340681076,-0.5524945855140686,-0.293512761592865,0.8632728457450867,0.03453091159462929
-84.7181396484375,43.0117073059082,41.95505905151367,0.062155645340681076,-0.517963707447052,-0.328043669462204,0.8978037238121033,0.017265455797314644
-84.65599060058594,38.31895446777344,46.52349853515625,0.062155645340681076,-0.483432799577713,-0.39710551500320435,0.8978037238121033,0.03453091159462929
-84.28305053710938,33.439735412597656,50.90547180175781,0.09323346614837646,-0.43163642287254333,-0.43163642287254333,0.9150692224502563,0.0
-83.5993423461914,28.436206817626953,55.22528839111328,0.15538911521434784,-0.39710551500320435,-0.4661673307418823,0.9150692224502563,0.03453091159462929
-82.60485076904297,23.308366775512695,59.26540756225586,0.15538911521434784,-0.36257457733154297,-0.517963707447052,0.9323346614837646,0.03453091159462929
-81.20635223388672,18.087291717529297,63.08797836303711,0.15538911521434784,-0.328043669462204,-0.5697600841522217,0.9150692224502563,0.03453091159462929
-79.5592269897461,12.741907119750977,66.69300842285156,0.15538911521434784,-0.258981853723526,-0.6042909622192383,0.9150692224502563,0.017265455797314644
-77.44593048095703,7.3343658447265625,69.92510223388672,0.12431129068136215,-0.18992002308368683,-0.6215564608573914,0.8632728457450867,0.03453091159462929
-74.99078369140625,1.895747184753418,72.8464126586914,0.09323346614837646,-0.12085819989442825,-0.673352837562561,0.8632728457450867,0.03453091159462929
-72.16270446777344,-3.4496383666992188,75.45695495605469,0.031077822670340538,-0.08632728457450867,-0.6906182765960693,0.8287419080734253,0.03453091159462929
-69.08599853515625,-8.763945579528809,77.6945571899414,0.031077822670340538,-0.05179636925458908,-0.7078837156295776,0.7942110300064087,0.05179636925458908
-65.63636016845703,-14.140409469604492,79.59030151367188,-0.031077822670340538,0.017265455797314644,-0.7251491546630859,0.7596800923347473,0.0
-62.031333923339844,-19.330406188964844,81.1752700805664,-0.09323346614837646,0.05179636925458908,-0.7596800923347473,0.7251491546630859,0.03453091159462929
-58.17768478393555,-24.427167892456055,82.48053741455078,-0.09323346614837646,0.10359273850917816,-0.7596800923347473,0.6906182765960693,0.03453091159462929
-54.19972229003906,-29.49285316467285,83.50611114501953,-0.12431129068136215,0.13812364637851715,-0.7769455313682556,0.6906182765960693,0.0
-50.03529357910156,-34.30991744995117,84.28305053710938,-0.09323346614837646,0.20718547701835632,-0.811476469039917,0.656087338924408,0.017265455797314644
