220kV I 母电压_A_1,220kV I 母电压_B_2,220kV I 母电压_C_3,220kV I 母电压_N_4,220kV凤丽II回电流_A_21,220kV凤丽II回电流_B_22,220kV凤丽II回电流_C_23,220kV凤丽II回电流_N_24
71.89884185791016,-80.54877471923828,8.718839645385742,0.1575399935245514,0.03488000109791756,-0.6113100051879883,0.5866519808769226,-0.026208000257611275
78.98552703857422,-74.24669647216797,-4.633200168609619,0.204802006483078,0.122079998254776,-0.6549749970436096,0.5341160297393799,-0.03494400158524513
84.06098937988281,-65.9035415649414,-18.00629997253418,0.2835719883441925,0.22672000527381897,-0.6899070143699646,0.4640679955482483,-0.03494400158524513
87.16734313964844,-55.635047912597656,-31.253040313720703,0.42535799741744995,0.3139199912548065,-0.7073730230331421,0.3940199911594391,-0.026208000257611275
88.15715789794922,-43.546417236328125,-44.40501022338867,0.3780960142612457,0.4185599982738495,-0.7073730230331421,0.2889479994773865,-0.03494400158524513
86.93567657470703,-30.5529842376709,-56.251258850097656,0.1575399935245514,0.5144799947738647,-0.6811739802360535,0.16636399924755096,-0.026208000257611275
83.39759826660156,-17.138708114624023,-66.15998840332031,0.11027800291776657,0.592960000038147,-0.6287760138511658,0.043779999017715454,-0.026208000257611275
78.26949310302734,-3.7244338989257812,-74.43656921386719,0.11027800291776657,0.6539999842643738,-0.5676450133323669,-0.07880400121212006,-0.026208000257611275
71.21439361572266,9.542547225952148,-80.76509857177734,-0.1260319948196411,0.6888800263404846,-0.49778100848197937,-0.17511999607086182,-0.017472000792622566
62.15858840942383,22.946300506591797,-85.2508773803711,-0.3623420000076294,0.732479989528656,-0.43665000796318054,-0.27143600583076477,-0.026208000257611275
51.323219299316406,36.3184928894043,-87.75701904296875,-0.2520639896392822,0.732479989528656,-0.3493199944496155,-0.36775198578834534,-0.026208000257611275
38.771461486816406,48.92264938354492,-87.84126281738281,-0.3308340013027191,0.732479989528656,-0.22705799341201782,-0.45531201362609863,-0.008736000396311283
25.745849609375,60.02230453491211,-85.93533325195312,-0.3780960142612457,0.6801599860191345,-0.09606300294399261,-0.5428720116615295,-0.008736000396311283
12.762359619140625,69.01776123046875,-81.9444580078125,-0.29932600259780884,0.6365600228309631,0.008732999674975872,-0.6129199862480164,-0.008736000396311283
-0.4001399874687195,76.60340118408203,-76.23719787597656,-0.1260319948196411,0.5842400193214417,0.11352899670600891,-0.6567000150680542,-0.017472000792622566
-13.815360069274902,82.51620483398438,-68.62400817871094,0.06301599740982056,0.5144799947738647,0.20959199965000153,-0.6917240023612976,0.0
-27.230579376220703,86.40897369384766,-59.104888916015625,0.01575399935245514,0.46215999126434326,0.30565500259399414,-0.7179920077323914,-0.008736000396311283
-40.298309326171875,87.97660064697266,-47.616661071777344,-0.03150799870491028,0.3575200140476227,0.40171799063682556,-0.7179920077323914,0.0
