220kV II段电压_25,220kV II段电压_26,220kV II段电压_27,220kV II段电压_28,220kV木东线_5,220kV木东线_6,220kV木东线_7,220kV木东线_8
-45.02638626098633,85.54115295410156,-39.912132263183594,0.8551099896430969,-0.4087130129337311,0.38643598556518555,0.02173900045454502,0.0
-49.60770034790039,85.07035827636719,-34.778053283691406,1.0433900356292725,-0.4174090027809143,0.38209399580955505,0.060871001332998276,-0.004387999884784222
-54.06056213378906,84.34275817871094,-29.643972396850586,0.9806299805641174,-0.43480101227760315,0.3256480097770691,0.08695899695158005,0.0
-58.36357116699219,83.31555938720703,-24.402931213378906,0.7295899987220764,-0.4217570126056671,0.3213059902191162,0.09130699932575226,-0.008775999769568443
-62.36686706542969,82.03155517578125,-19.140499114990234,0.6040700078010559,-0.4521929919719696,0.290912002325058,0.13043899834156036,-0.008775999769568443
-66.07044982910156,80.49075317382812,-14.049203872680664,0.38440999388694763,-0.43480101227760315,0.2518340051174164,0.15217900276184082,0.017551999539136887
-69.70980834960938,78.8215560913086,-8.893732070922852,0.227510005235672,-0.42610499262809753,0.23880800604820251,0.16522300243377686,0.013163999654352665
-72.89960479736328,76.72435760498047,-3.6526920795440674,0.007849999703466892,-0.42610499262809753,0.2084140032529831,0.20870299637317657,-0.008775999769568443
-75.6826400756836,74.41315460205078,1.331644058227539,-0.14904999732971191,-0.4174090027809143,0.1693360060453415,0.2565310001373291,-0.004387999884784222
-78.12315368652344,71.67395782470703,6.273196220397949,-0.46285000443458557,-0.4217570126056671,0.14762599766254425,0.24783499538898468,0.004387999884784222
-80.22113800048828,68.59235382080078,11.300315856933594,-0.5883700251579285,-0.4217570126056671,0.11288999766111374,0.286967009305954,-0.004387999884784222
-82.0194091796875,65.1683578491211,16.498571395874023,-0.713890016078949,-0.43480101227760315,0.10420600324869156,0.2913149893283844,0.008775999769568443
-83.32530212402344,61.466156005859375,21.54708480834961,-0.6511300206184387,-0.40436500310897827,0.047759998589754105,0.3304469883441925,0.0
-84.43851470947266,57.357357025146484,26.830907821655273,-0.46285000443458557,-0.4217570126056671,0.05210199952125549,0.35218700766563416,-0.004387999884784222
-85.0593490600586,52.90615463256836,32.00777053833008,-0.18042999505996704,-0.39132100343704224,0.008682000450789928,0.3652310073375702,-0.021940000355243683
-85.42328643798828,48.476356506347656,36.94932556152344,-0.02353000082075596,-0.40001699328422546,-0.013027999550104141,0.38262298703193665,-0.008775999769568443
-85.70158386230469,43.832557678222656,41.826698303222656,0.16474999487400055,-0.3782770037651062,-0.01737000048160553,0.38697099685668945,0.030716000124812126
-85.4018783569336,38.84635543823242,46.5543327331543,0.1019899994134903,-0.35218900442123413,-0.030395999550819397,0.4000149965286255,0.021940000355243683
-84.84526824951172,33.8387565612793,51.02526092529297,0.13336999714374542,-0.31740498542785645,-0.07381600141525269,0.4087109863758087,-0.008775999769568443
-84.11739349365234,28.53155517578125,55.432010650634766,-0.054910000413656235,-0.3304489850997925,-0.08684200048446655,0.4087109863758087,-0.008775999769568443
-83.0469970703125,23.095956802368164,59.753196716308594,-0.18042999505996704,-0.28696900606155396,-0.09986799955368042,0.4043630063533783,-0.008775999769568443
-81.6768798828125,17.72455596923828,63.646541595458984,-0.2745699882507324,-0.25218498706817627,-0.15631400048732758,0.4043630063533783,0.013163999654352665
-80.04987335205078,12.331755638122559,67.30457305908203,-0.46285000443458557,-0.2565329968929291,-0.15631400048732758,0.4130589962005615,0.02632799930870533
-78.25160217285156,6.96035623550415,70.85564422607422,-0.4942300021648407,-0.23914100229740143,-0.16933999955654144,0.4347989857196808,-0.004387999884784222
-75.93953704833984,1.7387559413909912,73.8077392578125,-0.33733001351356506,-0.1913129985332489,-0.2214439958333969,0.41740700602531433,-0.008775999769568443
-73.54183959960938,-3.3544440269470215,76.61009216308594,-0.2745699882507324,-0.1869650036096573,-0.23881199955940247,0.4043630063533783,0.008775999769568443
-70.88725280761719,-8.404844284057617,79.13434600830078,-0.054910000413656235,-0.10870099812746048,-0.2735480070114136,0.41740700602531433,0.017551999539136887
-67.4833755493164,-13.476643562316895,81.05963134765625,0.29027000069618225,-0.1173970028758049,-0.28657400608062744,0.4130589962005615,0.03949199989438057
-63.88683319091797,-18.484243392944336,82.64263916015625,0.6040700078010559,-0.07391700148582458,-0.2952579855918884,0.42610299587249756,-0.008775999769568443
-60.05480194091797,-23.44904327392578,83.96894073486328,0.8551099896430969,-0.047828998416662216,-0.3386780023574829,0.4043630063533783,0.008775999769568443
-55.6019401550293,-28.563644409179688,84.80323028564453,1.0747699737548828,-0.043480999767780304,-0.3343360126018524,0.4087109863758087,-0.004387999884784222
-51.04203414916992,-33.549842834472656,85.35942077636719,1.2944300174713135,0.008694999851286411,-0.36038801074028015,0.39131900668144226,0.013163999654352665
-46.375091552734375,-38.53604507446289,85.6802978515625,1.2944300174713135,-9.999999974752427e-07,-0.36907199025154114,0.35218700766563416,0.004387999884784222
-41.53688430786133,-43.351043701171875,85.5733413696289,1.2002899646759033,0.02173900045454502,-0.3907819986343384,0.34783899784088135,-0.017551999539136887
-36.506004333496094,-47.95204544067383,85.03854370117188,1.0120099782943726,0.05217500030994415,-0.43854400515556335,0.34783899784088135,0.004387999884784222
-31.43230628967285,-52.48884582519531,84.33260345458984,0.6040700078010559,0.0695670023560524,-0.4342019855976105,0.30001100897789,-0.008775999769568443
-26.272979736328125,-56.982845306396484,83.45552825927734,0.1019899994134903,0.08695899695158005,-0.39512398838996887,0.286967009305954,-0.004387999884784222
