1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV普开Ⅱ线路电流Ia_9,10-220kV普开Ⅱ线路电流Ib_10,11-220kV普开Ⅱ线路电流Ic_11,12-220kV普开Ⅱ线路电流3Io_12
-82.49764251708984,57.37278366088867,24.69447135925293,-0.8240618109703064,-0.19387805461883545,0.10050422698259354,0.09332086890935898,-0.007192885968834162
-83.86412811279297,53.378875732421875,29.925006866455078,-1.0776193141937256,-0.20105873048305511,0.09332535415887833,0.10049939155578613,-0.007192885968834162
-84.49970245361328,49.1630859375,34.77513885498047,-1.0459245443344116,-0.19387805461883545,0.0789676085114479,0.11485645174980164,0.0
-84.8492660522461,44.7888069152832,39.466773986816406,-1.10931396484375,-0.20105873048305511,0.0717887356877327,0.12921351194381714,0.0
-84.81748962402344,40.19264602661133,44.09500503540039,-0.9508405327796936,-0.2082393914461136,0.05743098631501198,0.12921351194381714,-0.007192885968834162
-84.27725219726562,35.37459945678711,48.43793487548828,-0.887451171875,-0.20105873048305511,0.04307324066758156,0.1507490873336792,-0.007192885968834162
-83.48278045654297,30.5882511138916,52.558963775634766,-0.6338936686515808,-0.20105873048305511,0.02871549315750599,0.1651061475276947,-0.007192885968834162
-82.243408203125,25.738508224487305,56.20448684692383,-0.4437255859375,-0.18669737875461578,0.02153662033379078,0.17228467762470245,-0.007192885968834162
-81.00404357910156,20.635183334350586,60.19871520996094,-0.3169468343257904,-0.17233604192733765,0.007178873289376497,0.17228467762470245,0.0
-79.54222106933594,15.373370170593262,63.9393424987793,-0.380336195230484,-0.17233604192733765,0.0,0.17228467762470245,-0.007192885968834162
-77.98506164550781,10.079858779907227,67.45806884765625,-0.7289777398109436,-0.17233604192733765,-0.014357746578752995,0.1794632077217102,0.0
-75.79232788085938,4.69125509262085,70.75489044189453,-0.6338936686515808,-0.17233604192733765,-0.02153662033379078,0.18664173781871796,-0.007192885968834162
-73.28180694580078,-0.7290464043617249,73.76641082763672,-0.4120309054851532,-0.1579747051000595,-0.03589436784386635,0.20099878311157227,0.0
-70.19926452636719,-5.990859508514404,75.98542785644531,-0.3486415147781372,-0.1579747051000595,-0.05743098631501198,0.20817731320858002,0.0
-66.76715850830078,-11.15757942199707,77.88743591308594,-0.0316946841776371,-0.14361336827278137,-0.06460985541343689,0.21535584330558777,0.0
-63.1761589050293,-16.197509765625,79.63095092773438,0.4437255859375,-0.1364327073097229,-0.0789676085114479,0.20817731320858002,0.0
-59.458045959472656,-21.142345428466797,81.05745697021484,0.7923671007156372,-0.1148907020688057,-0.08614648133516312,0.20817731320858002,0.0
-55.77170944213867,-26.309066772460938,82.57907104492188,0.8557564616203308,-0.10052936524152756,-0.10768309980630875,0.20817731320858002,0.007192885968834162
-52.02181625366211,-31.348995208740234,83.91047668457031,0.8557564616203308,-0.09334868937730789,-0.10768309980630875,0.22253437340259552,0.007192885968834162
-47.827022552490234,-36.135345458984375,84.44938659667969,0.7289777398109436,-0.09334868937730789,-0.12204084545373917,0.21535584330558777,0.0
-43.44155502319336,-40.92169189453125,84.6078872680664,0.4120309054851532,-0.07180668413639069,-0.136398583650589,0.21535584330558777,0.0
-38.611183166503906,-45.612945556640625,84.385986328125,0.2852521538734436,-0.06462601572275162,-0.1507563441991806,0.21535584330558777,0.0
