5-110kVⅠ段母线电压Ua_5,6-110kVⅠ段母线电压Ub_6,7-110kVⅠ段母线电压Uc_7,8-110kVⅠ段母线电压3Uo_8,17-110kV云金线189线路电流Ia_17,18-110kV云金线189线路电流Ib_18,19-110kV云金线189线路电流Ic_19,20-110kV云金线189线路电流3Io_20
82.19830322265625,-23.496723175048828,-58.35641860961914,-0.5389517545700073,0.0,0.0,-0.03531241789460182,0.0
81.21521759033203,-19.37449073791504,-61.59139633178711,-0.348733514547348,0.0,0.0,0.0,0.0
78.995361328125,-14.55465030670166,-64.12863159179688,-0.44384264945983887,-0.03536562994122505,0.03530709818005562,-0.03531241789460182,0.0
76.4583740234375,-8.751815795898438,-67.52218627929688,-0.3170304596424103,-0.03536562994122505,0.03530709818005562,-0.03531241789460182,0.0
74.17508697509766,-3.424623489379883,-70.7254409790039,0.03170304745435715,0.0,0.03530709818005562,-0.03531241789460182,0.0
72.0186538696289,1.6171833276748657,-73.579833984375,0.0,0.0,0.03530709818005562,-0.03531241789460182,0.03531987592577934
69.98905944824219,6.817537784576416,-76.59280395507812,-0.3804365396499634,-0.0707312598824501,0.0,-0.03531241789460182,0.0
66.69098663330078,13.127723693847656,-79.4789047241211,-0.6340609192848206,-0.0707312598824501,0.03530709818005562,-0.03531241789460182,0.0
63.456329345703125,18.86713981628418,-82.11128997802734,-0.348733514547348,-0.03536562994122505,0.07061419636011124,-0.03531241789460182,0.0
60.15824890136719,23.369884490966797,-83.57019805908203,0.09510913491249084,-0.03536562994122505,0.03530709818005562,-0.03531241789460182,0.03531987592577934
56.257633209228516,27.93604850769043,-84.33136749267578,0.22192132472991943,-0.0707312598824501,0.03530709818005562,-0.03531241789460182,0.03531987592577934
51.46907424926758,33.390079498291016,-84.9656753540039,0.09510913491249084,-0.03536562994122505,0.07061419636011124,0.0,0.0
45.9194221496582,38.46359634399414,-84.61680603027344,0.2536243796348572,-0.0707312598824501,0.03530709818005562,0.0,0.03531987592577934
41.41627502441406,42.871212005615234,-84.74366760253906,0.5389517545700073,-0.03536562994122505,0.03530709818005562,0.0,0.03531987592577934
36.94483947753906,46.51780319213867,-83.79220581054688,0.4755456745624542,-0.03536562994122505,0.03530709818005562,0.0,0.03531987592577934
31.71230697631836,51.71815872192383,-83.41162109375,-0.0634060949087143,-0.0707312598824501,0.03530709818005562,0.0,0.0
26.543201446533203,56.18919372558594,-82.55530548095703,-0.44384264945983887,-0.0707312598824501,0.03530709818005562,0.0,0.0
22.00834083557129,59.89920425415039,-81.73070526123047,-0.4121395945549011,0.0,0.03530709818005562,-0.03531241789460182,0.03531987592577934
18.07601547241211,62.46767044067383,-80.5572280883789,-0.09510913491249084,-0.0707312598824501,0.0,0.0,0.0
12.716635704040527,65.4483642578125,-78.08342742919922,-0.28532740473747253,-0.03536562994122505,0.03530709818005562,0.0,0.0
6.849858283996582,69.15837097167969,-75.79991149902344,-0.44384264945983887,-0.03536562994122505,0.0,0.0,0.0
