1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,5-220kV甘北线路电流Ia_5,6-220kV甘北线路电流Ib_6,7-220kV甘北线路电流Ic_7,8-220kV甘北线路电流3Io_8
72.89518737792969,1.3313804864883423,-74.55804443359375,-0.6024824380874634,-0.21156972646713257,0.03529477119445801,0.17655052244663239,0.0
69.62078094482422,6.593502998352051,-76.6194076538086,-0.7610304951667786,-0.21156972646713257,0.0,0.17655052244663239,0.03531421348452568
66.4417495727539,11.475231170654297,-78.3636474609375,-0.8878688812255859,-0.21156972646713257,0.03529477119445801,0.17655052244663239,0.03531421348452568
63.19914245605469,16.578855514526367,-80.26644134521484,-0.8561592698097229,-0.21156972646713257,0.0,0.21186062693595886,0.0
59.5114631652832,21.71417999267578,-81.56668853759766,-0.6659016609191895,-0.17630811035633087,-0.03529477119445801,0.17655052244663239,0.0
55.728416442871094,26.564208984375,-82.6766586303711,-0.6976112723350525,-0.21156972646713257,0.0,0.24717073142528534,0.0
51.7546272277832,31.509336471557617,-83.56462860107422,-0.507353663444519,-0.17630811035633087,-0.03529477119445801,0.21186062693595886,0.0
47.272193908691406,36.454463958740234,-83.9451904296875,-0.3170960247516632,-0.17630811035633087,-0.07058954238891602,0.21186062693595886,0.0
42.78976058959961,41.43128967285156,-84.38917541503906,-0.2536768317222595,-0.14104649424552917,-0.07058954238891602,0.21186062693595886,0.0
37.89405059814453,46.34471893310547,-84.26232147216797,-0.06341920793056488,-0.14104649424552917,-0.07058954238891602,0.24717073142528534,0.03531421348452568
32.99834442138672,51.00455093383789,-84.13546752929688,-0.19025762379169464,-0.14104649424552917,-0.10588431358337402,0.24717073142528534,0.0
28.03905487060547,55.41078567504883,-83.65977478027344,-0.34880563616752625,-0.14104649424552917,-0.10588431358337402,0.21186062693595886,0.03531421348452568
22.761863708496094,59.30982971191406,-82.45466613769531,-0.6659016609191895,-0.07052324712276459,-0.10588431358337402,0.24717073142528534,0.0
17.675413131713867,63.30397033691406,-81.43983459472656,-0.6976112723350525,-0.10578486323356628,-0.14117908477783203,0.21186062693595886,0.03531421348452568
12.716124534606934,66.66412353515625,-79.759033203125,-0.6341920495033264,-0.10578486323356628,-0.14117908477783203,0.21186062693595886,0.0
7.4389328956604,69.83407592773438,-77.66595458984375,-0.6659016609191895,-0.07052324712276459,-0.14117908477783203,0.24717073142528534,0.03531421348452568
2.0663702487945557,72.84552764892578,-75.16059875488281,-0.475644052028656,-0.035261623561382294,-0.14117908477783203,0.21186062693595886,0.0
-3.0518698692321777,75.3814926147461,-72.52838897705078,-0.3805152475833893,0.0,-0.17647385597229004,0.21186062693595886,0.0
-8.201900482177734,77.66385650634766,-69.515625,0.0,0.0,-0.17647385597229004,0.21186062693595886,0.0
-13.383721351623535,79.05863952636719,-65.51974487304688,0.2536768317222595,0.0,-0.17647385597229004,0.17655052244663239,0.03531421348452568
-18.279430389404297,80.92890930175781,-62.18984603881836,0.8244496583938599,0.035261623561382294,-0.21176862716674805,0.21186062693595886,0.0
-23.175138473510742,82.41878509521484,-58.57452392578125,1.2049648761749268,0.035261623561382294,-0.21176862716674805,0.21186062693595886,0.03531421348452568
-28.22979736328125,83.21127319335938,-54.48350524902344,0.8561592698097229,0.07052324712276459,-0.21176862716674805,0.17655052244663239,0.0
-33.37982940673828,83.94036865234375,-50.1070671081543,0.8244496583938599,0.07052324712276459,-0.21176862716674805,0.1412404179573059,0.0
-38.08479309082031,84.38416290283203,-45.857479095458984,0.7927401065826416,0.07052324712276459,-0.21176862716674805,0.1412404179573059,0.0
-42.78976058959961,84.89134979248047,-41.734745025634766,0.6024824380874634,0.07052324712276459,-0.21176862716674805,0.1412404179573059,0.03531421348452568
-47.494728088378906,84.35246276855469,-36.59718704223633,0.475644052028656,0.10578486323356628,-0.21176862716674805,0.1412404179573059,0.03531421348452568
-52.136112213134766,83.9720687866211,-31.713333129882812,0.1585480123758316,0.14104649424552917,-0.24706339836120605,0.1412404179573059,0.0
-56.39601516723633,83.24297332763672,-26.829479217529297,0.03170960396528244,0.14104649424552917,-0.24706339836120605,0.10593031346797943,0.03531421348452568
-60.3380126953125,82.13349151611328,-21.882200241088867,-0.19025762379169464,0.17630811035633087,-0.24706339836120605,0.10593031346797943,0.03531421348452568
-64.47075653076172,80.6119155883789,-16.237226486206055,-0.12683841586112976,0.14104649424552917,-0.24706339836120605,0.07062020897865295,0.0
-67.77694702148438,78.83673858642578,-11.163092613220215,-0.09512881189584732,0.17630811035633087,-0.21176862716674805,0.07062020897865295,0.03531421348452568
-70.82881927490234,76.87136840820312,-6.057246685028076,0.03170960396528244,0.21156972646713257,-0.21176862716674805,0.07062020897865295,0.03531421348452568
-73.6263656616211,74.14521026611328,-0.5074133276939392,0.06341920793056488,0.21156972646713257,-0.21176862716674805,0.10593031346797943,0.03531421348452568
-76.10601043701172,71.10205841064453,5.010706424713135,0.0,0.21156972646713257,-0.21176862716674805,0.03531010448932648,0.0
-78.013427734375,68.15399932861328,9.894559860229492,0.12683841586112976,0.21156972646713257,-0.21176862716674805,0.0,0.07062842696905136
-79.4439926147461,64.69874572753906,14.714985847473145,-0.09512881189584732,0.24683135747909546,-0.21176862716674805,0.0,0.0
-80.96992492675781,61.08500289916992,19.85254669189453,-0.03170960396528244,0.21156972646713257,-0.21176862716674805,0.0,0.03531421348452568
