220kV墨崖线电压_Ua_5,220kV墨崖线电压_Ub_6,220kV墨崖线电压_Uc_7,220kV墨崖线电压_3U0_8,220kV墨崖线_Ia_13,220kV墨崖线_Ib_14,220kV墨崖线_Ic_15,220kV墨崖线_3I0_16
-56.83012390136719,81.96173858642578,-24.267955780029297,0.09336821734905243,0.020748408511281013,0.024206476286053658,0.03630971536040306,0.0276645440608263
-60.68156051635742,80.63902282714844,-19.023775100708008,0.1089295893907547,0.022477442398667336,0.006916136015206575,0.04668391868472099,0.024206476286053658
-64.15953063964844,78.77165222167969,-13.748470306396484,0.046684108674526215,0.031122611835598946,0.01383227203041315,0.04322585090994835,0.024206476286053658
-67.349609375,76.56971740722656,-8.387578010559082,0.07780685275793076,0.020748408511281013,0.022477442398667336,0.04495488479733467,0.024206476286053658
-70.2518081665039,74.01765441894531,-2.902195453643799,0.0855875313282013,0.03285164758563042,0.022477442398667336,0.04668391868472099,0.02593551017343998
-72.7182846069336,71.20883178710938,2.4275736808776855,0.007780685089528561,0.024206476286053658,0.01383227203041315,0.04149681702256203,0.029393577948212624
-74.94355773925781,67.84757232666016,7.7340006828308105,-0.1089295893907547,0.020748408511281013,0.01383227203041315,0.03803874924778938,0.024206476286053658
-76.74089813232422,64.63414764404297,12.861472129821777,-0.1711750626564026,0.029393577948212624,0.02593551017343998,0.04322585090994835,0.024206476286053658
-78.39818572998047,61.14840316772461,17.880014419555664,-0.2645432949066162,0.020748408511281013,0.02593551017343998,0.04495488479733467,0.024206476286053658
-79.72090148925781,57.475921630859375,22.665136337280273,-0.49018314480781555,0.031122611835598946,0.01901937462389469,0.03630971536040306,0.022477442398667336
-80.8490982055664,53.92014694213867,27.34910774230957,-0.552428662776947,0.029393577948212624,0.010374204255640507,0.05360005423426628,0.022477442398667336
-81.80612182617188,50.04536437988281,32.10310745239258,-0.6847002506256104,0.031122611835598946,0.01383227203041315,0.04495488479733467,0.020748408511281013
-82.51416778564453,45.99940872192383,36.833763122558594,-0.6691389083862305,0.02593551017343998,0.006916136015206575,0.04495488479733467,0.024206476286053658
-82.91098022460938,41.735595703125,41.54107666015625,-0.5057445168495178,0.0276645440608263,0.006916136015206575,0.04668391868472099,0.01901937462389469
-82.9031982421875,37.47956085205078,46.01497268676758,-0.311227411031723,0.029393577948212624,0.008645170368254185,0.04495488479733467,0.020748408511281013
-82.63865661621094,32.81114959716797,50.42662048339844,-0.03890342637896538,0.03285164758563042,0.008645170368254185,0.03630971536040306,0.02593551017343998
-82.0084228515625,27.90153694152832,54.760459899902344,0.0,0.020748408511281013,0.010374204255640507,0.04495488479733467,0.01383227203041315
-80.96580505371094,23.10863494873047,58.767513275146484,0.2178591787815094,0.031122611835598946,0.010374204255640507,0.04322585090994835,0.020748408511281013
-79.47191619873047,17.732181549072266,62.56448745727539,0.2178591787815094,0.031122611835598946,0.012103238143026829,0.029393577948212624,0.020748408511281013
-77.55786895751953,12.441315650939941,65.87905883789062,0.29566603899002075,0.020748408511281013,0.012103238143026829,0.04668391868472099,0.01729034073650837
-75.18476104736328,6.971493721008301,68.97576904296875,0.14005233347415924,0.022477442398667336,0.01383227203041315,0.04322585090994835,0.01729034073650837
-72.41483306884766,1.5094529390335083,71.65232849121094,0.14783301949501038,0.029393577948212624,0.010374204255640507,0.03630971536040306,0.02593551017343998
-69.45817565917969,-3.7814128398895264,73.96318817138672,0.046684108674526215,0.029393577948212624,0.010374204255640507,0.04495488479733467,0.024206476286053658
-66.2447509765625,-8.940007209777832,75.98616790771484,0.20229780673980713,0.031122611835598946,0.005187102127820253,0.03803874924778938,0.024206476286053658
-62.976863861083984,-13.958548545837402,77.72904205322266,0.22563986480236053,0.031122611835598946,0.024206476286053658,0.04495488479733467,0.022477442398667336
-59.491119384765625,-19.06267738342285,79.4407958984375,0.311227411031723,0.031122611835598946,0.01729034073650837,0.04495488479733467,0.020748408511281013
-55.81085205078125,-23.878921508789062,80.63902282714844,0.5679900050163269,0.03285164758563042,0.012103238143026829,0.04149681702256203,0.022477442398667336
-52.24729919433594,-28.57845687866211,81.88392639160156,0.700261652469635,0.03630971536040306,0.012103238143026829,0.04149681702256203,0.024206476286053658
-48.20134353637695,-33.355796813964844,82.67755889892578,0.7158229947090149,0.029393577948212624,0.008645170368254185,0.04495488479733467,0.020748408511281013
-44.248756408691406,-38.094234466552734,83.40894317626953,0.8636560440063477,0.029393577948212624,0.006916136015206575,0.0276645440608263,0.02593551017343998
-40.01606369018555,-42.58369064331055,83.89134216308594,0.8947787880897522,0.029393577948212624,0.01901937462389469,0.031122611835598946,0.01901937462389469
-35.57329177856445,-47.1120491027832,83.80575561523438,0.7469457387924194,0.0276645440608263,0.022477442398667336,0.04668391868472099,0.020748408511281013
-30.85041618347168,-51.562599182128906,83.51787567138672,0.7391650676727295,0.03285164758563042,0.022477442398667336,0.031122611835598946,0.01901937462389469
-25.816312789916992,-55.74082565307617,82.67755889892578,0.6924809813499451,0.031122611835598946,0.0,0.03803874924778938,0.015561305917799473
-20.696622848510742,-59.77900314331055,81.55713653564453,0.5213059186935425,0.0276645440608263,0.015561305917799473,0.031122611835598946,0.02593551017343998
-15.343510627746582,-63.51373291015625,79.68977355957031,0.3423501253128052,0.0276645440608263,0.022477442398667336,0.04495488479733467,0.020748408511281013
-9.959277153015137,-66.69602966308594,77.51118469238281,0.2567625939846039,0.04149681702256203,0.006916136015206575,0.031122611835598946,0.022477442398667336
