220kV墨宁I回线电压_Ua_1,220kV墨宁I回线电压_Ub_2,220kV墨宁I回线电压_Uc_3,220kV墨宁I回线电压_3U0_4,220kV墨宁I回线_Ia_9,220kV墨宁I回线_Ib_10,220kV墨宁I回线_Ic_11,220kV墨宁I回线_3I0_12
-75.1769790649414,68.61785888671875,7.103765487670898,0.1089295893907547,-0.04495488479733467,0.05360005423426628,0.0708903968334198,0.01729034073650837
-77.12214660644531,65.22547912597656,12.347947120666504,-0.031122740358114243,-0.0553290881216526,0.04668391868472099,0.06743232905864716,0.006916136015206575
-78.70162963867188,61.638587951660156,17.459857940673828,-0.1089295893907547,-0.05360005423426628,0.031122611835598946,0.08299363404512405,0.01729034073650837
-79.91541290283203,57.6470947265625,22.602890014648438,-0.2412012368440628,-0.04668391868472099,0.029393577948212624,0.08472266793251038,0.008645170368254185
-80.8724365234375,53.803436279296875,27.40357208251953,-0.29566603899002075,-0.03803874924778938,0.02593551017343998,0.0864517018198967,0.010374204255640507
-81.79055786132812,49.78082275390625,32.12644958496094,-0.5290865898132324,-0.048412952572107315,0.01729034073650837,0.08472266793251038,0.006916136015206575
-82.3896713256836,45.563690185546875,36.93490982055664,-0.5368672609329224,-0.029393577948212624,0.006916136015206575,0.08818073570728302,0.01901937462389469
-82.71646118164062,41.26097106933594,41.579978942871094,-0.4824024736881256,-0.02593551017343998,0.012103238143026829,0.09682590514421463,0.01729034073650837
-82.65421295166016,36.82598114013672,46.03053283691406,-0.42793768644332886,-0.03285164758563042,0.0017290340038016438,0.08299363404512405,0.015561305917799473
-82.37411499023438,32.406551361083984,50.169857025146484,-0.23342055082321167,-0.02593551017343998,0.0017290340038016438,0.09682590514421463,0.01729034073650837
-81.8294677734375,27.77704620361328,54.39476776123047,-0.194517120718956,-0.022477442398667336,0.0034580680076032877,0.1020130068063736,0.01901937462389469
-80.77129364013672,23.06195068359375,58.24620819091797,0.07780685275793076,-0.015561305917799473,-0.006916136015206575,0.10720010846853256,0.024206476286053658
-79.48748016357422,18.160118103027344,61.848663330078125,0.20229780673980713,-0.01383227203041315,-0.0034580680076032877,0.09855493903160095,0.024206476286053658
-77.75238800048828,13.141576766967773,65.20992279052734,0.2412012368440628,-0.008645170368254185,-0.012103238143026829,0.09855493903160095,0.012103238143026829
-75.68272399902344,7.7495622634887695,68.36888122558594,0.18673643469810486,-0.005187102127820253,-0.0276645440608263,0.1020130068063736,0.0
-73.13066101074219,2.2719600200653076,71.30997467041016,0.1711750626564026,-0.005187102127820253,-0.0276645440608263,0.09855493903160095,0.0034580680076032877
-70.28292846679688,-3.042247772216797,73.81536102294922,0.20229780673980713,-0.0017290340038016438,-0.02593551017343998,0.09509687125682831,0.010374204255640507
-67.17843627929688,-8.4342622756958,76.07953643798828,0.17895574867725372,-0.0034580680076032877,-0.0276645440608263,0.10028397291898727,0.01901937462389469
-63.71603012084961,-13.686224937438965,77.9468994140625,0.18673643469810486,0.005187102127820253,-0.03285164758563042,0.10028397291898727,0.006916136015206575
-60.10579299926758,-18.914844512939453,79.54972076416016,0.27232396602630615,0.012103238143026829,-0.039767783135175705,0.09682590514421463,0.02593551017343998
-56.20766830444336,-23.89448356628418,80.6701431274414,0.3968149423599243,0.01383227203041315,-0.04668391868472099,0.09682590514421463,0.01901937462389469
-52.27842330932617,-28.68738555908203,81.62716674804688,0.45127972960472107,0.022477442398667336,-0.05360005423426628,0.08818073570728302,0.01729034073650837
-48.19356155395508,-33.41026306152344,82.27296447753906,0.459060400724411,0.031122611835598946,-0.05187102034687996,0.09336783736944199,0.005187102127820253
-44.00755310058594,-38.15647888183594,82.87207794189453,0.5057445168495178,0.0276645440608263,-0.0553290881216526,0.1020130068063736,0.008645170368254185
-39.712615966796875,-42.84823226928711,83.18330383300781,0.5290865898132324,0.0276645440608263,-0.05360005423426628,0.1020130068063736,0.01383227203041315
-35.23872375488281,-47.18207550048828,83.12883758544922,0.5213059186935425,0.039767783135175705,-0.0553290881216526,0.08299363404512405,0.012103238143026829
-30.67146110534668,-51.41476821899414,82.75536346435547,0.46684110164642334,0.05187102034687996,-0.0553290881216526,0.08299363404512405,0.006916136015206575
-25.878559112548828,-55.60077667236328,82.16403198242188,0.4746217727661133,0.04495488479733467,-0.05187102034687996,0.08299363404512405,0.022477442398667336
-20.961164474487305,-59.55336380004883,81.1369857788086,0.3501308262348175,0.05878715589642525,-0.05187102034687996,0.06224522367119789,0.022477442398667336
-15.973746299743652,-63.23362731933594,79.6430892944336,0.311227411031723,0.06051618978381157,-0.05360005423426628,0.0553290881216526,0.020748408511281013
-10.830713272094727,-66.35368347167969,77.77572631835938,0.27232396602630615,0.06224522367119789,-0.0553290881216526,0.0553290881216526,0.01901937462389469
-5.500944137573242,-69.57488250732422,75.49598693847656,0.1322716474533081,0.0708903968334198,-0.05878715589642525,0.06051618978381157,0.022477442398667336
-0.11671027541160583,-72.2514419555664,72.81165313720703,0.05446479469537735,0.06397426128387451,-0.05187102034687996,0.05187102034687996,0.01901937462389469
5.1741557121276855,-74.73348236083984,69.95613861083984,-0.09336821734905243,0.07780653238296509,-0.05014198645949364,0.05360005423426628,0.020748408511281013
10.465021133422852,-76.91207122802734,66.68824768066406,-0.22563986480236053,0.08472266793251038,-0.05014198645949364,0.04668391868472099,0.01901937462389469
15.701422691345215,-78.78721618652344,63.21806716918945,-0.389034241437912,0.0864517018198967,-0.05187102034687996,0.04322585090994835,0.010374204255640507
