1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-220kV那蔓线电流Ia_9,10-220kV那蔓线电流Ib_10,11-220kV那蔓线电流Ic_11,12-220kV那蔓线电流3Io_12
-39.313446044921875,-46.39918899536133,85.77478790283203,0.5283229947090149,-0.10704582929611206,-0.2969658374786377,0.41437095403671265,0.0
-34.49638366699219,-50.78116226196289,85.24646759033203,0.5283229947090149,-0.08287419378757477,-0.3176844120025635,0.40401169657707214,0.0
-29.49285316467285,-54.94559097290039,84.37628936767578,0.5283229947090149,-0.05870255082845688,-0.3314967751502991,0.39710548520088196,0.0
-24.333934783935547,-58.954627990722656,83.13317108154297,0.4661673307418823,-0.03107782080769539,-0.34530913829803467,0.38674622774124146,0.0
-19.11285972595215,-62.777198791503906,81.64144134521484,0.3418560326099396,-0.0034530912525951862,-0.36257457733154297,0.37638694047927856,0.0
-13.860708236694336,-66.35115051269531,79.90107727050781,0.3107782304286957,0.02417163923382759,-0.37293386459350586,0.35912150144577026,0.0
-8.546401023864746,-69.76971435546875,77.88101959228516,0.21754474937915802,0.05179636925458908,-0.38674622774124146,0.34530913829803467,-0.0034530912525951862
-3.232093572616577,-72.9085693359375,75.58126068115234,0.09323346614837646,0.07596801221370697,-0.39710548520088196,0.328043669462204,0.0
2.2065253257751465,-75.7988052368164,72.9707260131836,-0.031077822670340538,0.10013964772224426,-0.40401169657707214,0.3142313063144684,-0.0034530912525951862
7.582988739013672,-78.3471908569336,70.0183334350586,-0.09323346614837646,0.12431128323078156,-0.41091787815093994,0.2900596559047699,-0.0034530912525951862
12.928374290466309,-80.49156188964844,66.78623962402344,-0.15538911521434784,0.15193602442741394,-0.41437095403671265,0.2762472927570343,0.0034530912525951862
18.180526733398438,-82.29407501220703,63.274444580078125,-0.21754474937915802,0.17610765993595123,-0.42127713561058044,0.2520756721496582,-0.0034530912525951862
23.308366775512695,-83.81688690185547,59.545108795166016,-0.3107782304286957,0.19682620465755463,-0.42127713561058044,0.22790402173995972,-0.0034530912525951862
28.374052047729492,-84.93568420410156,55.59822463989258,-0.3418560326099396,0.21754474937915802,-0.42127713561058044,0.20373238623142242,-0.0034530912525951862
33.40865707397461,-85.68155670166016,51.34056091308594,-0.3107782304286957,0.2417163848876953,-0.42127713561058044,0.17956075072288513,0.0
38.256797790527344,-86.05448913574219,46.803199768066406,-0.3418560326099396,0.2624349296092987,-0.41782405972480774,0.15538911521434784,-0.0034530912525951862
42.94955062866211,-86.11664581298828,42.110450744628906,-0.3418560326099396,0.2831534743309021,-0.41091787815093994,0.13467055559158325,-0.0034530912525951862
47.48691177368164,-85.80587005615234,37.324462890625,-0.3107782304286957,0.2969658374786377,-0.40401169657707214,0.10359273850917816,-0.0034530912525951862
51.837806701660156,-85.18431091308594,32.38309097290039,-0.2797003984451294,0.3176844120025635,-0.39710548520088196,0.07596801221370697,-0.0034530912525951862
56.002235412597656,-84.15874481201172,27.224172592163086,-0.21754474937915802,0.3349498510360718,-0.38674622774124146,0.04834327846765518,-0.0034530912525951862
59.98019790649414,-82.88455200195312,21.972021102905273,-0.2486225813627243,0.3487622141838074,-0.37638694047927856,0.02417163923382759,-0.0034530912525951862
63.7406120300293,-81.2995834350586,16.688791275024414,-0.21754474937915802,0.36257457733154297,-0.36602768301963806,-0.0034530912525951862,-0.0034530912525951862
67.22132873535156,-79.40383911132812,11.343404769897461,-0.12431129068136215,0.37638694047927856,-0.35221531987190247,-0.03453091159462929,-0.0069061825051903725
70.5777359008789,-77.32162475585938,5.998019695281982,-0.062155645340681076,0.39019930362701416,-0.33840295672416687,-0.05870255082845688,-0.0069061825051903725
73.68551635742188,-74.89755249023438,0.5594007968902588,0.0,0.39710548520088196,-0.3176844120025635,-0.08287419378757477,-0.0034530912525951862
76.6068344116211,-72.22486114501953,-4.9102959632873535,0.09323346614837646,0.40401169657707214,-0.3004189431667328,-0.11049892008304596,-0.0069061825051903725
78.99982452392578,-69.14815521240234,-10.255681037902832,0.2486225813627243,0.41091787815093994,-0.2797003984451294,-0.13121746480464935,-0.0069061825051903725
81.01988220214844,-65.791748046875,-15.507833480834961,0.43508949875831604,0.41437095403671265,-0.258981853723526,-0.15884220600128174,-0.0034530912525951862
82.63592529296875,-62.27995681762695,-20.604595184326172,0.4661673307418823,0.41782405972480774,-0.2382632941007614,-0.18301384150981903,-0.0034530912525951862
84.00335693359375,-58.51953887939453,-25.639204025268555,0.4972451627254486,0.41782405972480774,-0.21754474937915802,-0.20718547701835632,-0.0069061825051903725
85.05999755859375,-54.510501861572266,-30.673810958862305,0.5594007968902588,0.41782405972480774,-0.19337311387062073,-0.22790402173995972,-0.0069061825051903725
85.71263122558594,-50.1285285949707,-35.61518478393555,0.5594007968902588,0.41437095403671265,-0.16574838757514954,-0.2486225664615631,-0.0034530912525951862
86.0234146118164,-45.56008529663086,-40.46332550048828,0.5904785990715027,0.41437095403671265,-0.13812364637851715,-0.2727942168712616,-0.0069061825051903725
85.93017578125,-40.86733627319336,-45.03176498413086,0.5594007968902588,0.41091787815093994,-0.11740510165691376,-0.2900596559047699,-0.0034530912525951862
85.55724334716797,-36.08135223388672,-49.382659912109375,0.6215564608573914,0.40055859088897705,-0.08978037536144257,-0.3107782304286957,-0.0069061825051903725
84.8113784790039,-31.10890007019043,-53.57816696166992,0.6526342630386353,0.39019930362701416,-0.06215564161539078,-0.328043669462204,-0.0034530912525951862
