110kV II母电压_5,110kV II母电压_6,110kV II母电压_7,110kV II母电压_8,110kV 腰双线_21,110kV 腰双线_22,110kV 腰双线_23,110kV 腰双线_24
20.888517379760742,-82.29725646972656,61.452144622802734,-0.015637999400496483,0.06371399760246277,-0.09855499863624573,0.052521001547575,-0.005189999938011169
25.84682273864746,-83.66012573242188,57.686302185058594,-0.22675099968910217,0.06715799868106842,-0.10198300331830978,0.052521001547575,-0.0017300000181421638
30.88997459411621,-84.71012115478516,53.63935089111328,-0.4300450086593628,0.07060199975967407,-0.09855499863624573,0.04218899831175804,-0.005189999938011169
35.933128356933594,-85.521484375,49.231727600097656,-0.5160539746284485,0.08093400299549103,-0.09512700140476227,0.035300999879837036,-0.0017300000181421638
40.96037292480469,-85.9510269165039,44.643768310546875,-0.5004159808158875,0.08093400299549103,-0.08827099949121475,0.02496900036931038,-0.005189999938011169
45.74367904663086,-85.82905578613281,39.88608169555664,-0.2345699965953827,0.08437799662351608,-0.08484300225973129,0.021524999290704727,-0.0017300000181421638
50.36789321899414,-85.36769104003906,35.06474304199219,0.06255199760198593,0.08437799662351608,-0.08141499757766724,0.014636999927461147,-0.0017300000181421638
54.66332244873047,-84.6677017211914,30.057767868041992,0.2502079904079437,0.08437799662351608,-0.07798700034618378,0.00774900009855628,-0.0017300000181421638
58.63526916503906,-83.5328598022461,25.034879684448242,0.3283979892730713,0.08782199770212173,-0.07455900311470032,0.0008609999786131084,-0.005189999938011169
62.46403884887695,-82.16998291015625,19.874088287353516,0.3362169861793518,0.09470999985933304,-0.0677030012011528,-0.002583000110462308,-0.005189999938011169
65.84735107421875,-80.34044647216797,14.601911544799805,0.27366501092910767,0.09815400093793869,-0.0677030012011528,-0.0060270000249147415,-0.005189999938011169
68.93370056152344,-78.3836441040039,9.467639923095703,0.007818999700248241,0.10504200309515,-0.060846999287605286,-0.012915000319480896,-0.005189999938011169
71.92989349365234,-76.25183868408203,4.211376190185547,-0.2423889935016632,0.10504200309515,-0.060846999287605286,-0.01980300061404705,-0.0017300000181421638
74.6821517944336,-73.63745880126953,-1.1721839904785156,-0.22675099968910217,0.10848599672317505,-0.05399100109934807,-0.026691000908613205,-0.0017300000181421638
77.04198455810547,-70.66777801513672,-6.481488227844238,-0.10164699703454971,0.10848599672317505,-0.05056300014257431,-0.03357899934053421,-0.0017300000181421638
79.09424591064453,-67.35340118408203,-11.737751960754395,0.0,0.10848599672317505,-0.040279000997543335,-0.04391099885106087,-0.005189999938011169
80.9980239868164,-63.8746337890625,-16.97279930114746,0.21893200278282166,0.10848599672317505,-0.040279000997543335,-0.04735499992966652,-0.0017300000181421638
82.73210144042969,-60.316322326660156,-22.09115982055664,0.45350199937820435,0.10848599672317505,-0.040279000997543335,-0.05079900100827217,-0.005189999938011169
84.1427001953125,-56.402706146240234,-27.31559944152832,0.5942440032958984,0.10848599672317505,-0.03342299908399582,-0.057686999440193176,-0.0017300000181421638
85.01769256591797,-52.1921272277832,-32.47639083862305,0.7037100195884705,0.10848599672317505,-0.0265670008957386,-0.06113100051879883,-0.0017300000181421638
85.65936279296875,-47.875484466552734,-37.44623947143555,0.61770099401474,0.10848599672317505,-0.016282999888062477,-0.06801900267601013,-0.005189999938011169
85.83435821533203,-43.177024841308594,-42.33652877807617,0.4769589900970459,0.09815400093793869,-0.012854999862611294,-0.06801900267601013,-0.0017300000181421638
85.53208923339844,-38.25584030151367,-47.05708694458008,0.36749300360679626,0.09470999985933304,-0.0025710000190883875,-0.07146299630403519,-0.005189999938011169
85.01239013671875,-33.11723327636719,-51.67687225341797,0.2502079904079437,0.08782199770212173,0.0008570000063627958,-0.07490699738264084,-0.0017300000181421638
83.96770477294922,-27.946809768676758,-55.82460021972656,0.21111300587654114,0.08437799662351608,0.007712999824434519,-0.07835099846124649,-0.005189999938011169
82.77452850341797,-23.089262008666992,-59.61695861816406,0.07037100195884705,0.08437799662351608,0.01114100031554699,-0.08179499953985214,-0.0017300000181421638
81.43817138671875,-18.0620174407959,-63.21837615966797,0.20329399406909943,0.07749000191688538,0.021424999460577965,-0.08179499953985214,-0.0017300000181421638
79.7146987915039,-12.812047958374023,-66.67127990722656,0.3440360128879547,0.07749000191688538,0.02828099951148033,-0.08868300169706345,-0.005189999938011169
77.78970336914062,-7.540865898132324,-69.95445251464844,0.4847779870033264,0.07749000191688538,0.041992999613285065,-0.09557099640369415,-0.0017300000181421638
75.49880981445312,-2.195441961288452,-72.9724349975586,0.508234977722168,0.07060199975967407,0.04884900152683258,-0.10245899856090546,-0.005189999938011169
72.77837371826172,2.990891933441162,-75.56608581542969,0.44568300247192383,0.06715799868106842,0.04884900152683258,-0.0990149974822998,-0.0017300000181421638
69.6336898803711,8.140105247497559,-77.68238067626953,0.03909499943256378,0.05682599917054176,0.05227699875831604,-0.09557099640369415,-0.005189999938011169
66.00113677978516,13.496134757995605,-79.68729400634766,-0.2345699965953827,0.05338200181722641,0.05227699875831604,-0.0990149974822998,-0.0017300000181421638
62.267826080322266,18.97943687438965,-81.47474670410156,-0.39876899123191833,0.04993800073862076,0.06256099790334702,-0.10245899856090546,-0.005189999938011169
58.30118179321289,24.26652717590332,-82.91743469238281,-0.4769589900970459,0.04993800073862076,0.06941699981689453,-0.10590299963951111,-0.0017300000181421638
54.12771987915039,29.527103424072266,-84.04187774658203,-0.523872971534729,0.043049998581409454,0.07627300173044205,-0.10590299963951111,-0.0017300000181421638
