1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV草水Ⅰ回线电流Ia_9,10-220kV草水Ⅰ回线电流Ib_10,11-220kV草水Ⅰ回线电流Ic_11,12-220kV草水Ⅰ回线电流3Io_12
69.60948944091797,9.28315544128418,-78.71732330322266,0.09503799676895142,-0.42363297939300537,-0.10584204643964767,0.5289859771728516,0.0
66.17668914794922,14.542553901672363,-80.68209075927734,-0.12671732902526855,-0.35302749276161194,-0.17640341818332672,0.5289859771728516,0.0
62.648536682128906,19.643537521362305,-82.3299560546875,-0.22175534069538116,-0.38833022117614746,-0.21168409287929535,0.564251720905304,-0.03530982881784439
58.9296760559082,24.74452018737793,-83.75599670410156,-0.3484726548194885,-0.38833022117614746,-0.21168409287929535,0.564251720905304,0.0
54.797603607177734,29.782136917114258,-84.7383804321289,-0.4118313193321228,-0.31772473454475403,-0.24696478247642517,0.5289859771728516,0.0
50.4112548828125,34.69301986694336,-85.43555450439453,-0.6335866451263428,-0.2824219763278961,-0.2822454571723938,0.5289859771728516,0.0
45.8659782409668,39.635589599609375,-85.78414154052734,-0.5702279806137085,-0.2824219763278961,-0.2822454571723938,0.564251720905304,0.0
41.19355773925781,44.388057708740234,-85.84751892089844,-0.5385486483573914,-0.2471192330121994,-0.3175261616706848,0.49372023344039917,0.0
36.39400100708008,49.04547882080078,-85.68907165527344,-0.5068693161010742,-0.17651374638080597,-0.35280683636665344,0.564251720905304,0.0
31.435516357421875,53.51279830932617,-85.11865234375,-0.3484726548194885,-0.17651374638080597,-0.38808751106262207,0.5289859771728516,0.0
26.28632164001465,57.6316032409668,-84.04119873046875,-0.3167933225631714,-0.14121098816394806,-0.38808751106262207,0.564251720905304,0.0
21.009986877441406,61.46526336669922,-82.5834732055664,-0.28511399030685425,-0.10590824484825134,-0.4233681857585907,0.5289859771728516,0.0
15.670080184936523,65.2672348022461,-80.99898529052734,-0.1583966612815857,-0.10590824484825134,-0.4586488902568817,0.5289859771728516,0.0
10.203034400939941,68.65733337402344,-79.06591033935547,-0.28511399030685425,-0.07060549408197403,-0.4586488902568817,0.49372023344039917,0.0
4.799558162689209,71.79396057128906,-76.8476333618164,-0.28511399030685425,-0.035302747040987015,-0.4586488902568817,0.49372023344039917,0.0
