220kVI母电压_Ua_1,220kVI母电压_Ub_2,220kVI母电压_Uc_3,220kVI母电压_3U0_4,220kV花青I回线（281）_Ia_9,220kV花青I回线（281）_Ib_10,220kV花青I回线（281）_Ic_11,220kV花青I回线（281）_3I0_12
-0.09336800128221512,-74.45638275146484,74.04399871826172,-0.9959689974784851,0.15560799837112427,-0.19883699715137482,0.02593100070953369,-0.07780899852514267
5.11990213394165,-77.56878662109375,72.05206298828125,-0.7002909779548645,0.20747800171375275,-0.19883699715137482,0.06051100045442581,0.008640999905765057
10.488792419433594,-80.4788818359375,69.82669830322266,-0.505765974521637,0.19018800556659698,-0.14696699380874634,0.04322100058197975,-0.01729400083422661
15.881025314331055,-83.05438995361328,67.04109954833984,-0.4046129882335663,0.19883300364017487,-0.17290200293064117,0.06051100045442581,0.02593100070953369
21.281038284301758,-85.13191986083984,63.72639083862305,-0.4201749861240387,0.1469630002975464,-0.1642570048570633,0.008640999905765057,0.008640999905765057
26.57990074157715,-86.68033599853516,59.82810974121094,-0.529109001159668,0.15560799837112427,-0.19019199907779694,-3.999999989900971e-06,-0.008648999966681004
31.699798583984375,-87.50511932373047,55.50187301635742,-0.7547580003738403,0.17289799451828003,-0.17290200293064117,-3.999999989900971e-06,-0.01729400083422661
36.477333068847656,-87.46621704101562,50.53759765625,-0.9648450016975403,0.2247679978609085,-0.1642570048570633,0.05186599865555763,-0.008648999966681004
41.24708557128906,-87.11607360839844,45.30876541137695,-1.104902982711792,0.2679930031299591,-0.1556120067834854,0.05186599865555763,0.04322100058197975
45.503292083740234,-86.0267333984375,39.80759811401367,-1.252742052078247,0.2247679978609085,-0.1556120067834854,0.06051100045442581,-0.01729400083422661
49.82952880859375,-84.95295715332031,34.22861862182617,-1.3616759777069092,0.19018800556659698,-0.17290200293064117,0.01728600077331066,-3.999999989900971e-06
53.78227615356445,-83.35006713867188,28.883073806762695,-1.3461140394210815,0.15560799837112427,-0.1556120067834854,-0.008648999966681004,-0.05187400057911873
57.797271728515625,-82.30741119384766,23.700927734375,-1.0971219539642334,0.19018800556659698,-0.13832199573516846,-0.06051899865269661,-0.01729400083422661
61.53215026855469,-80.80567932128906,18.767772674560547,-0.6925100088119507,0.15560799837112427,-0.12967699766159058,-0.04322899878025055,0.01728600077331066
64.84685516357422,-79.16388702392578,13.951333999633789,-0.10115399956703186,0.20747800171375275,-0.10374200344085693,-0.03458400070667267,-0.01729400083422661
68.25493621826172,-77.4676284790039,9.189361572265625,0.4123919904232025,0.19018800556659698,-0.1210319995880127,-0.10374400019645691,-3.999999989900971e-06
71.69413757324219,-75.5690689086914,4.404047012329102,0.7936609983444214,0.1383180022239685,-0.1210319995880127,-0.06051899865269661,0.008640999905765057
74.95437622070312,-73.70941162109375,-0.5368880033493042,1.0582150220870972,0.19883300364017487,-0.12967699766159058,-0.05187400057911873,-0.008648999966681004
78.05899810791016,-71.4684829711914,-5.617880821228027,1.3694549798965454,0.2247679978609085,-0.060516998171806335,-0.06051899865269661,0.06051100045442581
80.79013061523438,-68.85406494140625,-10.838932037353516,1.5951039791107178,0.21612299978733063,-0.09509699791669846,-0.05187400057911873,-3.999999989900971e-06
83.2177963256836,-65.7572250366211,-16.277851104736328,1.719599962234497,0.1469630002975464,-0.0778070017695427,-0.11238899827003479,-3.999999989900971e-06
85.01521301269531,-62.115718841552734,-21.7401123046875,1.6962569952011108,0.17289799451828003,-0.0778070017695427,-0.09509900212287903,0.04322100058197975
86.41578674316406,-58.155189514160156,-27.12456512451172,1.711819052696228,0.20747800171375275,-0.034582000225782394,-0.06051899865269661,0.06051100045442581
87.06939697265625,-53.47102737426758,-32.36895751953125,1.5795420408248901,0.20747800171375275,0.017287999391555786,-0.11238899827003479,0.05186599865555763
86.9993667602539,-48.44450378417969,-37.3565788269043,1.2683019638061523,0.12967300415039062,-0.034582000225782394,-0.12103399634361267,-0.01729400083422661
86.33798217773438,-43.15342330932617,-42.102989196777344,1.1671489477157593,0.15560799837112427,-0.034582000225782394,-0.13832400739192963,-0.06051899865269661
85.27198028564453,-37.56666564941406,-46.63153076171875,1.0115289688110352,0.1469630002975464,-0.051872000098228455,-0.12103399634361267,0.008640999905765057
84.1826400756836,-32.23667907714844,-50.8955192565918,0.9181569814682007,0.1469630002975464,0.025932999327778816,-0.08645399659872055,0.04322100058197975
82.85208892822266,-26.953380584716797,-54.95720291137695,0.9103760123252869,0.12102799862623215,0.051867999136447906,-0.13832400739192963,0.06915599852800369
81.58378601074219,-21.78679656982422,-58.707645416259766,1.04265296459198,0.09509299695491791,0.08644799888134003,-0.12103399634361267,0.04322100058197975
80.0587158203125,-16.760269165039062,-62.21687316894531,1.322769045829773,0.060513000935316086,0.06915800273418427,-0.07780899852514267,0.04322100058197975
78.41692352294922,-11.757086753845215,-65.50823974609375,1.5717610120773315,0.06915800273418427,0.09509299695491791,-0.13832400739192963,0.04322100058197975
76.86849975585938,-6.831714153289795,-68.74513244628906,1.5172940492630005,0.07780300080776215,0.10373800247907639,-0.06916400045156479,0.01728600077331066
75.13333892822266,-1.8440929651260376,-71.95868682861328,1.2371779680252075,0.017287999391555786,0.11238300055265427,-0.11238899827003479,-0.01729400083422661
73.09471893310547,3.135746955871582,-75.0866470336914,0.9726240038871765,0.034577999264001846,0.1469630002975464,-0.12967899441719055,-3.999999989900971e-06
70.70594787597656,8.286768913269043,-78.13680267333984,0.5291069746017456,0.00864300038665533,0.16425299644470215,-0.12967899441719055,-0.008648999966681004
